"","Stream start time","Stream URL","Stream length (mins)","Watch time (mins)","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"1","Wednesday 31st July 2019 18:15","https://sullygnome.com/channel/vharcas/stream/35113138368","165","825","5","8","1","0","19","5","World of Warcraft"
"2","Wednesday 31st July 2019 09:51","https://sullygnome.com/channel/vharcas/stream/35109584832","189","1134","6","10","0","0","15","4","World of Warcraft"
"3","Tuesday 30th July 2019 16:00","https://sullygnome.com/channel/vharcas/stream/35099074032","210","630","3","6","0","0","15","4","World of Warcraft"
"4","Tuesday 30th July 2019 09:21","https://sullygnome.com/channel/vharcas/stream/35096200112","174","522","3","7","2","0","19","6","World of Warcraft"
"5","Monday 29th July 2019 10:55","https://sullygnome.com/channel/vharcas/stream/35084165232","290","1740","6","13","0","0","36","7","World of Warcraft"
"6","Sunday 28th July 2019 17:18","https://sullygnome.com/channel/vharcas/stream/35075621552","297","1782","6","11","0","0","39","7","World of Warcraft"
"7","Friday 26th July 2019 11:15","https://sullygnome.com/channel/vharcas/stream/35048893072","60","60","1","1","0","0","4","3","World of Warcraft"
"8","Thursday 25th July 2019 10:45","https://sullygnome.com/channel/vharcas/stream/35036702640","195","390","2","6","1","0","12","3","World of Warcraft"
"9","Wednesday 24th July 2019 17:16","https://sullygnome.com/channel/vharcas/stream/35027554816","179","895","5","9","0","0","26","8","World of Warcraft"
"10","Wednesday 24th July 2019 10:30","https://sullygnome.com/channel/vharcas/stream/35024375600","60","60","1","2","0","0","6","4","World of Warcraft"
"11","Tuesday 23rd July 2019 12:00","https://sullygnome.com/channel/vharcas/stream/35012506192","90","270","3","4","0","0","7","4","World of Warcraft"
"12","Monday 22nd July 2019 08:45","https://sullygnome.com/channel/vharcas/stream/34999173728","60","120","2","4","0","0","8","6","World of Warcraft"
"13","Sunday 21st July 2019 17:30","https://sullygnome.com/channel/vharcas/stream/34991157440","210","1470","7","11","0","0","21","5","World of Warcraft"
"14","Sunday 21st July 2019 08:45","https://sullygnome.com/channel/vharcas/stream/34987154208","240","480","2","5","-1","0","21","4","World of Warcraft"
"15","Saturday 20th July 2019 18:00","https://sullygnome.com/channel/vharcas/stream/34978425648","30","60","2","3","0","0","2","2","World of Warcraft"
"16","Saturday 20th July 2019 09:27","https://sullygnome.com/channel/vharcas/stream/34974044512","198","396","2","6","0","0","18","5","World of Warcraft"
"17","Friday 19th July 2019 08:15","https://sullygnome.com/channel/vharcas/stream/34961022000","135","270","2","4","0","0","11","4","World of Warcraft"
"18","Thursday 18th July 2019 17:30","https://sullygnome.com/channel/vharcas/stream/34952567488","210","1050","5","9","0","0","10","2","World of Warcraft"
"19","Thursday 18th July 2019 08:45","https://sullygnome.com/channel/vharcas/stream/34948698736","60","120","2","5","0","0","2","1","World of Warcraft"
"20","Wednesday 17th July 2019 17:17","https://sullygnome.com/channel/vharcas/stream/34939998736","238","2142","9","14","1","0","19","4","World of Warcraft"
"21","Wednesday 17th July 2019 07:00","https://sullygnome.com/channel/vharcas/stream/34935610704","270","540","2","5","0","0","15","3","World of Warcraft"
"22","Tuesday 16th July 2019 17:14","https://sullygnome.com/channel/vharcas/stream/34927338576","61","183","3","5","0","0","5","4","World of Warcraft"
"23","Tuesday 16th July 2019 10:00","https://sullygnome.com/channel/vharcas/stream/34923790592","150","300","2","4","0","0","6","2","World of Warcraft"
"24","Monday 15th July 2019 20:07","https://sullygnome.com/channel/vharcas/stream/34916964336","83","415","5","7","0","0","17","11","World of Warcraft"
"25","Monday 15th July 2019 18:00","https://sullygnome.com/channel/vharcas/stream/34915277120","105","525","5","7","0","0","10","5","World of Warcraft"
"26","Monday 15th July 2019 08:45","https://sullygnome.com/channel/vharcas/stream/34911129856","300","900","3","7","0","0","24","4","World of Warcraft"
"27","Saturday 13th July 2019 09:15","https://sullygnome.com/channel/vharcas/stream/34886606880","60","120","2","5","0","0","12","9","World of Warcraft"
"28","Thursday 11th July 2019 17:18","https://sullygnome.com/channel/vharcas/stream/34865279792","207","621","3","5","0","0","13","3","World of Warcraft"
"29","Wednesday 10th July 2019 17:16","https://sullygnome.com/channel/vharcas/stream/34852784432","209","1254","6","9","0","0","18","5","World of Warcraft"
"30","Wednesday 10th July 2019 07:00","https://sullygnome.com/channel/vharcas/stream/34848438096","150","150","1","3","0","0","6","2","World of Warcraft"
"31","Sunday 7th July 2019 17:30","https://sullygnome.com/channel/vharcas/stream/34815659744","30","60","2","3","0","0","13","17","World of Warcraft"
"32","Thursday 4th July 2019 17:30","https://sullygnome.com/channel/vharcas/stream/34778961616","210","840","4","6","0","0","29","7","World of Warcraft"
"33","Wednesday 3rd July 2019 17:45","https://sullygnome.com/channel/vharcas/stream/34766593344","180","900","5","8","0","0","15","4","World of Warcraft"
