"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","Fallout: New Vegas","1350","25680","18","35","315","14"
"2","Kerbal Space Program","795","16230","20","31","191","14.415094"
"3","Automation: The Car Company Tycoon Game","660","8865","13","23","110","10"
"4","Fallout 4","600","16545","22","79","151","15.1"
"5","Black Mesa","585","11535","18","29","173","17.743589"
"6","Just Cause 4","555","8910","15","27","137","14.81081"
"7","Stellaris","555","10215","19","28","146","15.783783"
"8","Unavowed","540","9240","16","25","83","9.222222"
"9","The Magic Circle","225","3225","14","19","47","12.533333"
"10","Cities: Skylines","180","4365","24","36","68","22.666666"
"11","Technobabylon","165","2805","14","19","27","9.818181"
"12","Need for Speed III: Hot Pursuit","165","3135","19","30","41","14.90909"
"13","Sword of the Stars: Argos Naval Yard","150","1845","11","17","20","8"
"14","Dragon's Dogma: Dark Arisen","135","2910","21","26","58","25.777777"
"15","BeamNG.drive","60","855","14","20","9","9"
