"","Stream start time","Stream URL","Stream length (mins)","Watch time (mins)","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"1","Wednesday 31st July 2019 22:30","https://sullygnome.com/channel/wearablesnake/stream/35116765040","150","300","2","5","1","0","2","0","Bloodborne"
"2","Tuesday 30th July 2019 21:00","https://sullygnome.com/channel/wearablesnake/stream/35102387984","30","60","2","2","0","0","1","1","Beat Saber"
"3","Monday 29th July 2019 23:15","https://sullygnome.com/channel/wearablesnake/stream/35091403840","0","0","1","1","0","0","0","0","Beat Saber"
"4","Monday 29th July 2019 21:00","https://sullygnome.com/channel/wearablesnake/stream/35089881280","30","30","1","2","0","0","2","2","Beat Saber"
"5","Friday 26th July 2019 22:30","https://sullygnome.com/channel/wearablesnake/stream/35055128080","150","300","2","5","0","0","3","1","Bloodborne"
"6","Friday 26th July 2019 20:30","https://sullygnome.com/channel/wearablesnake/stream/35053962464","45","45","1","1","1","1","0","0","Beat Saber"
"7","Wednesday 24th July 2019 23:00","https://sullygnome.com/channel/wearablesnake/stream/35031418768","105","210","2","6","0","0","2","1","Bloodborne"
"8","Wednesday 24th July 2019 20:45","https://sullygnome.com/channel/wearablesnake/stream/35029795360","30","60","2","2","0","0","1","1","Beat Saber"
"9","Sunday 21st July 2019 23:31","https://sullygnome.com/channel/wearablesnake/stream/34995178608","134","268","2","3","0","0","4","1","Roll20 Virtual Tabletop"
"10","Friday 19th July 2019 22:00","https://sullygnome.com/channel/wearablesnake/stream/34968284128","165","1320","8","14","0","0","3","1","Bloodborne"
"11","Wednesday 17th July 2019 21:55","https://sullygnome.com/channel/wearablesnake/stream/34943291600","155","930","6","15","4","1","5","1","Bloodborne"
"12","Monday 15th July 2019 21:15","https://sullygnome.com/channel/wearablesnake/stream/34917686400","150","150","1","3","0","0","3","1","Bloodstained: Ritual of the Night"
"13","Sunday 14th July 2019 23:45","https://sullygnome.com/channel/wearablesnake/stream/34906971936","120","120","1","3","0","0","1","0","Roll20 Virtual Tabletop"
"14","Monday 8th July 2019 22:15","https://sullygnome.com/channel/wearablesnake/stream/34831146000","105","105","1","3","0","0","3","1","Bloodstained: Ritual of the Night"
"15","Sunday 7th July 2019 23:00","https://sullygnome.com/channel/wearablesnake/stream/34819525136","180","360","2","3","0","0","8","2","Roll20 Virtual Tabletop"
"16","Thursday 4th July 2019 18:30","https://sullygnome.com/channel/wearablesnake/stream/34779685248","225","450","2","4","0","0","5","1","Bloodstained: Ritual of the Night"
