"","Stream start time","Stream URL","Stream length (mins)","Watch time (mins)","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"1","Wednesday 31st July 2019 11:15","https://sullygnome.com/channel/wisserd/stream/35109952256","210","0","0","0","1","0","1","0","PUBG: BATTLEGROUNDS,Counter-Strike: Global Offensive,Apex Legends"
"2","Monday 29th July 2019 16:20","https://sullygnome.com/channel/wisserd/stream/35086699392","265","530","2","6","0","0","7","1","PUBG: BATTLEGROUNDS,Counter-Strike: Global Offensive,Rocket League"
"3","Sunday 28th July 2019 17:45","https://sullygnome.com/channel/wisserd/stream/35075823376","180","360","2","4","0","0","8","2","Counter-Strike: Global Offensive,PUBG: BATTLEGROUNDS"
"4","Tuesday 16th July 2019 18:15","https://sullygnome.com/channel/wisserd/stream/34927942432","225","0","0","2","2","0","9","2","Counter-Strike: Global Offensive"
"5","Tuesday 16th July 2019 13:00","https://sullygnome.com/channel/wisserd/stream/34924953280","150","150","1","2","0","0","12","4","Counter-Strike: Global Offensive,Rocket League"
"6","Monday 15th July 2019 18:15","https://sullygnome.com/channel/wisserd/stream/34915435968","150","150","1","3","0","0","7","2","Rocket League,Counter-Strike: Global Offensive"
"7","Monday 15th July 2019 13:15","https://sullygnome.com/channel/wisserd/stream/34912612704","105","0","0","1","0","0","0","0","Rocket League"
"8","Sunday 14th July 2019 18:00","https://sullygnome.com/channel/wisserd/stream/34903170368","135","135","1","2","0","0","2","0","Counter-Strike: Global Offensive,PUBG: BATTLEGROUNDS"
"9","Friday 12th July 2019 17:45","https://sullygnome.com/channel/wisserd/stream/34877999840","180","180","1","3","1","0","5","1","Apex Legends,Rocket League"
"10","Friday 12th July 2019 14:15","https://sullygnome.com/channel/wisserd/stream/34875835440","120","120","1","3","0","0","2","0","Counter-Strike: Global Offensive,Apex Legends"
"11","Thursday 11th July 2019 17:15","https://sullygnome.com/channel/wisserd/stream/34865099392","135","0","0","2","0","0","5","2","Counter-Strike: Global Offensive,Apex Legends"
"12","Thursday 11th July 2019 11:30","https://sullygnome.com/channel/wisserd/stream/34862200400","195","0","0","2","0","0","6","1","Counter-Strike: Global Offensive,Rocket League"
"13","Wednesday 10th July 2019 16:27","https://sullygnome.com/channel/wisserd/stream/34852253856","318","636","2","6","0","0","17","3","Counter-Strike: Global Offensive,Rocket League"
"14","Tuesday 9th July 2019 17:30","https://sullygnome.com/channel/wisserd/stream/34840339872","285","0","0","1","2","0","5","1","Counter-Strike: Global Offensive,Rocket League"
"15","Tuesday 9th July 2019 13:15","https://sullygnome.com/channel/wisserd/stream/34837931504","150","0","0","1","0","0","5","1","PUBG: BATTLEGROUNDS"
"16","Monday 8th July 2019 19:30","https://sullygnome.com/channel/wisserd/stream/34828741312","135","135","1","1","0","0","5","2","Counter-Strike: Global Offensive,Rocket League"
"17","Monday 8th July 2019 12:15","https://sullygnome.com/channel/wisserd/stream/34825041696","240","0","0","3","0","0","8","1","Counter-Strike: Global Offensive,Rocket League"
"18","Thursday 4th July 2019 20:00","https://sullygnome.com/channel/wisserd/stream/34779999424","60","60","1","1","0","0","2","1","PUBG: BATTLEGROUNDS,Rocket League"
"19","Thursday 4th July 2019 11:30","https://sullygnome.com/channel/wisserd/stream/34775985680","255","0","0","1","0","0","8","1","Counter-Strike: Global Offensive,PUBG: BATTLEGROUNDS,Rocket League"
"20","Wednesday 3rd July 2019 18:00","https://sullygnome.com/channel/wisserd/stream/34766842928","210","0","0","2","1","0","13","3","Counter-Strike: Global Offensive,Rocket League"
"21","Tuesday 2nd July 2019 18:30","https://sullygnome.com/channel/wisserd/stream/34754654288","195","195","1","2","0","0","7","2","Apex Legends,Counter-Strike: Global Offensive"
"22","Tuesday 2nd July 2019 11:15","https://sullygnome.com/channel/wisserd/stream/34750718544","285","285","1","3","0","0","10","2","Counter-Strike: Global Offensive,PUBG: BATTLEGROUNDS"
"23","Monday 1st July 2019 17:30","https://sullygnome.com/channel/wisserd/stream/34741631712","270","270","1","3","1","0","13","2","Counter-Strike: Global Offensive,PUBG: BATTLEGROUNDS"
"24","Monday 1st July 2019 13:45","https://sullygnome.com/channel/wisserd/stream/34739428160","135","270","2","5","0","0","8","3","PUBG: BATTLEGROUNDS,Call of Duty: Modern Warfare 2,Rocket League"
