"","Stream start time","Stream URL","Stream length (mins)","Watch time (mins)","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"1","Wednesday 31st July 2019 18:38","https://sullygnome.com/channel/wolfmachina/stream/35114104736","262","4978","19","23","1","0","78","17","Wolfenstein: Youngblood"
"2","Monday 29th July 2019 18:59","https://sullygnome.com/channel/wolfmachina/stream/35088526048","151","3020","20","25","-2","0","52","18","Portal 2"
"3","Sunday 28th July 2019 18:24","https://sullygnome.com/channel/wolfmachina/stream/35076329168","201","5226","26","40","0","0","84","25","Portal 2"
"4","Saturday 27th July 2019 19:14","https://sullygnome.com/channel/wolfmachina/stream/35065000624","181","4163","23","29","1","0","89","27","Art"
"5","Saturday 27th July 2019 13:21","https://sullygnome.com/channel/wolfmachina/stream/35061558976","264","5016","19","25","-1","0","125","26","Wolfenstein II: The New Colossus,Surgeon Simulator 2013,Planet Coaster"
"6","Sunday 21st July 2019 17:59","https://sullygnome.com/channel/wolfmachina/stream/34991573040","151","4530","30","39","4","1","120","43","HITMAN 2"
"7","Saturday 20th July 2019 14:56","https://sullygnome.com/channel/wolfmachina/stream/34976444320","199","4577","23","32","8","2","107","30","Grand Theft Auto V,Teleglitch,Surgeon Simulator 2013,Just Chatting,Minecraft"
"8","Friday 19th July 2019 18:08","https://sullygnome.com/channel/wolfmachina/stream/34965590896","247","6175","25","30","3","0","117","27","HITMAN 2"
"9","Monday 15th July 2019 18:20","https://sullygnome.com/channel/wolfmachina/stream/34915656512","265","10070","38","47","8","1","159","35","HITMAN 2"
"10","Sunday 14th July 2019 18:00","https://sullygnome.com/channel/wolfmachina/stream/34903396944","240","8160","34","40","-1","0","140","35","HITMAN 2,Besiege"
"11","Saturday 13th July 2019 18:52","https://sullygnome.com/channel/wolfmachina/stream/34891543808","128","4736","37","41","5","2","56","24","Minecraft"
"12","Saturday 13th July 2019 11:25","https://sullygnome.com/channel/wolfmachina/stream/34887395664","320","9280","29","75","0","0","522","94","Human: Fall Flat,Besiege"
"13","Friday 12th July 2019 17:58","https://sullygnome.com/channel/wolfmachina/stream/34878199312","302","9362","31","43","2","0","182","36","Human: Fall Flat"
"14","Monday 8th July 2019 18:40","https://sullygnome.com/channel/wolfmachina/stream/34828762224","185","4810","26","30","1","0","108","33","English Country Tune,The Elder Scrolls V: Skyrim"
"15","Sunday 7th July 2019 17:59","https://sullygnome.com/channel/wolfmachina/stream/34816113776","211","6541","31","36","2","0","97","27","Q.U.B.E. 2,Back to Bed,The LEGO Movie Videogame"
"16","Saturday 6th July 2019 12:01","https://sullygnome.com/channel/wolfmachina/stream/34800277200","674","29656","44","62","20","1","1412","125","Desync,Q.U.B.E. 2,Just Chatting,Minecraft"
"17","Friday 5th July 2019 18:02","https://sullygnome.com/channel/wolfmachina/stream/34790867616","268","9648","36","43","0","0","148","32","Kingdom: New Lands"
"18","Monday 1st July 2019 18:30","https://sullygnome.com/channel/wolfmachina/stream/34742252896","240","7200","30","40","3","0","144","33","The Elder Scrolls V: Skyrim"
