"","Stream start time","Stream URL","Stream length (mins)","Watch time (mins)","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"1","Wednesday 31st July 2019 19:00","https://sullygnome.com/channel/wolvrne/stream/35114058864","105","210","2","5","1","0","7","3","Call of Duty: WWII,Call of Duty 2,Call of Duty: Black Ops III"
"2","Wednesday 31st July 2019 08:00","https://sullygnome.com/channel/wolvrne/stream/35108939712","45","45","1","4","0","0","3","3","Call of Duty: WWII,Call of Duty: Black Ops 4"
"3","Sunday 28th July 2019 19:15","https://sullygnome.com/channel/wolvrne/stream/35076730832","180","180","1","3","1","0","12","3","Just Chatting,Call of Duty: WWII,Call of Duty 4: Modern Warfare,The Forest"
"4","Saturday 27th July 2019 10:43","https://sullygnome.com/channel/wolvrne/stream/35060655536","392","784","2","9","3","0","36","5","The Forest,Call of Duty: WWII,PUBG: BATTLEGROUNDS"
"5","Friday 26th July 2019 08:30","https://sullygnome.com/channel/wolvrne/stream/35048034944","120","240","2","6","-1","0","21","9","Call of Duty 4: Modern Warfare,Rust"
"6","Wednesday 24th July 2019 21:00","https://sullygnome.com/channel/wolvrne/stream/35030089632","75","300","4","8","0","0","5","3","Call of Duty: WWII,PUBG: BATTLEGROUNDS"
"7","Monday 22nd July 2019 14:45","https://sullygnome.com/channel/wolvrne/stream/35001386096","165","660","4","7","0","0","10","3","PUBG: BATTLEGROUNDS"
"8","Friday 19th July 2019 07:15","https://sullygnome.com/channel/wolvrne/stream/34960710944","135","0","0","2","0","0","4","1","Call of Duty: WWII,PUBG: BATTLEGROUNDS"
"9","Thursday 18th July 2019 07:30","https://sullygnome.com/channel/wolvrne/stream/34948337760","45","45","1","2","0","0","6","6","Call of Duty: WWII"
"10","Tuesday 16th July 2019 06:30","https://sullygnome.com/channel/wolvrne/stream/34922828944","15","15","1","2","0","0","2","4","PUBG: BATTLEGROUNDS"
"11","Monday 15th July 2019 10:18","https://sullygnome.com/channel/wolvrne/stream/34911590576","597","1194","2","7","1","0","32","3","Call of Duty: WWII,Apex Legends,Just Chatting,PUBG: BATTLEGROUNDS,Rust,Tom Clancy's Rainbow Six Siege"
"12","Sunday 14th July 2019 19:25","https://sullygnome.com/channel/wolvrne/stream/34904457408","155","620","4","8","2","0","11","4","Apex Legends,Call of Duty: WWII,PUBG: BATTLEGROUNDS"
"13","Saturday 13th July 2019 08:15","https://sullygnome.com/channel/wolvrne/stream/34886248000","150","300","2","3","1","0","13","4","Tom Clancy's Rainbow Six Siege"
"14","Friday 12th July 2019 07:15","https://sullygnome.com/channel/wolvrne/stream/34873445472","90","270","3","5","0","0","11","6","Call of Duty: WWII,PUBG: BATTLEGROUNDS"
"15","Thursday 11th July 2019 16:07","https://sullygnome.com/channel/wolvrne/stream/34864533104","233","1864","8","34","3","0","104","26","Call of Duty: WWII,Call of Duty: Warzone,PUBG: BATTLEGROUNDS"
"16","Tuesday 9th July 2019 11:30","https://sullygnome.com/channel/wolvrne/stream/34837195104","390","390","1","5","0","0","30","4","Call of Duty: Black Ops 4,Call of Duty: WWII,PUBG: BATTLEGROUNDS,Just Chatting,Grand Theft Auto V"
"17","Monday 8th July 2019 10:15","https://sullygnome.com/channel/wolvrne/stream/34824363776","270","540","2","7","3","0","15","3","Call of Duty: WWII,PUBG: BATTLEGROUNDS"
"18","Sunday 7th July 2019 09:00","https://sullygnome.com/channel/wolvrne/stream/34811623168","195","780","4","8","0","0","12","3","Just Chatting,PUBG: BATTLEGROUNDS,Call of Duty: WWII"
"19","Saturday 6th July 2019 21:45","https://sullygnome.com/channel/wolvrne/stream/34805858576","165","330","2","4","0","0","10","3","PUBG: BATTLEGROUNDS"
"20","Saturday 6th July 2019 19:45","https://sullygnome.com/channel/wolvrne/stream/34804726464","75","75","1","3","0","0","10","6","Just Chatting,PUBG: BATTLEGROUNDS"
"21","Wednesday 3rd July 2019 18:30","https://sullygnome.com/channel/wolvrne/stream/34767338416","90","360","4","6","0","0","17","9","Call of Duty: WWII"
"22","Wednesday 3rd July 2019 13:15","https://sullygnome.com/channel/wolvrne/stream/34764183392","75","0","0","3","2","1","7","4","Call of Duty: WWII"
"23","Tuesday 2nd July 2019 14:45","https://sullygnome.com/channel/wolvrne/stream/34752185232","240","480","2","6","1","0","11","2","PUBG: BATTLEGROUNDS"
"24","Monday 1st July 2019 08:33","https://sullygnome.com/channel/wolvrne/stream/34737706080","357","714","2","5","0","0","26","4","PUBG: BATTLEGROUNDS"
