"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","Teamfight Tactics","1965","15780","7","17","322","9.832061"
"2","Dead by Daylight","1350","14025","9","20","260","11.555555"
"3","Minecraft","345","4155","11","18","82","14.260869"
"4","Tom Clancy's The Division 2","135","1230","9","11","12","5.333333"
"5","Just Chatting","135","1710","12","14","30","13.333333"
"6","League of Legends","120","660","5","8","12","6"
"7","Heroes of Hammerwatch","90","840","9","11","27","18"
"8","Pacify","45","420","9","12","8","10.666666"
"9","Unlisted on Twitch","15","75","5","5","0","0"
"10","Brawlhalla","15","150","10","10","8","32"
