"","Stream start time","Stream URL","Stream length (mins)","Watch time (mins)","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"1","Wednesday 31st July 2019 23:14","https://sullygnome.com/channel/wowy/stream/35117318784","211","15192","72","97","6","1","332","94","SMITE"
"2","Monday 29th July 2019 14:12","https://sullygnome.com/channel/wowy/stream/35085558016","198","12672","64","97","8","2","332","94","SMITE"
"3","Sunday 28th July 2019 11:20","https://sullygnome.com/channel/wowy/stream/35072648192","505","85850","170","284","53","6","1326","156","SMITE"
"4","Saturday 27th July 2019 07:56","https://sullygnome.com/channel/wowy/stream/35055703056","64","1728","27","55","6","0","347","36","SMITE,Apex Legends"
"5","Thursday 25th July 2019 23:41","https://sullygnome.com/channel/wowy/stream/35043934352","124","1116","9","13","-4","-1","44","19","Apex Legends"
"6","Wednesday 24th July 2019 22:25","https://sullygnome.com/channel/wowy/stream/35031071488","605","11495","19","46","3","0","300","30","SMITE,Apex Legends"
"7","Tuesday 16th July 2019 23:01","https://sullygnome.com/channel/wowy/stream/34931371072","269","12374","46","62","4","0","313","69","SMITE"
"8","Sunday 14th July 2019 23:55","https://sullygnome.com/channel/wowy/stream/34907297360","125","12125","97","124","-1","0","249","110","SMITE"
"9","Saturday 13th July 2019 20:04","https://sullygnome.com/channel/wowy/stream/34892388256","326","38468","118","175","16","3","670","134","SMITE"
"10","Friday 12th July 2019 20:57","https://sullygnome.com/channel/wowy/stream/34880366512","168","5544","33","45","2","0","155","51","SMITE"
"11","Thursday 11th July 2019 01:03","https://sullygnome.com/channel/wowy/stream/34858094880","282","9588","34","52","2","0","283","59","SMITE"
"12","Wednesday 10th July 2019 00:40","https://sullygnome.com/channel/wowy/stream/34845304080","140","12460","89","104","9","4","243","108","SMITE"
"13","Monday 8th July 2019 23:27","https://sullygnome.com/channel/wowy/stream/34832010640","138","12144","88","167","5","2","376","150","SMITE"
"14","Saturday 6th July 2019 22:30","https://sullygnome.com/channel/wowy/stream/34806581760","75","3675","49","77","1","0","76","50","SMITE"
"15","Friday 5th July 2019 20:45","https://sullygnome.com/channel/wowy/stream/34792709360","90","2070","23","37","1","0","55","31","SMITE"
"16","Thursday 4th July 2019 20:54","https://sullygnome.com/channel/wowy/stream/34781435136","276","3312","12","18","-2","0","127","26","Dota Underlords,PUBG: BATTLEGROUNDS"
"17","Tuesday 2nd July 2019 22:43","https://sullygnome.com/channel/wowy/stream/34757669168","167","21209","127","185","10","3","326","118","SMITE"
"18","Monday 1st July 2019 20:30","https://sullygnome.com/channel/wowy/stream/34743807792","210","7770","37","67","0","0","172","49","SMITE,Dota Underlords"
