"","Stream start time","Stream URL","Stream length (mins)","Watch time (mins)","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"1","Sunday 28th July 2019 20:15","https://sullygnome.com/channel/xanndiva277/stream/35077563232","165","825","5","10","0","0","31","10","League of Legends"
"2","Sunday 28th July 2019 02:28","https://sullygnome.com/channel/xanndiva277/stream/35069243984","122","732","6","9","0","0","12","5","League of Legends"
"3","Saturday 27th July 2019 04:45","https://sullygnome.com/channel/xanndiva277/stream/35058518640","105","315","3","5","-1","0","9","4","League of Legends"
"4","Thursday 25th July 2019 01:15","https://sullygnome.com/channel/xanndiva277/stream/35032800144","75","225","3","6","0","0","8","5","League of Legends"
"5","Sunday 21st July 2019 22:23","https://sullygnome.com/channel/xanndiva277/stream/34994535248","142","994","7","13","1","0","18","7","League of Legends"
"6","Sunday 21st July 2019 02:30","https://sullygnome.com/channel/xanndiva277/stream/34984704928","195","1365","7","11","0","0","19","5","League of Legends"
"7","Saturday 20th July 2019 00:53","https://sullygnome.com/channel/xanndiva277/stream/34970078048","262","1572","6","11","0","0","35","7","Portal 2,League of Legends"
"8","Thursday 18th July 2019 01:26","https://sullygnome.com/channel/xanndiva277/stream/34945590112","109","545","5","7","-1","0","11","7","League of Legends"
"9","Sunday 14th July 2019 20:45","https://sullygnome.com/channel/xanndiva277/stream/34905293088","180","1080","6","12","1","0","27","8","Quake III Arena,League of Legends"
"10","Sunday 14th July 2019 03:32","https://sullygnome.com/channel/xanndiva277/stream/34896860336","148","740","5","10","2","0","16","5","Golf With Your Friends,Hearthstone"
"11","Saturday 13th July 2019 01:21","https://sullygnome.com/channel/xanndiva277/stream/34883117360","114","798","7","10","3","1","23","11","League of Legends"
"12","Thursday 11th July 2019 01:15","https://sullygnome.com/channel/xanndiva277/stream/34858140304","120","720","6","9","0","0","14","6","League of Legends"
"13","Sunday 7th July 2019 22:06","https://sullygnome.com/channel/xanndiva277/stream/34818975840","129","645","5","8","3","1","20","8","Golf It!"
"14","Sunday 7th July 2019 02:45","https://sullygnome.com/channel/xanndiva277/stream/34808988320","195","2145","11","17","4","1","41","11","League of Legends,Teamfight Tactics,Hearthstone"
"15","Saturday 6th July 2019 01:42","https://sullygnome.com/channel/xanndiva277/stream/34795912384","93","372","4","7","0","0","10","6","Teamfight Tactics,Hearthstone"
"16","Thursday 4th July 2019 02:15","https://sullygnome.com/channel/xanndiva277/stream/34772358832","165","660","4","8","1","0","21","7","League of Legends"
