"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","FINAL FANTASY XIV ONLINE","2490","2850","0","5","87","2.096385"
"2","Slay the Spire","645","930","1","4","18","1.674418"
"3","Tetris Effect","375","360","0","4","12","1.92"
"4","Risk of Rain 2","255","525","2","4","6","1.411764"
"5","Rez Infinite","255","255","1","2","102","24"
"6","The Cycle","105","90","0","2","4","2.285714"
"7","A Hat in Time","90","90","1","2","4","2.666666"
"8","Moonlighter","75","105","1","2","3","2.4"
"9","Earth Defense Force 5","30","60","2","2","0","0"
"10","Rez","15","45","3","3","0","0"
