"","Stream start time","Stream URL","Stream length (mins)","Watch time (mins)","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"1","Tuesday 30th July 2019 11:45","https://sullygnome.com/channel/xxlordmaquinaxx/stream/35097025376","180","180","1","3","-1","0","8","2","Call of Duty: Black Ops 4"
"2","Monday 29th July 2019 21:00","https://sullygnome.com/channel/xxlordmaquinaxx/stream/35089977296","195","195","1","3","0","0","8","2","Call of Duty: Black Ops 4"
"3","Monday 29th July 2019 13:00","https://sullygnome.com/channel/xxlordmaquinaxx/stream/35084931568","210","420","2","6","0","0","8","2","Call of Duty: Black Ops 4"
"4","Sunday 28th July 2019 13:00","https://sullygnome.com/channel/xxlordmaquinaxx/stream/35073274144","180","360","2","6","0","0","8","2","Call of Duty: Black Ops 4"
"5","Saturday 27th July 2019 14:15","https://sullygnome.com/channel/xxlordmaquinaxx/stream/35061948368","105","105","1","2","0","0","2","1","Call of Duty: Black Ops 4"
"6","Friday 26th July 2019 22:00","https://sullygnome.com/channel/xxlordmaquinaxx/stream/35054769552","315","1260","4","7","0","0","16","2","Call of Duty: Black Ops 4"
"7","Friday 26th July 2019 14:00","https://sullygnome.com/channel/xxlordmaquinaxx/stream/35049969536","285","285","1","3","0","0","8","1","Call of Duty: Black Ops 4"
"8","Thursday 25th July 2019 13:00","https://sullygnome.com/channel/xxlordmaquinaxx/stream/35037539744","795","795","1","5","0","0","17","1","Call of Duty: Black Ops 4"
"9","Wednesday 24th July 2019 21:15","https://sullygnome.com/channel/xxlordmaquinaxx/stream/35030051024","195","390","2","3","0","0","5","1","Call of Duty: Black Ops 4"
"10","Wednesday 24th July 2019 13:00","https://sullygnome.com/channel/xxlordmaquinaxx/stream/35025337808","255","255","1","5","1","0","4","0","Call of Duty: Black Ops 4"
"11","Wednesday 17th July 2019 18:10","https://sullygnome.com/channel/xxlordmaquinaxx/stream/34940636560","350","1050","3","8","0","0","14","2","Call of Duty: Black Ops 4"
"12","Wednesday 17th July 2019 13:09","https://sullygnome.com/channel/xxlordmaquinaxx/stream/34937714816","126","504","4","6","0","0","3","1","Call of Duty: Black Ops 4"
"13","Tuesday 16th July 2019 12:30","https://sullygnome.com/channel/xxlordmaquinaxx/stream/34924690864","30","90","3","3","0","0","3","4","Call of Duty: Black Ops 4"
"14","Saturday 13th July 2019 14:15","https://sullygnome.com/channel/xxlordmaquinaxx/stream/34888618560","75","225","3","6","0","0","6","4","Call of Duty: Black Ops 4"
"15","Wednesday 10th July 2019 13:45","https://sullygnome.com/channel/xxlordmaquinaxx/stream/34850777904","45","45","1","2","0","0","4","4","Call of Duty: Black Ops 4"
"16","Tuesday 9th July 2019 13:00","https://sullygnome.com/channel/xxlordmaquinaxx/stream/34837839792","195","390","2","6","1","0","11","3","Call of Duty: Black Ops 4"
"17","Monday 8th July 2019 19:14","https://sullygnome.com/channel/xxlordmaquinaxx/stream/34829204704","466","1398","3","8","1","0","17","2","Call of Duty: Black Ops 4"
"18","Monday 8th July 2019 12:15","https://sullygnome.com/channel/xxlordmaquinaxx/stream/34825049760","285","855","3","6","1","0","11","2","Call of Duty: Black Ops 4"
"19","Sunday 7th July 2019 13:30","https://sullygnome.com/channel/xxlordmaquinaxx/stream/34813453632","150","450","3","6","1","0","8","2","Call of Duty: Black Ops 4"
"20","Saturday 6th July 2019 21:45","https://sullygnome.com/channel/xxlordmaquinaxx/stream/34805746912","135","540","4","8","2","0","12","4","Call of Duty: Black Ops 4"
"21","Saturday 6th July 2019 11:45","https://sullygnome.com/channel/xxlordmaquinaxx/stream/34800272640","270","0","0","2","1","0","5","1","Call of Duty: Black Ops 4"
"22","Friday 5th July 2019 21:30","https://sullygnome.com/channel/xxlordmaquinaxx/stream/34793343408","225","900","4","6","0","0","14","3","Call of Duty: Black Ops 4"
"23","Friday 5th July 2019 13:43","https://sullygnome.com/channel/xxlordmaquinaxx/stream/34788415088","272","544","2","6","0","0","4","0","Call of Duty: Black Ops 4"
"24","Thursday 4th July 2019 11:41","https://sullygnome.com/channel/xxlordmaquinaxx/stream/34776089360","484","1936","4","7","1","0","19","2","Call of Duty: Black Ops 4"
"25","Wednesday 3rd July 2019 20:45","https://sullygnome.com/channel/xxlordmaquinaxx/stream/34768825344","90","90","1","3","0","0","5","2","Call of Duty: Black Ops 4"
"26","Wednesday 3rd July 2019 12:45","https://sullygnome.com/channel/xxlordmaquinaxx/stream/34763964528","195","195","1","4","0","0","4","1","Call of Duty: Black Ops 4"
"27","Tuesday 2nd July 2019 21:15","https://sullygnome.com/channel/xxlordmaquinaxx/stream/34756659696","300","600","2","7","0","0","21","4","Call of Duty: Black Ops 4"
"28","Tuesday 2nd July 2019 13:30","https://sullygnome.com/channel/xxlordmaquinaxx/stream/34751584736","240","960","4","9","3","0","26","6","Call of Duty: Black Ops 4"
"29","Monday 1st July 2019 14:15","https://sullygnome.com/channel/xxlordmaquinaxx/stream/34739650000","120","120","1","5","0","0","7","3","Call of Duty: Black Ops 4"
