"","Stream start time","Stream URL","Stream length (mins)","Watch time (mins)","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"1","Wednesday 31st July 2019 15:57","https://sullygnome.com/channel/yurickon/stream/35112285888","408","4080","10","15","2","0","90","12","Just Chatting,Darkest Dungeon,Fallout: New Vegas"
"2","Tuesday 30th July 2019 17:00","https://sullygnome.com/channel/yurickon/stream/35099727456","330","3630","11","16","1","0","50","9","Just Chatting,Darkest Dungeon"
"3","Sunday 28th July 2019 15:50","https://sullygnome.com/channel/yurickon/stream/35074739600","460","5980","13","22","3","0","87","11","The Sims 4,Darkest Dungeon,Just Chatting"
"4","Saturday 27th July 2019 17:52","https://sullygnome.com/channel/yurickon/stream/35064113536","248","1736","7","11","1","0","39","9","Just Chatting,Darkest Dungeon"
"5","Friday 26th July 2019 16:03","https://sullygnome.com/channel/yurickon/stream/35051099040","447","4470","10","18","4","0","77","9","Just Chatting,Darkest Dungeon"
"6","Thursday 25th July 2019 15:15","https://sullygnome.com/channel/yurickon/stream/35038615408","405","3645","9","13","0","0","53","7","Just Chatting"
"7","Wednesday 24th July 2019 15:50","https://sullygnome.com/channel/yurickon/stream/35026702352","460","5980","13","20","0","0","140","18","Just Chatting,Darkest Dungeon"
"8","Tuesday 23rd July 2019 16:32","https://sullygnome.com/channel/yurickon/stream/35014840496","283","2264","8","15","1","0","55","11","Just Chatting,Darkest Dungeon"
"9","Monday 22nd July 2019 16:00","https://sullygnome.com/channel/yurickon/stream/35001800736","435","3480","8","14","-1","0","100","13","Just Chatting,Darkest Dungeon"
"10","Sunday 21st July 2019 13:36","https://sullygnome.com/channel/yurickon/stream/34989037952","594","5940","10","15","0","0","110","11","Just Chatting,No Man's Sky,The Elder Scrolls III: Morrowind,Darkest Dungeon"
"11","Friday 19th July 2019 15:53","https://sullygnome.com/channel/yurickon/stream/34964138288","382","3438","9","13","0","0","41","6","Just Chatting,Dota Underlords"
"12","Wednesday 17th July 2019 15:50","https://sullygnome.com/channel/yurickon/stream/34939082592","385","3080","8","11","-1","0","46","7","Just Chatting,XCOM 2,Dota Underlords"
"13","Sunday 14th July 2019 15:51","https://sullygnome.com/channel/yurickon/stream/34901993104","369","4059","11","16","3","0","42","6","Just Chatting,Dota Underlords,XCOM 2"
"14","Saturday 13th July 2019 15:54","https://sullygnome.com/channel/yurickon/stream/34889588304","411","3699","9","13","0","0","65","9","Just Chatting,No Man's Sky,XCOM 2"
"15","Friday 12th July 2019 15:53","https://sullygnome.com/channel/yurickon/stream/34876888064","442","5746","13","21","2","0","72","9","No Man's Sky,Just Chatting"
"16","Wednesday 10th July 2019 15:50","https://sullygnome.com/channel/yurickon/stream/34851885312","490","4900","10","16","2","0","49","6","No Man's Sky,XCOM 2,Just Chatting"
"17","Sunday 7th July 2019 19:15","https://sullygnome.com/channel/yurickon/stream/34817062976","45","180","4","6","0","0","5","5","Just Chatting"
"18","Sunday 7th July 2019 17:00","https://sullygnome.com/channel/yurickon/stream/34815322736","45","180","4","5","0","0","17","17","Just Chatting"
"19","Wednesday 3rd July 2019 15:50","https://sullygnome.com/channel/yurickon/stream/34765541632","505","5555","11","16","1","0","69","8","Just Chatting,Dota Underlords,Darkest Dungeon"
