"","Stream start time","Stream URL","Stream length (mins)","Watch time (mins)","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"1","Sunday 28th July 2019 14:15","https://sullygnome.com/channel/alexxelo/stream/35073801888","15","15","1","2","0","0","3","6","Counter-Strike: Global Offensive"
"2","Saturday 27th July 2019 02:06","https://sullygnome.com/channel/alexxelo/stream/35057278656","279","837","3","6","-1","0","25","5","Just Chatting"
"3","Thursday 18th July 2019 13:45","https://sullygnome.com/channel/alexxelo/stream/34950529760","75","150","2","5","1","0","18","12","Counter-Strike: Global Offensive"
"4","Wednesday 17th July 2019 03:15","https://sullygnome.com/channel/alexxelo/stream/34934025152","135","135","1","2","0","0","5","2","Just Chatting"
"5","Tuesday 16th July 2019 06:00","https://sullygnome.com/channel/alexxelo/stream/34922570512","120","480","4","6","0","0","26","11","Just Chatting"
"6","Monday 15th July 2019 04:05","https://sullygnome.com/channel/alexxelo/stream/34909411072","280","560","2","4","1","0","32","6","Just Chatting"
"7","Monday 15th July 2019 02:45","https://sullygnome.com/channel/alexxelo/stream/34908943488","0","0","1","1","0","0","0","0","Just Chatting"
"8","Sunday 14th July 2019 13:15","https://sullygnome.com/channel/alexxelo/stream/34900598816","120","120","1","3","2","0","34","15","Just Chatting"
"9","Saturday 13th July 2019 14:45","https://sullygnome.com/channel/alexxelo/stream/34888846368","0","0","2","3","0","0","6","24","Counter-Strike: Global Offensive"
"10","Saturday 13th July 2019 14:15","https://sullygnome.com/channel/alexxelo/stream/34888620096","0","0","2","3","0","0","6","24","Counter-Strike: Global Offensive"
"11","Saturday 13th July 2019 13:00","https://sullygnome.com/channel/alexxelo/stream/34888098208","15","15","1","2","1","2","0","0","Counter-Strike: Global Offensive"
"12","Friday 12th July 2019 15:00","https://sullygnome.com/channel/alexxelo/stream/34876446256","30","90","3","7","0","0","2","2","Counter-Strike: Global Offensive"
"13","Friday 12th July 2019 13:30","https://sullygnome.com/channel/alexxelo/stream/34875646864","15","30","2","4","0","0","0","0","Counter-Strike: Global Offensive"
"14","Thursday 11th July 2019 12:23","https://sullygnome.com/channel/alexxelo/stream/34862685088","97","388","4","6","2","1","16","9","Counter-Strike: Global Offensive"
"15","Monday 8th July 2019 13:15","https://sullygnome.com/channel/alexxelo/stream/34825359168","150","450","3","6","1","0","41","14","Counter-Strike: Global Offensive"
"16","Sunday 7th July 2019 13:15","https://sullygnome.com/channel/alexxelo/stream/34813365536","90","90","1","2","0","0","13","7","Counter-Strike: Global Offensive"
"17","Saturday 6th July 2019 13:00","https://sullygnome.com/channel/alexxelo/stream/34800717056","90","90","1","3","1","0","18","10","Counter-Strike: Global Offensive"
"18","Friday 5th July 2019 14:12","https://sullygnome.com/channel/alexxelo/stream/34788657344","78","234","3","6","0","0","17","11","Counter-Strike: Global Offensive"
"19","Thursday 4th July 2019 14:45","https://sullygnome.com/channel/alexxelo/stream/34777352992","60","120","2","6","-1","0","30","24","Counter-Strike: Global Offensive"
"20","Thursday 4th July 2019 12:05","https://sullygnome.com/channel/alexxelo/stream/34776253392","130","390","3","7","-2","0","48","21","Counter-Strike: Global Offensive"
"21","Monday 1st July 2019 12:30","https://sullygnome.com/channel/alexxelo/stream/34738929600","165","1155","7","17","4","1","28","9","Counter-Strike: Global Offensive"
