"","Stream start time","Stream URL","Stream length (mins)","Watch time (mins)","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"1","Wednesday 31st July 2019 20:00","https://sullygnome.com/channel/alin0209/stream/35114924384","165","495","3","6","0","0","33","11","Just Chatting"
"2","Tuesday 30th July 2019 16:15","https://sullygnome.com/channel/alin0209/stream/35099241296","300","900","3","8","0","0","77","14","Just Chatting"
"3","Tuesday 30th July 2019 02:49","https://sullygnome.com/channel/alin0209/stream/35093750400","251","1757","7","12","0","0","125","29","Just Chatting"
"4","Sunday 28th July 2019 14:10","https://sullygnome.com/channel/alin0209/stream/35073886880","275","2200","8","13","0","0","56","12","Just Chatting"
"5","Saturday 27th July 2019 15:28","https://sullygnome.com/channel/alin0209/stream/35061831584","527","5270","10","21","0","0","135","12","Just Chatting,League of Legends"
"6","Friday 26th July 2019 12:20","https://sullygnome.com/channel/alin0209/stream/35049341024","535","2675","5","9","-1","0","61","7","League of Legends"
"7","Thursday 25th July 2019 13:39","https://sullygnome.com/channel/alin0209/stream/35037851136","276","828","3","7","0","0","40","8","League of Legends"
"8","Wednesday 24th July 2019 13:57","https://sullygnome.com/channel/alin0209/stream/35025750336","378","2646","7","9","0","0","49","7","League of Legends"
"9","Tuesday 23rd July 2019 13:10","https://sullygnome.com/channel/alin0209/stream/35013119584","425","1700","4","9","0","0","67","9","League of Legends"
"10","Monday 22nd July 2019 13:43","https://sullygnome.com/channel/alin0209/stream/35000939888","422","2532","6","10","0","0","97","13","League of Legends"
"11","Sunday 21st July 2019 13:20","https://sullygnome.com/channel/alin0209/stream/34988074016","535","3745","7","14","2","0","153","13","League of Legends"
"12","Saturday 20th July 2019 16:57","https://sullygnome.com/channel/alin0209/stream/34975992496","213","1491","7","11","0","0","79","12","League of Legends"
"13","Friday 19th July 2019 14:33","https://sullygnome.com/channel/alin0209/stream/34963413536","492","8364","17","39","0","0","154","18","League of Legends"
"14","Thursday 18th July 2019 13:13","https://sullygnome.com/channel/alin0209/stream/34948637472","317","2853","9","20","-1","0","127","12","League of Legends"
"15","Wednesday 17th July 2019 16:36","https://sullygnome.com/channel/alin0209/stream/34938019152","249","1245","5","11","-1","0","84","12","League of Legends"
"16","Tuesday 16th July 2019 12:38","https://sullygnome.com/channel/alin0209/stream/34924838800","322","1932","6","11","0","0","67","12","League of Legends"
"17","Monday 15th July 2019 12:45","https://sullygnome.com/channel/alin0209/stream/34912447504","135","675","5","10","0","0","19","7","League of Legends"
"18","Monday 15th July 2019 05:10","https://sullygnome.com/channel/alin0209/stream/34910047344","170","1360","8","13","0","0","50","16","League of Legends"
"19","Sunday 14th July 2019 13:39","https://sullygnome.com/channel/alin0209/stream/34900818880","381","2667","7","14","-1","0","87","13","League of Legends"
"20","Saturday 13th July 2019 12:00","https://sullygnome.com/channel/alin0209/stream/34887575520","375","4125","11","15","0","0","59","9","League of Legends"
"21","Friday 12th July 2019 13:15","https://sullygnome.com/channel/alin0209/stream/34875568384","165","1155","7","12","-2","0","45","15","League of Legends"
"22","Thursday 11th July 2019 07:09","https://sullygnome.com/channel/alin0209/stream/34860984688","606","11514","19","29","2","0","290","28","League of Legends,Dead by Daylight"
"23","Tuesday 9th July 2019 10:49","https://sullygnome.com/channel/alin0209/stream/34837007264","401","6416","16","22","0","0","129","20","Dead by Daylight,League of Legends"
"24","Monday 8th July 2019 11:14","https://sullygnome.com/channel/alin0209/stream/34824715648","331","8275","25","47","5","0","234","44","Dead by Daylight"
"25","Sunday 7th July 2019 11:38","https://sullygnome.com/channel/alin0209/stream/34812639728","262","8384","32","40","3","0","207","48","Dead by Daylight"
"26","Sunday 7th July 2019 06:20","https://sullygnome.com/channel/alin0209/stream/34810791184","310","6510","21","33","1","0","142","27","Dead by Daylight"
"27","Saturday 6th July 2019 07:52","https://sullygnome.com/channel/alin0209/stream/34798777696","443","7974","18","25","4","0","155","20","Dead by Daylight"
"28","Friday 5th July 2019 09:13","https://sullygnome.com/channel/alin0209/stream/34786724960","602","15050","25","35","1","0","308","30","Dead by Daylight"
"29","Thursday 4th July 2019 09:10","https://sullygnome.com/channel/alin0209/stream/34775243536","350","7700","22","31","2","0","190","31","Dead by Daylight"
"30","Wednesday 3rd July 2019 09:40","https://sullygnome.com/channel/alin0209/stream/34762839824","380","8740","23","33","-1","0","198","30","Dead by Daylight"
"31","Tuesday 2nd July 2019 11:40","https://sullygnome.com/channel/alin0209/stream/34750857984","560","9520","17","27","2","0","266","28","Dead by Daylight,Grand Theft Auto V,Just Chatting"
"32","Monday 1st July 2019 16:36","https://sullygnome.com/channel/alin0209/stream/34737782128","264","3168","12","21","2","0","365","29","Dead by Daylight,Grand Theft Auto V"
