"","Stream start time","Stream URL","Stream length (mins)","Watch time (mins)","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"1","Wednesday 31st July 2019 15:27","https://sullygnome.com/channel/bonnieivse/stream/35112002784","213","5112","24","36","6","1","262","69","Counter-Strike: Global Offensive"
"2","Wednesday 31st July 2019 09:25","https://sullygnome.com/channel/bonnieivse/stream/35109456016","305","6405","21","29","17","3","304","60","Counter-Strike: Global Offensive"
"3","Tuesday 30th July 2019 15:57","https://sullygnome.com/channel/bonnieivse/stream/35099079472","288","2592","9","15","2","0","246","51","Counter-Strike: Global Offensive,Dota 2"
"4","Tuesday 30th July 2019 09:47","https://sullygnome.com/channel/bonnieivse/stream/35096325456","253","2783","11","18","5","1","208","52","Counter-Strike: Global Offensive"
"5","Monday 29th July 2019 15:45","https://sullygnome.com/channel/bonnieivse/stream/35086336208","300","3600","12","21","12","2","315","60","Counter-Strike: Global Offensive"
"6","Monday 29th July 2019 10:38","https://sullygnome.com/channel/bonnieivse/stream/35084070416","232","3016","13","23","4","1","333","83","Dota 2,Just Chatting,Counter-Strike: Global Offensive"
"7","Monday 29th July 2019 09:50","https://sullygnome.com/channel/bonnieivse/stream/35083821248","25","400","16","22","0","0","32","64","Just Chatting"
"8","Sunday 28th July 2019 12:51","https://sullygnome.com/channel/bonnieivse/stream/35073272960","234","2808","12","24","0","0","241","60","Dota 2,Counter-Strike: Global Offensive"
"9","Friday 26th July 2019 08:38","https://sullygnome.com/channel/bonnieivse/stream/35048121632","622","8708","14","29","-2","0","558","55","Just Chatting,Dota 2,Counter-Strike: Global Offensive"
"10","Wednesday 24th July 2019 15:11","https://sullygnome.com/channel/bonnieivse/stream/35026374352","109","763","7","10","-1","0","110","62","Counter-Strike: Global Offensive,Dota 2"
"11","Wednesday 24th July 2019 09:56","https://sullygnome.com/channel/bonnieivse/stream/35024214976","94","846","9","13","-1","0","72","41","Dota 2"
"12","Monday 22nd July 2019 08:04","https://sullygnome.com/channel/bonnieivse/stream/34998990128","266","3458","13","19","6","1","298","66","Dota 2,Counter-Strike: Global Offensive"
"13","Thursday 18th July 2019 10:40","https://sullygnome.com/channel/bonnieivse/stream/34949116256","245","2205","9","14","0","0","253","50","Dota 2,Counter-Strike: Global Offensive"
"14","Tuesday 16th July 2019 17:04","https://sullygnome.com/channel/bonnieivse/stream/34927221232","296","2072","7","16","-5","0","222","42","Dota 2,Just Chatting,Counter-Strike: Global Offensive"
"15","Tuesday 16th July 2019 08:28","https://sullygnome.com/channel/bonnieivse/stream/34923411152","302","3322","11","19","7","1","280","53","Dota 2,Counter-Strike: Global Offensive,Just Chatting"
"16","Monday 15th July 2019 17:46","https://sullygnome.com/channel/bonnieivse/stream/34915228816","179","2148","12","17","1","0","160","49","Dota 2"
"17","Monday 15th July 2019 05:46","https://sullygnome.com/channel/bonnieivse/stream/34910258304","224","3584","16","24","1","0","175","53","Dota 2"
"18","Saturday 13th July 2019 11:01","https://sullygnome.com/channel/bonnieivse/stream/34887242544","119","1666","14","22","3","1","112","56","Dota 2"
"19","Friday 12th July 2019 15:30","https://sullygnome.com/channel/bonnieivse/stream/34876562768","210","1890","9","14","-1","0","160","42","Just Chatting,Dota 2"
"20","Friday 12th July 2019 08:08","https://sullygnome.com/channel/bonnieivse/stream/34873754816","367","3670","10","19","-1","0","297","47","Dota 2,Just Chatting"
"21","Thursday 11th July 2019 08:44","https://sullygnome.com/channel/bonnieivse/stream/34861448656","271","2710","10","15","-1","0","206","43","Dota 2"
"22","Wednesday 10th July 2019 16:15","https://sullygnome.com/channel/bonnieivse/stream/34852142224","210","1470","7","11","-5","-1","165","47","Counter-Strike: Global Offensive,Dota 2"
"23","Wednesday 10th July 2019 10:56","https://sullygnome.com/channel/bonnieivse/stream/34849656768","169","1521","9","13","0","0","131","43","Dota 2"
"24","Tuesday 9th July 2019 09:09","https://sullygnome.com/channel/bonnieivse/stream/34836493232","456","3648","8","14","-3","0","306","39","Dota 2"
"25","Saturday 6th July 2019 11:00","https://sullygnome.com/channel/bonnieivse/stream/34800051184","345","4830","14","25","-5","0","267","44","Dota 2"
"26","Thursday 4th July 2019 12:10","https://sullygnome.com/channel/bonnieivse/stream/34776284592","395","15800","40","60","4","0","410","60","Dota 2,Dota Underlords"
"27","Wednesday 3rd July 2019 21:16","https://sullygnome.com/channel/bonnieivse/stream/34765870368","59","2655","45","60","4","0","297","49","Dota 2"
"28","Wednesday 3rd July 2019 09:19","https://sullygnome.com/channel/bonnieivse/stream/34762736144","266","6916","26","56","1","0","226","50","Dota 2"
"29","Tuesday 2nd July 2019 16:10","https://sullygnome.com/channel/bonnieivse/stream/34753051984","245","10290","42","56","-2","0","157","36","Dota 2"
"30","Tuesday 2nd July 2019 09:28","https://sullygnome.com/channel/bonnieivse/stream/34750132720","272","10880","40","59","4","0","207","43","Dota 2"
"31","Monday 1st July 2019 07:48","https://sullygnome.com/channel/bonnieivse/stream/34737492240","642","29532","46","65","14","1","869","80","Dota 2,Layers of Fear 2"
