"","Stream start time","Stream URL","Stream length (mins)","Watch time (mins)","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"1","Wednesday 31st July 2019 17:30","https://sullygnome.com/channel/beccasvg/stream/35113281920","210","5880","28","34","0","0","76","23","Dead by Daylight"
"2","Tuesday 30th July 2019 17:30","https://sullygnome.com/channel/beccasvg/stream/35100076624","210","8190","39","49","0","0","199","56","Dead by Daylight"
"3","Monday 29th July 2019 17:30","https://sullygnome.com/channel/beccasvg/stream/35087441024","180","8100","45","60","1","0","147","45","Dead by Daylight"
"4","Wednesday 24th July 2019 17:30","https://sullygnome.com/channel/beccasvg/stream/35027699648","195","4680","24","31","3","0","92","26","Dead by Daylight"
"5","Monday 22nd July 2019 17:29","https://sullygnome.com/channel/beccasvg/stream/35002997552","196","4508","23","33","0","0","72","22","Dead by Daylight"
"6","Saturday 20th July 2019 10:00","https://sullygnome.com/channel/beccasvg/stream/34974231120","285","6840","24","37","0","0","86","18","Dead by Daylight"
"7","Friday 19th July 2019 17:36","https://sullygnome.com/channel/beccasvg/stream/34965218144","234","6552","28","44","3","0","98","24","Dead by Daylight"
"8","Thursday 18th July 2019 17:31","https://sullygnome.com/channel/beccasvg/stream/34952700000","209","7106","34","41","2","0","115","32","Dead by Daylight"
"9","Tuesday 16th July 2019 17:31","https://sullygnome.com/channel/beccasvg/stream/34927523056","194","5820","30","38","2","0","99","30","Dead by Daylight"
"10","Monday 15th July 2019 17:30","https://sullygnome.com/channel/beccasvg/stream/34915057488","195","3315","17","21","0","0","54","16","Wallace &amp; Gromit in Project Zoo"
"11","Sunday 14th July 2019 09:00","https://sullygnome.com/channel/beccasvg/stream/34898954288","300","5100","17","22","-2","0","100","19","Wallace &amp; Gromit in Project Zoo"
"12","Saturday 13th July 2019 17:01","https://sullygnome.com/channel/beccasvg/stream/34890303744","314","36110","115","354","10","1","505","96","Dead by Daylight"
"13","Wednesday 10th July 2019 17:30","https://sullygnome.com/channel/beccasvg/stream/34852946608","195","3705","19","25","1","0","55","18","Minecraft"
"14","Monday 8th July 2019 18:01","https://sullygnome.com/channel/beccasvg/stream/34828271664","224","6048","27","34","3","0","103","27","Dead by Daylight"
"15","Saturday 6th July 2019 12:22","https://sullygnome.com/channel/beccasvg/stream/34800423328","308","8008","26","35","2","0","135","25","Deathgarden: BLOODHARVEST"
"16","Friday 5th July 2019 18:00","https://sullygnome.com/channel/beccasvg/stream/34790831536","315","8190","26","35","6","1","124","22","Deathgarden: BLOODHARVEST,Minecraft"
"17","Wednesday 3rd July 2019 17:29","https://sullygnome.com/channel/beccasvg/stream/34766608112","241","6025","25","36","2","0","116","27","Dead by Daylight"
"18","Tuesday 2nd July 2019 16:59","https://sullygnome.com/channel/beccasvg/stream/34753555456","301","9331","31","44","2","0","198","39","Dead by Daylight,Deathgarden: BLOODHARVEST"
"19","Monday 1st July 2019 17:01","https://sullygnome.com/channel/beccasvg/stream/34741321936","209","4180","20","29","1","0","95","27","Deathgarden: BLOODHARVEST"
