"","Stream start time","Stream URL","Stream length (mins)","Watch time (mins)","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"1","Wednesday 31st July 2019 16:51","https://sullygnome.com/channel/bk0322/stream/35112829728","24","1152","48","64","0","0","26","52","Travel &amp; Outdoors"
"2","Monday 29th July 2019 09:45","https://sullygnome.com/channel/bk0322/stream/35083650240","15","780","52","73","1","2","137","274","Travel &amp; Outdoors,Just Chatting"
"3","Sunday 28th July 2019 05:55","https://sullygnome.com/channel/bk0322/stream/35070860000","395","6320","16","33","-7","-1","455","70","League of Legends"
"4","Saturday 27th July 2019 09:07","https://sullygnome.com/channel/bk0322/stream/35060163616","188","3384","18","25","-3","-1","152","55","League of Legends"
"5","Wednesday 24th July 2019 16:49","https://sullygnome.com/channel/bk0322/stream/35027260480","71","2627","37","91","-1","0","173","115","Travel &amp; Outdoors"
"6","Wednesday 24th July 2019 06:04","https://sullygnome.com/channel/bk0322/stream/35023088080","341","21142","62","77","-9","-1","1385","251","Travel &amp; Outdoors"
"7","Tuesday 9th July 2019 06:45","https://sullygnome.com/channel/bk0322/stream/34835669856","0","0","48","61","-1","-4","229","916","Grand Theft Auto V"
"8","Tuesday 9th July 2019 05:58","https://sullygnome.com/channel/bk0322/stream/34835546736","17","816","48","61","-1","-2","229","458","Grand Theft Auto V"
"9","Monday 8th July 2019 17:45","https://sullygnome.com/channel/bk0322/stream/34827932448","0","0","32","32","0","0","0","0","Grand Theft Auto V"
"10","Wednesday 3rd July 2019 03:43","https://sullygnome.com/channel/bk0322/stream/34760776544","182","18200","100","146","14","4","1342","447","Grand Theft Auto V"
"11","Tuesday 2nd July 2019 04:11","https://sullygnome.com/channel/bk0322/stream/34748417760","259","25641","99","214","14","3","1572","349","Grand Theft Auto V,Teamfight Tactics"
"12","Monday 1st July 2019 05:31","https://sullygnome.com/channel/bk0322/stream/34736817280","74","4736","64","84","4","3","512","409","Grand Theft Auto V"
