"","Stream start time","Stream URL","Stream length (mins)","Watch time (mins)","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"1","Wednesday 31st July 2019 21:15","https://sullygnome.com/channel/bonesbeblazin/stream/35115863984","90","180","2","7","0","0","3","1","Apex Legends,Overwatch"
"2","Wednesday 31st July 2019 03:13","https://sullygnome.com/channel/bonesbeblazin/stream/35106874704","107","535","5","7","0","0","14","7","Apex Legends"
"3","Tuesday 30th July 2019 23:45","https://sullygnome.com/channel/bonesbeblazin/stream/35104373808","45","180","4","5","0","0","10","10","Overwatch"
"4","Tuesday 30th July 2019 21:00","https://sullygnome.com/channel/bonesbeblazin/stream/35102520112","45","180","4","5","0","0","7","7","Apex Legends"
"5","Tuesday 30th July 2019 14:00","https://sullygnome.com/channel/bonesbeblazin/stream/35098041920","195","390","2","5","0","0","17","4","Apex Legends"
"6","Tuesday 30th July 2019 02:00","https://sullygnome.com/channel/bonesbeblazin/stream/35092963264","0","0","1","1","0","0","0","0","Apex Legends"
"7","Tuesday 30th July 2019 00:45","https://sullygnome.com/channel/bonesbeblazin/stream/35092360464","45","270","6","15","0","0","8","8","Overwatch"
"8","Monday 29th July 2019 23:00","https://sullygnome.com/channel/bonesbeblazin/stream/35091295328","30","30","1","2","0","0","1","1","Overwatch"
"9","Monday 29th July 2019 22:00","https://sullygnome.com/channel/bonesbeblazin/stream/35090541712","30","120","4","5","0","0","7","9","Apex Legends"
"10","Monday 29th July 2019 18:45","https://sullygnome.com/channel/bonesbeblazin/stream/35088362880","0","0","1","1","0","0","0","0","Apex Legends"
"11","Monday 29th July 2019 04:00","https://sullygnome.com/channel/bonesbeblazin/stream/35081791264","240","1680","7","9","0","0","23","5","Apex Legends"
"12","Sunday 28th July 2019 23:15","https://sullygnome.com/channel/bonesbeblazin/stream/35079276272","180","540","3","5","-1","0","20","6","Overwatch,Apex Legends"
"13","Sunday 28th July 2019 21:30","https://sullygnome.com/channel/bonesbeblazin/stream/35078334960","60","120","2","6","0","0","5","4","Apex Legends"
"14","Sunday 28th July 2019 03:44","https://sullygnome.com/channel/bonesbeblazin/stream/35069914320","181","1086","6","12","-1","0","15","4","Apex Legends"
"15","Sunday 28th July 2019 00:45","https://sullygnome.com/channel/bonesbeblazin/stream/35068184048","90","270","3","4","0","0","7","4","Apex Legends,Overwatch"
"16","Saturday 27th July 2019 20:30","https://sullygnome.com/channel/bonesbeblazin/stream/35065760816","120","720","6","9","0","0","11","4","Apex Legends"
"17","Saturday 27th July 2019 05:30","https://sullygnome.com/channel/bonesbeblazin/stream/35058874416","195","390","2","6","3","0","8","2","Apex Legends"
"18","Saturday 27th July 2019 02:15","https://sullygnome.com/channel/bonesbeblazin/stream/35057241584","135","270","2","5","0","0","5","2","Overwatch,Apex Legends"
"19","Friday 26th July 2019 18:57","https://sullygnome.com/channel/bonesbeblazin/stream/35052398416","183","1098","6","11","-2","0","30","7","Apex Legends"
"20","Friday 26th July 2019 04:36","https://sullygnome.com/channel/bonesbeblazin/stream/35044446192","174","522","3","6","3","0","28","3","Apex Legends"
"21","Thursday 25th July 2019 03:45","https://sullygnome.com/channel/bonesbeblazin/stream/35034270144","135","540","4","6","0","0","5","2","Apex Legends"
"22","Thursday 25th July 2019 02:15","https://sullygnome.com/channel/bonesbeblazin/stream/35033465040","15","30","2","3","0","0","3","6","Apex Legends"
"23","Thursday 25th July 2019 01:30","https://sullygnome.com/channel/bonesbeblazin/stream/35032960352","0","0","4","6","0","0","2","8","Apex Legends"
"24","Thursday 25th July 2019 00:15","https://sullygnome.com/channel/bonesbeblazin/stream/35032232704","45","135","3","6","0","0","9","9","Overwatch"
"25","Wednesday 24th July 2019 18:45","https://sullygnome.com/channel/bonesbeblazin/stream/35028487568","180","1080","6","10","-2","0","14","4","Apex Legends"
