"","Stream start time","Stream URL","Stream length (mins)","Watch time (mins)","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"1","Wednesday 31st July 2019 04:45","https://sullygnome.com/channel/bounties/stream/35107724784","75","1650","22","28","4","3","36","28","Fortnite"
"2","Tuesday 30th July 2019 02:42","https://sullygnome.com/channel/bounties/stream/35093690000","78","702","9","24","12","8","140","93","Fortnite"
"3","Monday 29th July 2019 20:30","https://sullygnome.com/channel/bounties/stream/35089656416","105","3360","32","50","7","4","23","13","Fortnite"
"4","Monday 29th July 2019 02:29","https://sullygnome.com/channel/bounties/stream/35081269344","136","4488","33","37","6","3","28","16","Fortnite"
"5","Sunday 28th July 2019 22:50","https://sullygnome.com/channel/bounties/stream/35079153888","205","6560","32","56","4","1","44","13","Fortnite"
"6","Sunday 28th July 2019 03:27","https://sullygnome.com/channel/bounties/stream/35069775360","183","7137","39","52","12","3","64","19","Fortnite"
"7","Saturday 27th July 2019 02:15","https://sullygnome.com/channel/bounties/stream/35057370400","240","6720","28","35","11","2","75","18","Fortnite"
"8","Friday 26th July 2019 00:10","https://sullygnome.com/channel/bounties/stream/35044247840","290","7250","25","34","19","3","110","22","Fortnite"
"9","Wednesday 24th July 2019 23:12","https://sullygnome.com/channel/bounties/stream/35031572576","333","6327","19","26","19","3","104","18","Fortnite"
"10","Wednesday 24th July 2019 03:15","https://sullygnome.com/channel/bounties/stream/35021886112","165","4125","25","33","15","5","58","19","Fortnite"
"11","Tuesday 23rd July 2019 03:28","https://sullygnome.com/channel/bounties/stream/35009596448","152","3648","24","32","9","3","40","16","Fortnite"
"12","Monday 22nd July 2019 00:03","https://sullygnome.com/channel/bounties/stream/34995489728","237","2844","12","20","14","3","58","14","Fortnite"
"13","Saturday 20th July 2019 23:55","https://sullygnome.com/channel/bounties/stream/34983213536","200","4200","21","31","12","3","77","22","Fortnite"
"14","Wednesday 10th July 2019 03:52","https://sullygnome.com/channel/bounties/stream/34847259392","263","4208","16","27","17","4","49","11","Fortnite"
"15","Tuesday 9th July 2019 03:51","https://sullygnome.com/channel/bounties/stream/34834684176","54","540","10","15","2","2","20","20","Fortnite"
"16","Sunday 7th July 2019 02:42","https://sullygnome.com/channel/bounties/stream/34809102832","138","1242","9","15","14","5","43","17","Fortnite"
"17","Friday 5th July 2019 03:05","https://sullygnome.com/channel/bounties/stream/34784574624","70","1260","18","20","0","0","13","13","Fortnite"
"18","Thursday 4th July 2019 04:44","https://sullygnome.com/channel/bounties/stream/34773727792","151","3171","21","25","4","1","59","23","Fortnite"
"19","Wednesday 3rd July 2019 03:21","https://sullygnome.com/channel/bounties/stream/34760585328","144","3312","23","33","13","5","56","22","Fortnite,Pummel Party"
"20","Monday 1st July 2019 18:45","https://sullygnome.com/channel/bounties/stream/34742525728","120","1800","15","23","7","3","44","19","Fortnite"
"21","Monday 1st July 2019 00:58","https://sullygnome.com/channel/bounties/stream/34734611440","287","5166","18","27","16","3","66","13","Fortnite"
