"","Stream start time","Stream URL","Stream length (mins)","Watch time (mins)","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"1","Wednesday 31st July 2019 11:12","https://sullygnome.com/channel/ca93100/stream/35110040288","198","1782","9","12","0","0","79","24","Just Chatting"
"2","Monday 29th July 2019 10:22","https://sullygnome.com/channel/ca93100/stream/35083988640","263","4208","16","22","2","0","136","30","Just Chatting,Overwatch"
"3","Sunday 28th July 2019 13:44","https://sullygnome.com/channel/ca93100/stream/35073670192","121","1573","13","25","-2","0","92","40","Overwatch"
"4","Sunday 28th July 2019 09:58","https://sullygnome.com/channel/ca93100/stream/35072144064","197","3152","16","28","0","0","116","33","Overwatch"
"5","Saturday 27th July 2019 10:45","https://sullygnome.com/channel/ca93100/stream/35060671104","315","5040","16","24","6","1","156","29","Overwatch,Art"
"6","Saturday 27th July 2019 09:48","https://sullygnome.com/channel/ca93100/stream/35060365968","42","546","13","19","-1","-1","18","24","Just Chatting,Overwatch"
"7","Friday 26th July 2019 10:02","https://sullygnome.com/channel/ca93100/stream/35048533232","358","4654","13","20","2","0","183","29","Just Chatting,Overwatch,Art"
"8","Thursday 25th July 2019 09:27","https://sullygnome.com/channel/ca93100/stream/35036334768","348","6264","18","27","2","0","203","33","Overwatch,Just Chatting"
"9","Monday 22nd July 2019 09:11","https://sullygnome.com/channel/ca93100/stream/34999296416","319","4785","15","23","1","0","145","26","Overwatch"
"10","Sunday 21st July 2019 10:18","https://sullygnome.com/channel/ca93100/stream/34987702384","267","3471","13","19","0","0","88","20","Overwatch,League of Legends"
"11","Saturday 20th July 2019 09:19","https://sullygnome.com/channel/ca93100/stream/34974001184","296","2368","8","12","3","0","119","23","Overwatch,League of Legends"
"12","Friday 19th July 2019 09:14","https://sullygnome.com/channel/ca93100/stream/34961316592","811","13787","17","63","6","0","406","31","Overwatch,League of Legends"
"13","Thursday 18th July 2019 09:15","https://sullygnome.com/channel/ca93100/stream/34948910304","375","7875","21","32","6","0","295","47","Overwatch"
"14","Monday 15th July 2019 09:47","https://sullygnome.com/channel/ca93100/stream/34911428288","223","3791","17","24","2","0","121","32","Overwatch"
"15","Sunday 14th July 2019 23:57","https://sullygnome.com/channel/ca93100/stream/34907318000","213","2769","13","20","8","2","173","49","Overwatch"
"16","Sunday 14th July 2019 06:51","https://sullygnome.com/channel/ca93100/stream/34898278256","204","3060","15","20","4","1","163","46","Overwatch"
"17","Saturday 13th July 2019 12:04","https://sullygnome.com/channel/ca93100/stream/34887669648","296","5624","19","28","5","0","213","40","Overwatch"
"18","Friday 12th July 2019 21:30","https://sullygnome.com/channel/ca93100/stream/34880735488","255","6885","27","49","5","1","258","57","Overwatch"
"19","Friday 12th July 2019 07:37","https://sullygnome.com/channel/ca93100/stream/34873606416","518","9324","18","28","2","0","300","34","Just Chatting,Overwatch"
"20","Thursday 11th July 2019 08:28","https://sullygnome.com/channel/ca93100/stream/34861369952","407","6919","17","26","4","0","209","29","Overwatch"
"21","Tuesday 9th July 2019 09:17","https://sullygnome.com/channel/ca93100/stream/34836531200","313","7512","24","34","3","0","201","38","Overwatch"
"22","Monday 8th July 2019 09:03","https://sullygnome.com/channel/ca93100/stream/34824008944","402","8442","21","32","-5","0","287","42","Overwatch"
"23","Sunday 7th July 2019 09:46","https://sullygnome.com/channel/ca93100/stream/34811943952","419","7542","18","28","4","0","277","41","Just Chatting,Overwatch"
"24","Saturday 6th July 2019 09:25","https://sullygnome.com/channel/ca93100/stream/34799293776","410","11480","28","44","8","1","340","48","Just Chatting,Overwatch"
"25","Friday 5th July 2019 09:43","https://sullygnome.com/channel/ca93100/stream/34786869632","332","7636","23","35","1","0","236","41","Just Chatting,Overwatch"
"26","Thursday 4th July 2019 08:44","https://sullygnome.com/channel/ca93100/stream/34775104656","361","6859","19","29","2","0","271","43","Just Chatting,Overwatch,Art"
"27","Wednesday 3rd July 2019 08:20","https://sullygnome.com/channel/ca93100/stream/34762447152","430","6450","15","29","2","0","287","39","Overwatch"
"28","Monday 1st July 2019 07:46","https://sullygnome.com/channel/ca93100/stream/34737485024","224","4256","19","54","6","1","193","51","Overwatch"
"29","Monday 1st July 2019 07:15","https://sullygnome.com/channel/ca93100/stream/34737306032","15","120","8","9","1","2","0","0","Overwatch"
