"","Stream start time","Stream URL","Stream length (mins)","Watch time (mins)","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"1","Wednesday 31st July 2019 18:01","https://sullygnome.com/channel/cactusroom/stream/35113636096","194","1164","6","8","1","0","27","9","Music"
"2","Wednesday 31st July 2019 06:01","https://sullygnome.com/channel/cactusroom/stream/35108264112","149","298","2","5","0","0","10","4","Music"
"3","Tuesday 30th July 2019 18:15","https://sullygnome.com/channel/cactusroom/stream/35100454112","135","945","7","14","2","0","12","4","Music"
"4","Tuesday 30th July 2019 06:00","https://sullygnome.com/channel/cactusroom/stream/35095195600","225","1125","5","8","2","0","23","5","Music"
"5","Monday 29th July 2019 18:02","https://sullygnome.com/channel/cactusroom/stream/35087816720","208","1248","6","18","2","0","34","10","Music"
"6","Monday 29th July 2019 06:01","https://sullygnome.com/channel/cactusroom/stream/35082738512","224","2688","12","18","4","1","50","13","Music"
"7","Tuesday 23rd July 2019 18:02","https://sullygnome.com/channel/cactusroom/stream/35015833488","208","624","3","5","0","0","8","2","Music"
"8","Tuesday 23rd July 2019 06:03","https://sullygnome.com/channel/cactusroom/stream/35010704080","342","2394","7","11","-1","0","27","4","Music"
"9","Monday 22nd July 2019 18:07","https://sullygnome.com/channel/cactusroom/stream/35003450256","368","2576","7","13","2","0","32","5","Music"
"10","Monday 22nd July 2019 06:04","https://sullygnome.com/channel/cactusroom/stream/34998418960","266","1596","6","10","0","0","31","6","Music"
"11","Thursday 18th July 2019 07:15","https://sullygnome.com/channel/cactusroom/stream/34948220064","105","210","2","5","1","0","16","8","Music"
"12","Wednesday 17th July 2019 06:02","https://sullygnome.com/channel/cactusroom/stream/34935298048","238","714","3","7","2","0","19","4","Music"
"13","Tuesday 16th July 2019 06:58","https://sullygnome.com/channel/cactusroom/stream/34922974736","182","728","4","7","2","0","20","6","Music"
"14","Sunday 14th July 2019 06:02","https://sullygnome.com/channel/cactusroom/stream/34897992848","223","1338","6","8","1","0","16","4","Music"
"15","Saturday 13th July 2019 18:45","https://sullygnome.com/channel/cactusroom/stream/34891260224","150","450","3","5","1","0","12","4","Music"
"16","Friday 12th July 2019 18:30","https://sullygnome.com/channel/cactusroom/stream/34878587024","1140","6840","6","14","8","0","119","6","Music"
"17","Friday 12th July 2019 06:15","https://sullygnome.com/channel/cactusroom/stream/34873168368","240","1200","5","12","1","0","34","8","Music"
"18","Thursday 11th July 2019 19:30","https://sullygnome.com/channel/cactusroom/stream/34866665056","135","675","5","8","1","0","9","3","Music"
"19","Thursday 11th July 2019 06:02","https://sullygnome.com/channel/cactusroom/stream/34860642080","373","1492","4","8","1","0","31","4","Music"
"20","Tuesday 9th July 2019 14:30","https://sullygnome.com/channel/cactusroom/stream/34838593872","105","315","3","4","0","0","6","3","Music"
"21","Monday 8th July 2019 14:32","https://sullygnome.com/channel/cactusroom/stream/34826151104","403","2418","6","10","1","0","41","6","Music"
"22","Monday 8th July 2019 03:37","https://sullygnome.com/channel/cactusroom/stream/34822132880","263","2630","10","14","2","0","41","9","Music"
"23","Friday 5th July 2019 22:01","https://sullygnome.com/channel/cactusroom/stream/34793658224","1094","6564","6","21","9","0","127","6","Music"
"24","Thursday 4th July 2019 14:32","https://sullygnome.com/channel/cactusroom/stream/34777356256","313","1252","4","8","0","0","29","5","Music"
"25","Wednesday 3rd July 2019 14:30","https://sullygnome.com/channel/cactusroom/stream/34764799584","420","2940","7","16","5","0","64","8","Music"
"26","Tuesday 2nd July 2019 18:00","https://sullygnome.com/channel/cactusroom/stream/34754327120","120","240","2","6","1","0","8","3","Music"
"27","Monday 1st July 2019 14:49","https://sullygnome.com/channel/cactusroom/stream/34740037232","266","1064","4","8","0","0","16","3","Music"
"28","Monday 1st July 2019 02:35","https://sullygnome.com/channel/cactusroom/stream/34735536464","220","1540","7","11","3","0","19","5","Music"
