"","Stream start time","Stream URL","Stream length (mins)","Watch time (mins)","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"1","Saturday 27th July 2019 17:26","https://sullygnome.com/channel/chaovr/stream/35063862032","259","777","3","8","2","0","27","6","Dead by Daylight"
"2","Friday 26th July 2019 18:00","https://sullygnome.com/channel/chaovr/stream/35052241056","150","150","1","4","1","0","10","3","Beat Saber,Borderlands 2"
"3","Wednesday 24th July 2019 23:00","https://sullygnome.com/channel/chaovr/stream/35031428192","90","180","2","3","1","0","7","4","Beat Saber"
"4","Tuesday 23rd July 2019 21:45","https://sullygnome.com/channel/chaovr/stream/35018423984","210","420","2","5","0","0","29","7","Dead by Daylight"
"5","Monday 22nd July 2019 22:15","https://sullygnome.com/channel/chaovr/stream/35006237872","105","210","2","3","0","0","13","6","Beat Saber,Dead by Daylight"
"6","Saturday 20th July 2019 03:15","https://sullygnome.com/channel/chaovr/stream/34971551536","105","210","2","4","1","0","11","5","Dead by Daylight,Beat Saber"
"7","Friday 19th July 2019 18:00","https://sullygnome.com/channel/chaovr/stream/34965491824","285","570","2","6","0","0","37","7","Dead by Daylight"
"8","Friday 19th July 2019 01:24","https://sullygnome.com/channel/chaovr/stream/34957987088","291","873","3","6","0","0","25","5","Dead by Daylight"
"9","Wednesday 17th July 2019 21:45","https://sullygnome.com/channel/chaovr/stream/34943190768","240","720","3","7","0","0","25","5","Dead by Daylight"
"10","Wednesday 17th July 2019 02:15","https://sullygnome.com/channel/chaovr/stream/34933530624","135","270","2","4","0","0","13","5","Dead by Daylight"
"11","Monday 15th July 2019 23:23","https://sullygnome.com/channel/chaovr/stream/34919076096","232","1160","5","10","0","0","29","7","Dead by Daylight"
"12","Friday 12th July 2019 13:11","https://sullygnome.com/channel/chaovr/stream/34875517680","424","4240","10","16","6","0","56","8","Dead by Daylight"
"13","Monday 8th July 2019 19:00","https://sullygnome.com/channel/chaovr/stream/34828922080","210","630","3","6","0","0","25","6","Dead by Daylight"
"14","Friday 5th July 2019 16:37","https://sullygnome.com/channel/chaovr/stream/34789940752","998","6986","7","16","12","0","188","11","Dead by Daylight,Closers,Solitaire Collection"
"15","Thursday 4th July 2019 22:30","https://sullygnome.com/channel/chaovr/stream/34782029632","345","1035","3","6","0","0","25","4","Dead by Daylight"
"16","Thursday 4th July 2019 00:15","https://sullygnome.com/channel/chaovr/stream/34771120160","210","210","1","4","0","0","9","2","Dead by Daylight"
"17","Monday 1st July 2019 22:15","https://sullygnome.com/channel/chaovr/stream/34744905808","165","330","2","5","0","0","10","3","Dead by Daylight"
