"","Stream start time","Stream URL","Stream length (mins)","Watch time (mins)","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"1","Wednesday 31st July 2019 12:15","https://sullygnome.com/channel/chrisso_197/stream/35110391136","165","660","4","7","0","0","13","4","PUBG: BATTLEGROUNDS"
"2","Sunday 28th July 2019 09:20","https://sullygnome.com/channel/chrisso_197/stream/35071941984","190","1520","8","38","0","0","70","28","PUBG: BATTLEGROUNDS"
"3","Saturday 27th July 2019 19:45","https://sullygnome.com/channel/chrisso_197/stream/35064665168","45","45","1","3","0","0","10","10","PUBG: BATTLEGROUNDS"
"4","Saturday 27th July 2019 11:45","https://sullygnome.com/channel/chrisso_197/stream/35060977680","150","900","6","10","0","0","34","12","PUBG: BATTLEGROUNDS"
"5","Friday 26th July 2019 13:11","https://sullygnome.com/channel/chrisso_197/stream/35049697568","634","3804","6","18","5","0","151","14","PUBG: BATTLEGROUNDS"
"6","Friday 26th July 2019 10:45","https://sullygnome.com/channel/chrisso_197/stream/35048705888","45","45","1","3","0","0","1","1","PUBG: BATTLEGROUNDS"
"7","Thursday 25th July 2019 13:19","https://sullygnome.com/channel/chrisso_197/stream/35037713088","116","696","6","11","0","0","31","15","PUBG: BATTLEGROUNDS"
"8","Thursday 25th July 2019 08:15","https://sullygnome.com/channel/chrisso_197/stream/35035923552","180","1620","9","68","1","0","84","25","PUBG: BATTLEGROUNDS"
"9","Wednesday 24th July 2019 12:00","https://sullygnome.com/channel/chrisso_197/stream/35024879504","120","120","1","3","0","0","10","4","PUBG: BATTLEGROUNDS"
"10","Wednesday 24th July 2019 07:42","https://sullygnome.com/channel/chrisso_197/stream/35023567648","183","549","3","9","0","0","40","12","PUBG: BATTLEGROUNDS"
"11","Monday 22nd July 2019 08:38","https://sullygnome.com/channel/chrisso_197/stream/34999142784","217","868","4","13","3","0","50","13","PUBG: BATTLEGROUNDS"
"12","Sunday 21st July 2019 21:45","https://sullygnome.com/channel/chrisso_197/stream/34994024688","30","180","6","13","0","0","11","14","PUBG: BATTLEGROUNDS"
"13","Sunday 21st July 2019 07:00","https://sullygnome.com/channel/chrisso_197/stream/34986666720","90","450","5","10","1","0","5","3","PUBG: BATTLEGROUNDS"
"14","Saturday 20th July 2019 06:22","https://sullygnome.com/channel/chrisso_197/stream/34973014768","218","2834","13","18","2","0","45","12","PUBG: BATTLEGROUNDS"
"15","Friday 19th July 2019 12:28","https://sullygnome.com/channel/chrisso_197/stream/34962434256","287","2583","9","12","-1","0","71","14","PUBG: BATTLEGROUNDS,Just Chatting"
"16","Friday 19th July 2019 12:00","https://sullygnome.com/channel/chrisso_197/stream/34962217216","15","90","6","11","0","0","13","26","PUBG: BATTLEGROUNDS"
"17","Friday 19th July 2019 05:38","https://sullygnome.com/channel/chrisso_197/stream/34960212288","67","670","10","15","0","0","11","8","PUBG: BATTLEGROUNDS"
"18","Wednesday 17th July 2019 20:34","https://sullygnome.com/channel/chrisso_197/stream/34942402336","56","336","6","9","0","0","11","11","PUBG: BATTLEGROUNDS"
"19","Wednesday 17th July 2019 15:21","https://sullygnome.com/channel/chrisso_197/stream/34938827744","99","792","8","11","1","0","49","28","PUBG: BATTLEGROUNDS"
"20","Monday 15th July 2019 10:05","https://sullygnome.com/channel/chrisso_197/stream/34911523040","280","5320","19","86","1","0","324","68","PUBG: BATTLEGROUNDS"
"21","Sunday 14th July 2019 10:04","https://sullygnome.com/channel/chrisso_197/stream/34899316832","236","1888","8","11","1","0","108","30","PUBG: BATTLEGROUNDS"
"22","Saturday 13th July 2019 10:45","https://sullygnome.com/channel/chrisso_197/stream/34887136768","180","360","2","4","0","0","24","7","PUBG: BATTLEGROUNDS"
"23","Friday 12th July 2019 19:45","https://sullygnome.com/channel/chrisso_197/stream/34879337584","225","675","3","6","-1","0","32","8","PUBG: BATTLEGROUNDS"
"24","Friday 12th July 2019 08:15","https://sullygnome.com/channel/chrisso_197/stream/34873763360","330","2970","9","15","3","0","86","14","PUBG: BATTLEGROUNDS"
"25","Thursday 11th July 2019 08:22","https://sullygnome.com/channel/chrisso_197/stream/34861342320","443","3101","7","20","0","0","133","18","PUBG: BATTLEGROUNDS"
"26","Wednesday 10th July 2019 12:43","https://sullygnome.com/channel/chrisso_197/stream/34850338304","47","423","9","11","0","0","12","16","PUBG: BATTLEGROUNDS"
"27","Wednesday 10th July 2019 12:30","https://sullygnome.com/channel/chrisso_197/stream/34850212928","0","0","5","5","0","0","0","0","PUBG: BATTLEGROUNDS"
"28","Wednesday 10th July 2019 10:00","https://sullygnome.com/channel/chrisso_197/stream/34849336880","75","300","4","8","0","0","25","16","PUBG: BATTLEGROUNDS"
"29","Tuesday 9th July 2019 21:30","https://sullygnome.com/channel/chrisso_197/stream/34843214544","45","180","4","7","1","1","17","17","PUBG: BATTLEGROUNDS"
"30","Wednesday 3rd July 2019 18:30","https://sullygnome.com/channel/chrisso_197/stream/34767345024","45","45","1","3","0","0","6","6","PUBG: BATTLEGROUNDS"
"31","Tuesday 2nd July 2019 20:42","https://sullygnome.com/channel/chrisso_197/stream/34756343040","93","465","5","9","0","0","22","17","PUBG: BATTLEGROUNDS"
"32","Monday 1st July 2019 20:00","https://sullygnome.com/channel/chrisso_197/stream/34743303408","135","270","2","5","0","0","31","12","PUBG: BATTLEGROUNDS"
