"","Stream start time","Stream URL","Stream length (mins)","Watch time (mins)","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"1","Tuesday 30th July 2019 08:45","https://sullygnome.com/channel/comebackishere/stream/35096014672","60","900","15","27","1","0","43","34","League of Legends"
"2","Monday 29th July 2019 15:56","https://sullygnome.com/channel/comebackishere/stream/35086461664","34","442","13","19","0","0","28","37","League of Legends"
"3","Thursday 25th July 2019 12:07","https://sullygnome.com/channel/comebackishere/stream/35037225536","98","2058","21","37","2","1","120","68","League of Legends"
"4","Thursday 25th July 2019 06:25","https://sullygnome.com/channel/comebackishere/stream/35035425632","155","2790","18","31","6","2","109","39","League of Legends"
"5","Wednesday 24th July 2019 13:50","https://sullygnome.com/channel/comebackishere/stream/35025699712","145","3915","27","38","4","1","162","64","League of Legends"
"6","Wednesday 24th July 2019 06:32","https://sullygnome.com/channel/comebackishere/stream/35023235456","28","280","10","10","0","0","0","0","League of Legends"
"7","Monday 22nd July 2019 05:35","https://sullygnome.com/channel/comebackishere/stream/34998261904","175","2100","12","23","6","2","87","29","League of Legends"
"8","Sunday 21st July 2019 15:30","https://sullygnome.com/channel/comebackishere/stream/34990021376","30","270","9","13","0","0","0","0","League of Legends"
"9","Sunday 21st July 2019 11:00","https://sullygnome.com/channel/comebackishere/stream/34987865120","135","4185","31","41","1","0","139","55","League of Legends"
"10","Sunday 21st July 2019 06:35","https://sullygnome.com/channel/comebackishere/stream/34986528880","160","3840","24","32","8","3","121","48","League of Legends"
"11","Saturday 20th July 2019 19:00","https://sullygnome.com/channel/comebackishere/stream/34979806144","60","420","7","12","1","0","53","42","League of Legends"
"12","Saturday 20th July 2019 06:45","https://sullygnome.com/channel/comebackishere/stream/34973126640","60","900","15","27","4","3","66","52","League of Legends"
"13","Friday 19th July 2019 06:15","https://sullygnome.com/channel/comebackishere/stream/34960428368","300","4500","15","33","4","0","197","37","League of Legends"
"14","Thursday 18th July 2019 09:04","https://sullygnome.com/channel/comebackishere/stream/34948852272","26","650","25","30","0","0","44","88","League of Legends"
"15","Thursday 18th July 2019 06:15","https://sullygnome.com/channel/comebackishere/stream/34947994272","135","2430","18","32","2","0","71","28","League of Legends"
"16","Wednesday 17th July 2019 16:15","https://sullygnome.com/channel/comebackishere/stream/34939222960","0","0","6","6","0","0","0","0","League of Legends"
"17","Tuesday 16th July 2019 16:16","https://sullygnome.com/channel/comebackishere/stream/34926718048","284","7100","25","36","5","1","357","71","League of Legends"
"18","Tuesday 16th July 2019 08:30","https://sullygnome.com/channel/comebackishere/stream/34923313088","30","630","21","28","0","0","60","80","League of Legends"
"19","Tuesday 16th July 2019 07:45","https://sullygnome.com/channel/comebackishere/stream/34923172992","15","180","12","28","0","0","61","122","League of Legends"
"20","Monday 15th July 2019 10:59","https://sullygnome.com/channel/comebackishere/stream/34911803872","166","4980","30","45","3","1","220","73","League of Legends"
"21","Thursday 11th July 2019 17:17","https://sullygnome.com/channel/comebackishere/stream/34865021744","88","2992","34","60","1","0","210","120","League of Legends"
"22","Thursday 11th July 2019 11:58","https://sullygnome.com/channel/comebackishere/stream/34862514496","122","1830","15","19","4","2","82","41","League of Legends"
"23","Thursday 11th July 2019 10:26","https://sullygnome.com/channel/comebackishere/stream/34861965200","34","714","21","26","0","0","0","0","League of Legends"
"24","Thursday 11th July 2019 06:03","https://sullygnome.com/channel/comebackishere/stream/34860644448","87","783","9","14","1","0","36","28","League of Legends"
