"","Stream start time","Stream URL","Stream length (mins)","Watch time (mins)","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"1","Friday 26th July 2019 01:09","https://sullygnome.com/channel/datoobah/stream/35044881232","201","1206","6","16","0","0","38","10","Fortnite"
"2","Thursday 25th July 2019 00:49","https://sullygnome.com/channel/datoobah/stream/35032591696","311","1555","5","10","2","0","80","14","Don't Starve Together,Fortnite"
"3","Tuesday 23rd July 2019 16:45","https://sullygnome.com/channel/datoobah/stream/35014970816","630","6300","10","16","5","0","216","20","Fortnite,Don't Starve Together"
"4","Saturday 6th July 2019 05:15","https://sullygnome.com/channel/datoobah/stream/34797829168","150","450","3","7","0","0","31","11","Fortnite"
"5","Wednesday 3rd July 2019 21:10","https://sullygnome.com/channel/datoobah/stream/34769258016","245","2205","9","17","1","0","64","16","Fortnite"
"6","Tuesday 2nd July 2019 22:46","https://sullygnome.com/channel/datoobah/stream/34757699152","479","3832","8","17","2","0","203","24","Shadow of the Tomb Raider,Fortnite,Don't Starve Together,Overwatch"
"7","Tuesday 2nd July 2019 03:06","https://sullygnome.com/channel/datoobah/stream/34747884448","174","1566","9","16","0","0","104","34","Don't Starve Together,Fortnite"
"8","Monday 1st July 2019 22:58","https://sullygnome.com/channel/datoobah/stream/34745336576","122","732","6","9","1","0","45","20","Don't Starve Together"
"9","Monday 1st July 2019 04:06","https://sullygnome.com/channel/datoobah/stream/34736273984","144","1296","9","11","0","0","43","15","Overwatch,Don't Starve Together"
"10","Sunday 30th June 2019 23:52","https://sullygnome.com/channel/datoobah/stream/34733969520","218","1744","8","11","1","0","64","17","Fortnite,Don't Starve Together"
