"","Stream start time","Stream URL","Stream length (mins)","Watch time (mins)","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"1","Wednesday 31st July 2019 08:51","https://sullygnome.com/channel/ddaeddae/stream/35109265760","549","5490","10","16","0","0","49","5","Teamfight Tactics,Don't Starve"
"2","Tuesday 30th July 2019 06:10","https://sullygnome.com/channel/ddaeddae/stream/35095246032","680","6120","9","18","0","0","36","3","Teamfight Tactics,Don't Starve"
"3","Thursday 25th July 2019 08:59","https://sullygnome.com/channel/ddaeddae/stream/35036192912","496","4464","9","17","0","0","33","4","League of Legends,Teamfight Tactics"
"4","Wednesday 24th July 2019 10:26","https://sullygnome.com/channel/ddaeddae/stream/35024371872","439","6146","14","25","0","0","31","4","League of Legends,Teamfight Tactics"
"5","Tuesday 23rd July 2019 11:48","https://sullygnome.com/channel/ddaeddae/stream/35012557056","312","4368","14","22","1","0","30","5","Teamfight Tactics"
"6","Monday 22nd July 2019 11:04","https://sullygnome.com/channel/ddaeddae/stream/34999874848","266","3724","14","22","0","0","27","6","League of Legends,Teamfight Tactics"
"7","Sunday 21st July 2019 11:18","https://sullygnome.com/channel/ddaeddae/stream/34988054000","492","8856","18","33","0","0","28","3","Gran Turismo Sport,League of Legends,Teamfight Tactics"
"8","Friday 19th July 2019 10:17","https://sullygnome.com/channel/ddaeddae/stream/34961645696","538","10760","20","30","0","0","24","2","Teamfight Tactics"
"9","Thursday 18th July 2019 04:58","https://sullygnome.com/channel/ddaeddae/stream/34947547344","287","4592","16","22","0","0","28","5","Teamfight Tactics"
"10","Wednesday 17th July 2019 10:18","https://sullygnome.com/channel/ddaeddae/stream/34936608096","807","12105","15","27","2","0","58","4","Teamfight Tactics"
"11","Tuesday 16th July 2019 08:43","https://sullygnome.com/channel/ddaeddae/stream/34923483600","512","7168","14","23","0","0","26","2","League of Legends,Teamfight Tactics"
"12","Monday 15th July 2019 10:36","https://sullygnome.com/channel/ddaeddae/stream/34911681760","384","4608","12","19","0","0","32","4","League of Legends,Teamfight Tactics,Darkest Dungeon"
"13","Sunday 14th July 2019 11:04","https://sullygnome.com/channel/ddaeddae/stream/34899674848","356","5340","15","26","2","0","47","7","Gran Turismo Sport,League of Legends,Teamfight Tactics"
"14","Wednesday 10th July 2019 12:09","https://sullygnome.com/channel/ddaeddae/stream/34850113280","276","4140","15","20","0","0","21","4","Teamfight Tactics"
"15","Tuesday 9th July 2019 10:51","https://sullygnome.com/channel/ddaeddae/stream/34837017424","429","6435","15","20","1","0","17","2","League of Legends,Teamfight Tactics"
"16","Monday 8th July 2019 12:01","https://sullygnome.com/channel/ddaeddae/stream/34825021264","299","3887","13","19","0","0","16","3","League of Legends,Teamfight Tactics"
"17","Sunday 7th July 2019 11:26","https://sullygnome.com/channel/ddaeddae/stream/34812561712","304","4864","16","29","1","0","60","11","Gran Turismo Sport,Teamfight Tactics"
"18","Saturday 6th July 2019 12:44","https://sullygnome.com/channel/ddaeddae/stream/34800580816","331","4965","15","20","0","0","7","1","League of Legends,Teamfight Tactics"
"19","Friday 5th July 2019 10:50","https://sullygnome.com/channel/ddaeddae/stream/34787221808","310","4650","15","23","0","0","159","30","League of Legends,Teamfight Tactics"
"20","Thursday 4th July 2019 11:19","https://sullygnome.com/channel/ddaeddae/stream/34775956352","191","2483","13","24","0","0","19","5","League of Legends"
"21","Tuesday 2nd July 2019 09:46","https://sullygnome.com/channel/ddaeddae/stream/34750216672","584","7008","12","23","0","0","33","3","League of Legends,Teamfight Tactics,Darkest Dungeon"
"22","Monday 1st July 2019 09:39","https://sullygnome.com/channel/ddaeddae/stream/34738009712","561","6732","12","21","0","0","18","1","Teamfight Tactics,League of Legends,Darkest Dungeon"
