"","Stream start time","Stream URL","Stream length (mins)","Watch time (mins)","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"1","Wednesday 31st July 2019 18:15","https://sullygnome.com/channel/doomlies/stream/35113789184","180","180","1","5","0","0","7","2","Slap City,Escape from Tarkov"
"2","Tuesday 30th July 2019 20:00","https://sullygnome.com/channel/doomlies/stream/35101858272","135","270","2","3","0","0","4","1","Counter-Strike: Global Offensive,Slap City"
"3","Monday 29th July 2019 17:15","https://sullygnome.com/channel/doomlies/stream/35087164624","75","75","1","1","0","0","1","0","Slap City"
"4","Monday 29th July 2019 14:00","https://sullygnome.com/channel/doomlies/stream/35085247808","120","240","2","5","0","0","7","3","Escape from Tarkov"
"5","Sunday 28th July 2019 16:00","https://sullygnome.com/channel/doomlies/stream/35074821184","165","165","1","3","0","0","3","1","Escape from Tarkov"
"6","Sunday 28th July 2019 11:45","https://sullygnome.com/channel/doomlies/stream/35072765312","180","360","2","4","0","0","4","1","Escape from Tarkov,Slap City"
"7","Saturday 27th July 2019 15:01","https://sullygnome.com/channel/doomlies/stream/35062505904","449","898","2","5","0","0","32","4","Halo: Reach"
"8","Saturday 27th July 2019 12:45","https://sullygnome.com/channel/doomlies/stream/35061430672","105","105","1","3","0","0","3","1","Slap City"
"9","Friday 26th July 2019 15:00","https://sullygnome.com/channel/doomlies/stream/35050546144","285","855","3","6","0","0","9","1","Halo 3: ODST"
"10","Wednesday 24th July 2019 00:00","https://sullygnome.com/channel/doomlies/stream/35019700112","75","150","2","3","0","0","1","0","Grand Theft Auto IV"
"11","Tuesday 23rd July 2019 01:18","https://sullygnome.com/channel/doomlies/stream/35008308528","252","756","3","6","0","0","8","1","Grand Theft Auto IV"
"12","Saturday 20th July 2019 18:30","https://sullygnome.com/channel/doomlies/stream/34979375648","270","810","3","6","0","0","19","4","Grand Theft Auto IV"
"13","Friday 19th July 2019 21:30","https://sullygnome.com/channel/doomlies/stream/34967717952","285","570","2","3","0","0","6","1","Grand Theft Auto IV"
"14","Thursday 18th July 2019 17:21","https://sullygnome.com/channel/doomlies/stream/34952587360","444","1332","3","6","0","0","17","2","Left 4 Dead 2,Grand Theft Auto IV"
"15","Tuesday 16th July 2019 19:45","https://sullygnome.com/channel/doomlies/stream/34929127856","375","1125","3","6","0","0","8","1","Grand Theft Auto IV"
"16","Monday 15th July 2019 17:31","https://sullygnome.com/channel/doomlies/stream/34915070464","269","538","2","7","0","0","8","1","Grand Theft Auto IV"
"17","Sunday 14th July 2019 13:02","https://sullygnome.com/channel/doomlies/stream/34900522272","388","1164","3","6","0","0","20","2","Halo 3"
"18","Saturday 13th July 2019 13:04","https://sullygnome.com/channel/doomlies/stream/34888113376","746","2984","4","8","1","0","32","2","Halo 2,Halo 3"
"19","Friday 12th July 2019 15:30","https://sullygnome.com/channel/doomlies/stream/34876507056","600","2400","4","7","0","0","20","1","Halo: Combat Evolved,Halo 2"
"20","Thursday 11th July 2019 21:10","https://sullygnome.com/channel/doomlies/stream/34868026768","275","825","3","7","0","0","19","4","Counter-Strike: Source"
"21","Monday 8th July 2019 15:15","https://sullygnome.com/channel/doomlies/stream/34826511264","435","1305","3","6","0","0","15","2","Team Fortress 2,Celeste"
"22","Monday 1st July 2019 20:15","https://sullygnome.com/channel/doomlies/stream/34743387232","180","180","1","3","0","0","5","1","Counter-Strike: Source,Celeste"
