"","Stream start time","Stream URL","Stream length (mins)","Watch time (mins)","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"1","Wednesday 31st July 2019 17:56","https://sullygnome.com/channel/elleejayy/stream/35113571152","229","1145","5","7","1","0","37","9","DOOM,Apex Legends"
"2","Tuesday 30th July 2019 18:30","https://sullygnome.com/channel/elleejayy/stream/35100625232","225","1125","5","9","3","0","28","7","DOOM,Apex Legends"
"3","Monday 29th July 2019 18:20","https://sullygnome.com/channel/elleejayy/stream/35088043200","235","1645","7","11","1","0","24","6","Apex Legends"
"4","Sunday 28th July 2019 18:45","https://sullygnome.com/channel/elleejayy/stream/35076516752","60","300","5","7","0","0","7","5","Apex Legends"
"5","Sunday 28th July 2019 17:00","https://sullygnome.com/channel/elleejayy/stream/35075437952","75","375","5","6","0","0","13","8","Apex Legends"
"6","Saturday 27th July 2019 18:15","https://sullygnome.com/channel/elleejayy/stream/35064327888","135","270","2","3","1","0","17","6","Apex Legends"
"7","Saturday 27th July 2019 10:41","https://sullygnome.com/channel/elleejayy/stream/35060649984","184","552","3","7","1","0","20","6","Apex Legends"
"8","Friday 26th July 2019 17:10","https://sullygnome.com/channel/elleejayy/stream/35051752816","305","2745","9","12","0","0","36","7","Apex Legends"
"9","Wednesday 24th July 2019 17:30","https://sullygnome.com/channel/elleejayy/stream/35027706400","180","1080","6","8","1","0","10","3","Apex Legends"
"10","Monday 22nd July 2019 17:55","https://sullygnome.com/channel/elleejayy/stream/35003294352","110","990","9","14","5","2","32","16","Apex Legends"
"11","Friday 19th July 2019 17:56","https://sullygnome.com/channel/elleejayy/stream/34965436720","259","1813","7","11","0","0","13","3","Apex Legends"
"12","Thursday 18th July 2019 16:53","https://sullygnome.com/channel/elleejayy/stream/34952278992","202","1616","8","13","0","0","22","6","Heavy Rain,Apex Legends"
"13","Wednesday 17th July 2019 17:53","https://sullygnome.com/channel/elleejayy/stream/34940403776","202","1212","6","11","1","0","18","5","Heavy Rain,Apex Legends"
"14","Tuesday 16th July 2019 17:54","https://sullygnome.com/channel/elleejayy/stream/34927785888","111","777","7","10","-1","0","10","5","Apex Legends"
"15","Monday 15th July 2019 17:56","https://sullygnome.com/channel/elleejayy/stream/34915345568","139","834","6","10","0","0","14","5","Apex Legends,Call of Duty: Black Ops 4"
"16","Sunday 14th July 2019 17:45","https://sullygnome.com/channel/elleejayy/stream/34903253904","210","1260","6","8","0","0","18","4","Apex Legends"
"17","Sunday 14th July 2019 11:49","https://sullygnome.com/channel/elleejayy/stream/34899973040","191","1146","6","9","1","0","23","7","Apex Legends"
"18","Saturday 13th July 2019 20:30","https://sullygnome.com/channel/elleejayy/stream/34892689920","45","315","7","10","2","2","20","20","Just Chatting"
"19","Thursday 11th July 2019 18:00","https://sullygnome.com/channel/elleejayy/stream/34865733888","165","1155","7","10","3","1","18","6","Apex Legends,Left 4 Dead 2,Dead by Daylight"
"20","Wednesday 10th July 2019 17:43","https://sullygnome.com/channel/elleejayy/stream/34853086544","167","1169","7","11","2","0","19","6","Dead by Daylight"
"21","Tuesday 9th July 2019 17:46","https://sullygnome.com/channel/elleejayy/stream/34840575360","269","1883","7","11","0","0","25","5","Apex Legends,Dead by Daylight"
"22","Monday 8th July 2019 17:54","https://sullygnome.com/channel/elleejayy/stream/34828180944","171","1197","7","10","1","0","14","5","DARK SOULS III,Dead by Daylight,Apex Legends"
"23","Friday 5th July 2019 17:18","https://sullygnome.com/channel/elleejayy/stream/34790374368","117","585","5","8","0","0","10","4","Dead by Daylight,Minecraft"
"24","Thursday 4th July 2019 17:28","https://sullygnome.com/channel/elleejayy/stream/34779063744","167","1002","6","11","0","0","22","7","Apex Legends,Dead by Daylight"
"25","Wednesday 3rd July 2019 17:56","https://sullygnome.com/channel/elleejayy/stream/34766918880","154","770","5","8","0","0","22","8","Dead by Daylight,Apex Legends"
"26","Tuesday 2nd July 2019 18:00","https://sullygnome.com/channel/elleejayy/stream/34754311264","195","975","5","10","0","0","21","6","Apex Legends,Dead by Daylight"
"27","Monday 1st July 2019 19:11","https://sullygnome.com/channel/elleejayy/stream/34742867296","169","1014","6","8","0","0","15","5","Dead by Daylight"
