"","Stream start time","Stream URL","Stream length (mins)","Watch time (mins)","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"1","Wednesday 31st July 2019 10:15","https://sullygnome.com/channel/epicnorthman/stream/35109685056","210","1050","5","11","0","0","40","10","Battlefield V,Tom Clancy's The Division 2"
"2","Monday 29th July 2019 13:15","https://sullygnome.com/channel/epicnorthman/stream/35085018400","60","240","4","7","1","0","15","12","Tom Clancy's The Division 2"
"3","Monday 29th July 2019 10:57","https://sullygnome.com/channel/epicnorthman/stream/35084171872","78","390","5","7","0","0","20","13","Battlefield V"
"4","Monday 29th July 2019 08:18","https://sullygnome.com/channel/epicnorthman/stream/35083390704","117","585","5","7","1","0","17","8","Dead by Daylight"
"5","Sunday 28th July 2019 13:45","https://sullygnome.com/channel/epicnorthman/stream/35073598272","60","240","4","6","0","0","5","4","Battlefield V"
"6","Sunday 28th July 2019 12:00","https://sullygnome.com/channel/epicnorthman/stream/35072834272","30","90","3","4","0","0","8","10","Battlefield V"
"7","Saturday 27th July 2019 11:20","https://sullygnome.com/channel/epicnorthman/stream/35060871568","160","800","5","9","0","0","35","14","Friday the 13th: The Game"
"8","Saturday 27th July 2019 11:15","https://sullygnome.com/channel/epicnorthman/stream/35060834368","0","0","5","9","0","0","9","36","Friday the 13th: The Game"
"9","Saturday 27th July 2019 06:38","https://sullygnome.com/channel/epicnorthman/stream/35059421568","187","1122","6","10","0","0","31","10","Battlefield V"
"10","Friday 26th July 2019 10:15","https://sullygnome.com/channel/epicnorthman/stream/35048614064","180","1080","6","9","2","0","25","7","Dead by Daylight"
"11","Thursday 25th July 2019 11:30","https://sullygnome.com/channel/epicnorthman/stream/35036934032","150","900","6","9","3","1","18","6","Dead by Daylight"
"12","Thursday 25th July 2019 09:00","https://sullygnome.com/channel/epicnorthman/stream/35036147056","90","180","2","3","0","0","8","4","A Plague Tale: Innocence"
"13","Wednesday 24th July 2019 09:25","https://sullygnome.com/channel/epicnorthman/stream/35024064736","230","1380","6","11","0","0","31","7","A Plague Tale: Innocence"
"14","Tuesday 23rd July 2019 12:15","https://sullygnome.com/channel/epicnorthman/stream/35012670176","105","420","4","6","0","0","10","5","Dead by Daylight"
