"","Stream start time","Stream URL","Stream length (mins)","Watch time (mins)","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"1","Wednesday 31st July 2019 03:20","https://sullygnome.com/channel/erin_plays/stream/35106946320","115","11385","99","117","15","7","314","157","Retro"
"2","Monday 29th July 2019 02:42","https://sullygnome.com/channel/erin_plays/stream/35081380896","93","15066","162","282","19","10","420","240","Retro"
"3","Saturday 27th July 2019 04:32","https://sullygnome.com/channel/erin_plays/stream/35058602448","118","9794","83","95","2","1","269","153","Retro"
"4","Tuesday 16th July 2019 20:00","https://sullygnome.com/channel/erin_plays/stream/34929336960","0","0","5","5","0","0","0","0","Retro"
"5","Monday 15th July 2019 23:30","https://sullygnome.com/channel/erin_plays/stream/34919147008","75","9075","121","154","7","5","171","136","Wonder Boy: Monster Land"
"6","Sunday 14th July 2019 21:05","https://sullygnome.com/channel/erin_plays/stream/34905623760","160","19680","123","185","22","8","499","181","Retro"
"7","Sunday 14th July 2019 01:42","https://sullygnome.com/channel/erin_plays/stream/34895816368","93","16461","177","286","23","13","386","220","Retro"
"8","Friday 12th July 2019 03:35","https://sullygnome.com/channel/erin_plays/stream/34872052336","55","6160","112","144","8","8","115","115","Retro"
"9","Thursday 11th July 2019 23:30","https://sullygnome.com/channel/erin_plays/stream/34869409792","105","8085","77","100","4","2","222","111","Retro"
"10","Tuesday 9th July 2019 01:04","https://sullygnome.com/channel/erin_plays/stream/34833044160","161","16261","101","140","12","4","380","126","Retro"
"11","Saturday 6th July 2019 01:29","https://sullygnome.com/channel/erin_plays/stream/34795785968","91","13104","144","185","6","4","192","128","Retro"
"12","Thursday 4th July 2019 02:32","https://sullygnome.com/channel/erin_plays/stream/34772569808","73","4672","64","79","2","1","103","82","Retro"
