"","Stream start time","Stream URL","Stream length (mins)","Watch time (mins)","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"1","Wednesday 31st July 2019 18:14","https://sullygnome.com/channel/estrelle22/stream/35113811936","286","2860","10","17","7","1","102","20","Grand Theft Auto V"
"2","Tuesday 30th July 2019 19:00","https://sullygnome.com/channel/estrelle22/stream/35101186112","255","1275","5","10","7","1","63","14","Grand Theft Auto V"
"3","Monday 29th July 2019 19:15","https://sullygnome.com/channel/estrelle22/stream/35088746464","345","2070","6","14","2","0","104","18","Grand Theft Auto V"
"4","Sunday 28th July 2019 19:08","https://sullygnome.com/channel/estrelle22/stream/35076822592","322","1610","5","12","6","1","125","22","Grand Theft Auto V"
"5","Saturday 27th July 2019 21:45","https://sullygnome.com/channel/estrelle22/stream/35066552096","255","4335","17","149","12","2","93","20","Grand Theft Auto V"
"6","Thursday 25th July 2019 22:00","https://sullygnome.com/channel/estrelle22/stream/35042902304","300","4500","15","66","13","2","109","21","Grand Theft Auto V"
"7","Thursday 25th July 2019 18:15","https://sullygnome.com/channel/estrelle22/stream/35040375104","120","480","4","8","2","0","39","17","Grand Theft Auto V"
"8","Wednesday 24th July 2019 19:13","https://sullygnome.com/channel/estrelle22/stream/35028923040","272","7888","29","60","30","6","268","59","Grand Theft Auto V"
"9","Monday 22nd July 2019 18:03","https://sullygnome.com/channel/estrelle22/stream/35003399344","417","2085","5","10","9","1","121","17","Grand Theft Auto V"
"10","Monday 22nd July 2019 01:15","https://sullygnome.com/channel/estrelle22/stream/34996034416","0","0","2","2","0","0","0","0","Grand Theft Auto V"
"11","Sunday 21st July 2019 17:02","https://sullygnome.com/channel/estrelle22/stream/34990934336","463","3241","7","13","12","1","201","25","Grand Theft Auto V"
"12","Sunday 21st July 2019 14:15","https://sullygnome.com/channel/estrelle22/stream/34989297600","45","45","1","3","0","0","5","5","World of Warcraft"
"13","Sunday 21st July 2019 00:15","https://sullygnome.com/channel/estrelle22/stream/34983418640","45","405","9","11","1","1","42","56","Grand Theft Auto V"
"14","Saturday 20th July 2019 21:56","https://sullygnome.com/channel/estrelle22/stream/34982023184","124","992","8","14","5","2","96","42","Grand Theft Auto V"
"15","Thursday 18th July 2019 17:08","https://sullygnome.com/channel/estrelle22/stream/34952455200","472","1888","4","12","19","2","126","15","Grand Theft Auto V"
"16","Thursday 18th July 2019 09:00","https://sullygnome.com/channel/estrelle22/stream/34948828496","75","0","0","2","0","0","4","2","World of Warcraft"
"17","Wednesday 17th July 2019 15:30","https://sullygnome.com/channel/estrelle22/stream/34938846992","60","0","0","1","1","0","14","11","World of Warcraft"
"18","Monday 15th July 2019 18:45","https://sullygnome.com/channel/estrelle22/stream/34915998112","105","420","4","7","1","0","23","11","Grand Theft Auto V"
"19","Sunday 14th July 2019 22:01","https://sullygnome.com/channel/estrelle22/stream/34904068064","89","445","5","9","13","2","88","19","Grand Theft Auto V"
"20","Saturday 13th July 2019 22:12","https://sullygnome.com/channel/estrelle22/stream/34893806416","258","1290","5","13","8","1","84","18","Grand Theft Auto V"
"21","Saturday 13th July 2019 17:51","https://sullygnome.com/channel/estrelle22/stream/34890837984","189","1323","7","12","2","0","53","17","Grand Theft Auto V"
"22","Friday 12th July 2019 19:49","https://sullygnome.com/channel/estrelle22/stream/34879578480","341","2387","7","18","13","2","109","18","Grand Theft Auto V"
"23","Thursday 11th July 2019 22:09","https://sullygnome.com/channel/estrelle22/stream/34868662240","111","2331","21","30","11","6","69","39","Grand Theft Auto V"
"24","Thursday 11th July 2019 17:45","https://sullygnome.com/channel/estrelle22/stream/34865568752","135","675","5","7","1","0","42","16","Grand Theft Auto V"
"25","Thursday 11th July 2019 00:45","https://sullygnome.com/channel/estrelle22/stream/34857544944","30","120","4","7","2","2","17","22","Grand Theft Auto V"
"26","Wednesday 10th July 2019 19:14","https://sullygnome.com/channel/estrelle22/stream/34854214144","286","858","3","13","10","2","126","28","Grand Theft Auto V"
"27","Wednesday 10th July 2019 18:45","https://sullygnome.com/channel/estrelle22/stream/34853890528","15","0","0","1","1","2","10","20","Grand Theft Auto V"
"28","Wednesday 10th July 2019 00:05","https://sullygnome.com/channel/estrelle22/stream/34841297056","85","765","9","66","19","2","202","29","Grand Theft Auto V"
"29","Monday 8th July 2019 19:24","https://sullygnome.com/channel/estrelle22/stream/34829317744","261","1305","5","9","8","1","71","15","Grand Theft Auto V"
"30","Saturday 6th July 2019 21:00","https://sullygnome.com/channel/estrelle22/stream/34805637136","150","450","3","9","3","1","37","13","Grand Theft Auto V"
"31","Saturday 6th July 2019 16:45","https://sullygnome.com/channel/estrelle22/stream/34802621376","150","450","3","5","0","0","29","10","Grand Theft Auto V"
"32","Friday 5th July 2019 18:43","https://sullygnome.com/channel/estrelle22/stream/34791332736","302","604","2","8","4","0","63","12","Grand Theft Auto V"
"33","Thursday 4th July 2019 17:30","https://sullygnome.com/channel/estrelle22/stream/34779007200","225","450","2","10","1","0","54","13","Grand Theft Auto V"
"34","Wednesday 3rd July 2019 19:30","https://sullygnome.com/channel/estrelle22/stream/34767786304","120","480","4","9","5","2","27","12","Grand Theft Auto V"
"35","Wednesday 3rd July 2019 02:30","https://sullygnome.com/channel/estrelle22/stream/34759626480","75","75","1","5","1","0","4","2","Grand Theft Auto V"
"36","Wednesday 3rd July 2019 00:15","https://sullygnome.com/channel/estrelle22/stream/34758637744","75","225","3","5","0","0","9","6","Grand Theft Auto V"
"37","Tuesday 2nd July 2019 16:10","https://sullygnome.com/channel/estrelle22/stream/34753052272","350","1400","4","13","10","1","81","13","Grand Theft Auto V"
"38","Monday 1st July 2019 14:58","https://sullygnome.com/channel/estrelle22/stream/34740119584","392","1568","4","9","17","2","105","15","Grand Theft Auto V"
