"","Stream start time","Stream URL","Stream length (mins)","Watch time (mins)","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"1","Tuesday 30th July 2019 16:15","https://sullygnome.com/channel/freakyskull516/stream/35099024576","60","0","0","1","0","0","1","0","Killing Floor 2"
"2","Monday 29th July 2019 17:45","https://sullygnome.com/channel/freakyskull516/stream/35087535088","0","0","2","2","0","0","0","0","Dragon Ball: Xenoverse 2"
"3","Monday 29th July 2019 00:00","https://sullygnome.com/channel/freakyskull516/stream/35079807408","240","240","1","2","0","0","3","0","Dungeons &amp; Dragons"
"4","Saturday 27th July 2019 12:15","https://sullygnome.com/channel/freakyskull516/stream/35061201680","225","225","1","3","0","0","14","3","Dungeons &amp; Dragons"
"5","Friday 26th July 2019 18:15","https://sullygnome.com/channel/freakyskull516/stream/35052461616","15","0","0","0","0","0","3","6","DOOM"
"6","Wednesday 24th July 2019 14:45","https://sullygnome.com/channel/freakyskull516/stream/35026108752","240","240","1","4","0","0","16","3","Dragon Ball: Xenoverse 2"
"7","Monday 22nd July 2019 15:15","https://sullygnome.com/channel/freakyskull516/stream/35001601760","135","135","1","3","0","0","4","1","Killing Floor 2"
"8","Saturday 20th July 2019 15:00","https://sullygnome.com/channel/freakyskull516/stream/34976387504","60","0","0","1","0","0","1","0","Grand Theft Auto V"
"9","Thursday 18th July 2019 17:00","https://sullygnome.com/channel/freakyskull516/stream/34952402160","60","0","0","1","0","0","3","2","Divinity: Original Sin II"
"10","Thursday 18th July 2019 16:30","https://sullygnome.com/channel/freakyskull516/stream/34951984016","0","0","0","0","0","0","0","0","Divinity: Original Sin II"
"11","Wednesday 17th July 2019 15:30","https://sullygnome.com/channel/freakyskull516/stream/34938788208","105","0","0","1","0","0","6","3","Divinity: Original Sin II"
"12","Tuesday 16th July 2019 18:00","https://sullygnome.com/channel/freakyskull516/stream/34927574832","0","0","0","0","0","0","0","0","Divinity: Original Sin II"
"13","Monday 15th July 2019 16:15","https://sullygnome.com/channel/freakyskull516/stream/34914132304","60","0","0","1","0","0","0","0","Deep Rock Galactic"
"14","Sunday 14th July 2019 23:00","https://sullygnome.com/channel/freakyskull516/stream/34906814144","240","0","0","2","0","0","6","1","Dungeons &amp; Dragons"
"15","Saturday 13th July 2019 14:02","https://sullygnome.com/channel/freakyskull516/stream/34888588576","193","386","2","5","0","0","7","2","Deep Rock Galactic"
"16","Friday 12th July 2019 15:30","https://sullygnome.com/channel/freakyskull516/stream/34876585632","195","195","1","6","-5","-1","15","4","Dragon Ball: Xenoverse 2"
"17","Thursday 11th July 2019 23:15","https://sullygnome.com/channel/freakyskull516/stream/34869269872","270","540","2","4","0","0","13","2","Dragon Ball: Xenoverse 2"
"18","Thursday 11th July 2019 19:00","https://sullygnome.com/channel/freakyskull516/stream/34866443104","135","135","1","1","0","0","3","1","Deep Rock Galactic"
"19","Thursday 11th July 2019 14:15","https://sullygnome.com/channel/freakyskull516/stream/34863465536","240","480","2","6","5","1","21","4","Dragon Ball: Xenoverse 2"
"20","Wednesday 10th July 2019 14:15","https://sullygnome.com/channel/freakyskull516/stream/34850947344","150","0","0","1","-4","-1","3","1","Deep Rock Galactic"
"21","Wednesday 10th July 2019 09:45","https://sullygnome.com/channel/freakyskull516/stream/34849220272","150","450","3","8","4","1","10","3","Dragon Ball: Xenoverse 2"
"22","Tuesday 9th July 2019 17:30","https://sullygnome.com/channel/freakyskull516/stream/34840321744","15","0","0","0","0","0","0","0","Warframe"
"23","Sunday 7th July 2019 23:00","https://sullygnome.com/channel/freakyskull516/stream/34819505376","285","0","0","2","0","0","3","0","Dungeons &amp; Dragons"
"24","Sunday 7th July 2019 00:30","https://sullygnome.com/channel/freakyskull516/stream/34807754480","60","0","0","1","2","1","3","2","Dragon Ball: Xenoverse 2"
"25","Saturday 6th July 2019 04:00","https://sullygnome.com/channel/freakyskull516/stream/34797119408","75","0","0","1","-1","0","5","3","Divinity: Original Sin II"
"26","Friday 5th July 2019 17:15","https://sullygnome.com/channel/freakyskull516/stream/34790140288","30","60","2","3","0","0","3","4","Divinity: Original Sin II"
"27","Friday 5th July 2019 03:00","https://sullygnome.com/channel/freakyskull516/stream/34784529536","135","0","0","1","0","0","6","2","Divinity: Original Sin II"
"28","Thursday 4th July 2019 16:15","https://sullygnome.com/channel/freakyskull516/stream/34778242752","60","60","1","2","0","0","5","4","Killing Floor 2"
"29","Wednesday 3rd July 2019 17:45","https://sullygnome.com/channel/freakyskull516/stream/34766668688","15","30","2","3","1","2","6","12","Dragon Ball: Xenoverse 2"
"30","Wednesday 3rd July 2019 14:15","https://sullygnome.com/channel/freakyskull516/stream/34764560416","180","180","1","3","2","0","15","4","Dragon Ball: Xenoverse 2"
"31","Tuesday 2nd July 2019 00:00","https://sullygnome.com/channel/freakyskull516/stream/34745993792","0","0","1","1","0","0","0","0","DARK SOULS III"
