"","Stream start time","Stream URL","Stream length (mins)","Watch time (mins)","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"1","Wednesday 31st July 2019 21:51","https://sullygnome.com/channel/future1/stream/35116406640","144","17424","121","169","24","9","484","193","StarCraft II"
"2","Thursday 25th July 2019 21:28","https://sullygnome.com/channel/future1/stream/35042576800","212","28408","134","204","40","11","506","144","StarCraft II"
"3","Thursday 25th July 2019 00:45","https://sullygnome.com/channel/future1/stream/35032546240","75","3600","48","82","7","4","115","76","StarCraft II"
"4","Sunday 21st July 2019 14:21","https://sullygnome.com/channel/future1/stream/34989433248","249","40587","163","344","22","5","997","249","StarCraft II"
"5","Saturday 20th July 2019 22:01","https://sullygnome.com/channel/future1/stream/34982085504","119","11662","98","139","15","7","309","154","StarCraft II"
"6","Friday 19th July 2019 19:43","https://sullygnome.com/channel/future1/stream/34966760736","122","4636","38","45","6","3","119","59","StarCraft II"
"7","Friday 19th July 2019 01:07","https://sullygnome.com/channel/future1/stream/34957815840","38","1330","35","48","-1","-1","17","22","StarCraft II"
"8","Monday 8th July 2019 23:33","https://sullygnome.com/channel/future1/stream/34832076288","117","20007","171","406","16","7","530","235","StarCraft II"
"9","Monday 8th July 2019 00:31","https://sullygnome.com/channel/future1/stream/34820414384","89","4539","51","66","3","2","149","99","StarCraft II"
"10","Tuesday 2nd July 2019 23:56","https://sullygnome.com/channel/future1/stream/34758451168","79","4108","52","76","8","6","121","96","StarCraft II"
"11","Monday 1st July 2019 22:09","https://sullygnome.com/channel/future1/stream/34744854144","186","9114","49","85","1","0","210","64","StarCraft II"
