"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","Fortnite","870","2370","2","8","62","4.275862"
"2","Minecraft","480","1665","3","8","63","7.875"
"3","Red Dead Redemption 2","420","1200","2","11","48","6.857142"
"4","The Last of Us","375","1650","4","28","50","8"
"5","Call of Duty: Black Ops 4","285","870","2","8","14","2.947368"
"6","Grand Theft Auto V","180","600","3","5","20","6.666666"
"7","Destiny","150","315","1","7","39","15.6"
"8","Alien: Isolation","90","240","2","4","4","2.666666"
"9","Uncharted 4: A Thief's End","75","210","2","6","6","4.8"
"10","Counter-Strike: Global Offensive","75","180","2","3","3","2.4"
"11","Destiny 2","45","210","4","5","9","12"
"12","Marvel's Spider-Man","45","45","1","1","2","2.666666"
