"","Stream start time","Stream URL","Stream length (mins)","Watch time (mins)","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"1","Monday 29th July 2019 14:52","https://sullygnome.com/channel/gomobass/stream/35085885296","68","544","8","10","0","0","2","2","Just Chatting"
"2","Friday 26th July 2019 13:40","https://sullygnome.com/channel/gomobass/stream/35049905808","80","480","6","8","0","0","17","11","Just Chatting"
"3","Saturday 20th July 2019 13:18","https://sullygnome.com/channel/gomobass/stream/34975581072","27","108","4","5","0","0","3","6","Just Chatting"
"4","Tuesday 16th July 2019 15:00","https://sullygnome.com/channel/gomobass/stream/34925870176","60","300","5","7","1","0","3","2","Just Chatting"
"5","Sunday 14th July 2019 14:45","https://sullygnome.com/channel/gomobass/stream/34901352464","75","450","6","9","0","0","20","13","Just Chatting"
"6","Saturday 13th July 2019 12:37","https://sullygnome.com/channel/gomobass/stream/34887902880","68","340","5","9","0","0","8","6","Just Chatting"
"7","Friday 12th July 2019 14:40","https://sullygnome.com/channel/gomobass/stream/34876233552","80","640","8","10","0","0","18","12","Just Chatting"
"8","Wednesday 10th July 2019 14:45","https://sullygnome.com/channel/gomobass/stream/34851246384","60","540","9","11","0","0","16","12","Just Chatting"
"9","Sunday 7th July 2019 15:00","https://sullygnome.com/channel/gomobass/stream/34814253792","75","450","6","10","0","0","14","9","Just Chatting"
"10","Saturday 6th July 2019 12:39","https://sullygnome.com/channel/gomobass/stream/34800545200","36","180","5","8","0","0","7","9","Just Chatting"
