"","Stream start time","Stream URL","Stream length (mins)","Watch time (mins)","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"1","Tuesday 30th July 2019 21:56","https://sullygnome.com/channel/gratakkos/stream/35103254704","259","4662","18","33","6","1","95","22","Just Chatting,Dead by Daylight,Grand Theft Auto V,Minecraft"
"2","Monday 29th July 2019 21:42","https://sullygnome.com/channel/gratakkos/stream/35090442928","243","4374","18","25","2","0","105","26","Just Chatting,Jackbox Party Packs,Dead by Daylight,Grand Theft Auto V"
"3","Saturday 27th July 2019 21:53","https://sullygnome.com/channel/gratakkos/stream/35066646304","247","5187","21","29","4","0","91","21","Just Chatting,Dead by Daylight"
"4","Friday 26th July 2019 22:09","https://sullygnome.com/channel/gratakkos/stream/35054966720","261","5481","21","29","19","4","103","22","Just Chatting,Jackbox Party Packs,Minecraft"
"5","Tuesday 23rd July 2019 21:43","https://sullygnome.com/channel/gratakkos/stream/35018409952","257","5911","23","30","6","1","111","24","Just Chatting,Minecraft,Dead by Daylight"
"6","Monday 22nd July 2019 20:33","https://sullygnome.com/channel/gratakkos/stream/35005225392","117","3042","26","28","2","1","72","36","Just Chatting,Minecraft,Dead by Daylight"
"7","Saturday 20th July 2019 21:41","https://sullygnome.com/channel/gratakkos/stream/34981876064","259","7511","29","49","4","0","104","24","The Jackbox Party Pack 4,Minecraft"
"8","Friday 19th July 2019 21:39","https://sullygnome.com/channel/gratakkos/stream/34968080544","276","5796","21","33","20","4","80","16","Minecraft"
"9","Tuesday 16th July 2019 21:30","https://sullygnome.com/channel/gratakkos/stream/34930382720","240","5280","22","30","2","0","74","18","Minecraft,Dead by Daylight"
"10","Monday 15th July 2019 21:43","https://sullygnome.com/channel/gratakkos/stream/34918021504","242","6050","25","34","4","1","88","22","Minecraft"
"11","Saturday 13th July 2019 21:36","https://sullygnome.com/channel/gratakkos/stream/34893431856","249","5976","24","32","11","2","70","17","Minecraft"
"12","Thursday 11th July 2019 22:06","https://sullygnome.com/channel/gratakkos/stream/34868633296","279","5859","21","29","13","2","132","27","Just Chatting,Jackbox Party Packs,Minecraft"
"13","Tuesday 9th July 2019 21:51","https://sullygnome.com/channel/gratakkos/stream/34843501808","309","7416","24","30","6","1","105","21","The Jackbox Party Pack 5,Dead by Daylight,Just Chatting"
"14","Monday 8th July 2019 21:43","https://sullygnome.com/channel/gratakkos/stream/34830917360","377","7917","21","40","24","3","204","32","Just Chatting,Jackbox Party Packs,Dead by Daylight,ROBLOX"
"15","Saturday 6th July 2019 21:44","https://sullygnome.com/channel/gratakkos/stream/34806181424","241","4097","17","28","2","0","81","19","Minecraft,Dead by Daylight"
"16","Friday 5th July 2019 21:42","https://sullygnome.com/channel/gratakkos/stream/34793451584","258","5160","20","29","10","2","130","28","Just Chatting,Jackbox Party Packs,Minecraft"
"17","Tuesday 2nd July 2019 21:51","https://sullygnome.com/channel/gratakkos/stream/34757106928","354","8142","23","36","12","2","144","24","Jackbox Party Packs,Dead by Daylight,Minecraft,Tom Clancy's Rainbow Six Siege,Just Chatting"
"18","Monday 1st July 2019 21:43","https://sullygnome.com/channel/gratakkos/stream/34744586608","302","10268","34","68","32","6","301","57","Jackbox Party Packs,Minecraft,Dead by Daylight"
