"","Stream start time","Stream URL","Stream length (mins)","Watch time (mins)","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"1","Wednesday 31st July 2019 03:59","https://sullygnome.com/channel/grma1717/stream/35107323712","316","2844","9","12","1","0","90","16","Just Chatting,League of Legends,Fortnite"
"2","Tuesday 30th July 2019 04:00","https://sullygnome.com/channel/grma1717/stream/35094369552","390","4290","11","22","5","0","166","24","Just Chatting,Music,Overwatch,Fortnite"
"3","Monday 29th July 2019 03:55","https://sullygnome.com/channel/grma1717/stream/35081963376","335","7035","21","30","4","0","191","33","Just Chatting,Dead by Daylight,Fortnite"
"4","Sunday 28th July 2019 03:51","https://sullygnome.com/channel/grma1717/stream/35069974800","429","3861","9","12","0","0","110","15","League of Legends,Teamfight Tactics,Rust"
"5","Saturday 27th July 2019 03:59","https://sullygnome.com/channel/grma1717/stream/35058333472","346","4498","13","21","4","0","120","20","Just Chatting,Rust,Fortnite"
"6","Thursday 25th July 2019 03:47","https://sullygnome.com/channel/grma1717/stream/35034374560","388","4656","12","18","0","0","157","25","League of Legends,Rust"
"7","Wednesday 24th July 2019 03:54","https://sullygnome.com/channel/grma1717/stream/35022225664","351","5265","15","23","3","0","97","16","Just Chatting,Dead by Daylight,Teamfight Tactics,Fortnite"
"8","Tuesday 23rd July 2019 03:52","https://sullygnome.com/channel/grma1717/stream/35009803328","398","3980","10","15","0","0","98","14","Just Chatting,League of Legends,Teamfight Tactics,Fortnite"
"9","Monday 22nd July 2019 10:54","https://sullygnome.com/channel/grma1717/stream/34999812896","246","1722","7","10","-1","0","64","15","Just Chatting,League of Legends,Teamfight Tactics,Fortnite"
"10","Sunday 21st July 2019 04:40","https://sullygnome.com/channel/grma1717/stream/34985790928","380","4560","12","15","1","0","118","18","Just Chatting,League of Legends,Teamfight Tactics,Fortnite"
"11","Saturday 20th July 2019 04:24","https://sullygnome.com/channel/grma1717/stream/34972165456","366","4392","12","16","-1","0","161","25","League of Legends,Art,Fortnite"
"12","Saturday 20th July 2019 04:00","https://sullygnome.com/channel/grma1717/stream/34971921376","0","0","9","12","-1","-4","16","64","Just Chatting"
"13","Friday 19th July 2019 03:58","https://sullygnome.com/channel/grma1717/stream/34959482032","362","3258","9","14","2","0","100","16","Just Chatting,League of Legends,Teamfight Tactics,Fortnite"
"14","Wednesday 17th July 2019 03:56","https://sullygnome.com/channel/grma1717/stream/34934440352","349","4537","13","19","1","0","134","22","Just Chatting,Dead by Daylight,Fortnite,League of Legends,Teamfight Tactics"
"15","Tuesday 16th July 2019 04:00","https://sullygnome.com/channel/grma1717/stream/34921865424","270","3240","12","16","0","0","84","17","Just Chatting,League of Legends,Fortnite"
"16","Monday 15th July 2019 03:58","https://sullygnome.com/channel/grma1717/stream/34909547392","362","4344","12","22","0","0","162","25","Just Chatting,League of Legends,Dead by Daylight,Fortnite"
"17","Sunday 14th July 2019 10:49","https://sullygnome.com/channel/grma1717/stream/34897521936","26","442","17","31","1","0","228","35","Just Chatting,Dead by Daylight,League of Legends,Teamfight Tactics"
"18","Saturday 13th July 2019 03:59","https://sullygnome.com/channel/grma1717/stream/34884671088","361","3610","10","16","2","0","77","13","Art,Fortnite"
"19","Thursday 11th July 2019 04:00","https://sullygnome.com/channel/grma1717/stream/34859834512","390","3900","10","13","0","0","91","14","Just Chatting,League of Legends,Teamfight Tactics,Fortnite"
"20","Wednesday 10th July 2019 03:58","https://sullygnome.com/channel/grma1717/stream/34847308416","332","4316","13","18","1","0","109","19","Just Chatting,League of Legends,Fortnite"
"21","Tuesday 9th July 2019 03:59","https://sullygnome.com/channel/grma1717/stream/34834752000","421","5894","14","22","2","0","162","22","Just Chatting,League of Legends,Apex Legends,Fortnite"
"22","Monday 8th July 2019 04:00","https://sullygnome.com/channel/grma1717/stream/34822312800","330","3960","12","17","-1","0","108","18","Just Chatting,League of Legends,Teamfight Tactics,Fortnite"
"23","Sunday 7th July 2019 04:02","https://sullygnome.com/channel/grma1717/stream/34809785824","433","4330","10","15","3","0","153","20","Just Chatting,SOMA,Fortnite"
"24","Saturday 6th July 2019 03:59","https://sullygnome.com/channel/grma1717/stream/34797224752","361","6498","18","30","1","0","177","28","Just Chatting,Friday the 13th: The Game,Fortnite"
"25","Friday 5th July 2019 03:58","https://sullygnome.com/channel/grma1717/stream/34784971504","362","3982","11","15","0","0","97","15","Just Chatting,League of Legends,Teamfight Tactics"
"26","Tuesday 2nd July 2019 03:59","https://sullygnome.com/channel/grma1717/stream/34748329168","451","6765","15","29","0","0","141","18","Just Chatting,Dead by Daylight,Teamfight Tactics,League of Legends,Fortnite"
"27","Monday 1st July 2019 05:21","https://sullygnome.com/channel/grma1717/stream/34736764064","249","4980","20","31","6","1","128","30","Dead by Daylight,Fortnite"
"28","Monday 1st July 2019 04:00","https://sullygnome.com/channel/grma1717/stream/34736226032","60","660","11","25","0","0","49","49","Dead by Daylight"
