"","Stream start time","Stream URL","Stream length (mins)","Watch time (mins)","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"1","Wednesday 31st July 2019 13:50","https://sullygnome.com/channel/haercy/stream/35111177696","310","52390","169","207","13","2","3759","716","Just Chatting"
"2","Tuesday 23rd July 2019 10:54","https://sullygnome.com/channel/haercy/stream/35012222544","261","18792","72","93","-8","-1","1326","294","Just Chatting,Teamfight Tactics"
"3","Friday 19th July 2019 12:46","https://sullygnome.com/channel/haercy/stream/34962554896","344","41280","120","230","26","4","2576","429","Just Chatting"
"4","Thursday 18th July 2019 12:23","https://sullygnome.com/channel/haercy/stream/34949995152","277","47644","172","426","32","6","3182","669","Just Chatting"
"5","Wednesday 17th July 2019 12:11","https://sullygnome.com/channel/haercy/stream/34937295792","349","45370","130","146","4","0","2131","370","Just Chatting"
"6","Friday 12th July 2019 06:12","https://sullygnome.com/channel/haercy/stream/34873167168","213","24069","113","129","18","4","1552","413","Just Chatting,Overwatch"
"7","Thursday 11th July 2019 09:30","https://sullygnome.com/channel/haercy/stream/34861638768","255","30600","120","140","8","1","2121","471","Just Chatting,Kartrider"
"8","Wednesday 10th July 2019 10:38","https://sullygnome.com/channel/haercy/stream/34849552704","247","29146","118","137","-13","-3","1694","398","Just Chatting"
"9","Tuesday 9th July 2019 04:36","https://sullygnome.com/channel/haercy/stream/34835037392","279","47988","172","209","4","0","3823","804","Just Chatting,Overwatch"
"10","Friday 5th July 2019 09:19","https://sullygnome.com/channel/haercy/stream/34786757344","326","41076","126","150","-3","0","2312","420","Just Chatting"
"11","Thursday 4th July 2019 11:08","https://sullygnome.com/channel/haercy/stream/34775886048","337","40777","121","270","-15","-2","2379","413","Just Chatting"
"12","Wednesday 3rd July 2019 11:30","https://sullygnome.com/channel/haercy/stream/34763387024","75","11550","154","214","3","2","681","454","Food &amp; Drink,Just Chatting"
"13","Tuesday 2nd July 2019 11:11","https://sullygnome.com/channel/haercy/stream/34750676896","424","55120","130","171","-13","-1","2916","402","Just Chatting,Minecraft"
"14","Monday 1st July 2019 11:02","https://sullygnome.com/channel/haercy/stream/34738446704","448","60032","134","180","-7","0","4350","580","Just Chatting,Minecraft"
