"","Stream start time","Stream URL","Stream length (mins)","Watch time (mins)","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"1","Wednesday 31st July 2019 15:30","https://sullygnome.com/channel/hazyhunn/stream/35112006544","0","0","1","1","0","0","0","0","Unlisted on Twitch"
"2","Tuesday 30th July 2019 13:15","https://sullygnome.com/channel/hazyhunn/stream/35097630224","180","180","1","4","0","0","23","7","Fortnite,Counter-Strike: Global Offensive"
"3","Monday 29th July 2019 14:00","https://sullygnome.com/channel/hazyhunn/stream/35085377440","240","0","0","3","1","0","23","5","Counter-Strike: Global Offensive"
"4","Sunday 28th July 2019 12:30","https://sullygnome.com/channel/hazyhunn/stream/35073107568","195","0","0","2","0","0","26","7","Fortnite,Counter-Strike: Global Offensive"
"5","Saturday 27th July 2019 14:00","https://sullygnome.com/channel/hazyhunn/stream/35061956528","75","0","0","1","0","0","4","2","Counter-Strike: Global Offensive"
"6","Friday 26th July 2019 14:00","https://sullygnome.com/channel/hazyhunn/stream/35050069808","150","0","0","1","0","0","22","8","Counter-Strike: Global Offensive"
"7","Wednesday 24th July 2019 14:00","https://sullygnome.com/channel/hazyhunn/stream/35025789072","15","0","0","1","0","0","2","4","Counter-Strike: Global Offensive"
"8","Tuesday 23rd July 2019 14:00","https://sullygnome.com/channel/hazyhunn/stream/35013466064","120","0","0","1","0","0","10","4","Counter-Strike: Global Offensive"
"9","Monday 22nd July 2019 14:15","https://sullygnome.com/channel/hazyhunn/stream/35001062336","135","135","1","3","0","0","4","1","Counter-Strike: Global Offensive"
"10","Sunday 21st July 2019 13:15","https://sullygnome.com/channel/hazyhunn/stream/34988820832","165","165","1","4","2","0","33","11","Counter-Strike: Global Offensive"
"11","Saturday 20th July 2019 12:15","https://sullygnome.com/channel/hazyhunn/stream/34975065376","180","540","3","5","0","0","20","6","Counter-Strike: Global Offensive"
"12","Friday 19th July 2019 14:00","https://sullygnome.com/channel/hazyhunn/stream/34963051200","105","105","1","3","0","0","10","5","Counter-Strike: Global Offensive"
"13","Thursday 18th July 2019 14:00","https://sullygnome.com/channel/hazyhunn/stream/34950640032","120","0","0","1","0","0","13","5","Fortnite,Counter-Strike: Global Offensive"
"14","Wednesday 17th July 2019 14:00","https://sullygnome.com/channel/hazyhunn/stream/34938018400","150","150","1","5","1","0","11","4","Counter-Strike: Global Offensive"
"15","Tuesday 16th July 2019 14:00","https://sullygnome.com/channel/hazyhunn/stream/34925381920","30","60","2","3","0","0","1","1","Fortnite"
"16","Monday 15th July 2019 14:00","https://sullygnome.com/channel/hazyhunn/stream/34912973600","165","330","2","5","1","0","24","8","Counter-Strike: Global Offensive"
"17","Sunday 14th July 2019 13:00","https://sullygnome.com/channel/hazyhunn/stream/34900328480","225","675","3","8","-1","0","25","6","Counter-Strike: Global Offensive,Portal 2"
"18","Saturday 13th July 2019 05:45","https://sullygnome.com/channel/hazyhunn/stream/34885485568","195","195","1","3","0","0","20","5","Counter-Strike: Global Offensive"
"19","Friday 12th July 2019 13:57","https://sullygnome.com/channel/hazyhunn/stream/34875873056","108","216","2","5","3","1","22","11","Counter-Strike: Global Offensive"
"20","Thursday 11th July 2019 14:43","https://sullygnome.com/channel/hazyhunn/stream/34863758176","62","124","2","3","0","0","2","2","Counter-Strike: Global Offensive"
"21","Wednesday 10th July 2019 14:15","https://sullygnome.com/channel/hazyhunn/stream/34850973056","135","270","2","4","0","0","18","7","Counter-Strike: Global Offensive"
"22","Tuesday 9th July 2019 14:00","https://sullygnome.com/channel/hazyhunn/stream/34838290304","120","0","0","3","3","1","21","9","Counter-Strike: Global Offensive,INSURGENCY: Modern Infantry Combat"
"23","Monday 8th July 2019 14:00","https://sullygnome.com/channel/hazyhunn/stream/34825886768","105","210","2","4","0","0","10","5","Fortnite,Counter-Strike: Global Offensive"
"24","Sunday 7th July 2019 12:30","https://sullygnome.com/channel/hazyhunn/stream/34812900912","165","330","2","5","0","0","20","6","Fortnite,Counter-Strike: Global Offensive"
"25","Saturday 6th July 2019 13:45","https://sullygnome.com/channel/hazyhunn/stream/34800962400","210","210","1","5","0","0","30","8","Counter-Strike: Global Offensive"
"26","Saturday 6th July 2019 13:00","https://sullygnome.com/channel/hazyhunn/stream/34800613824","0","0","0","0","0","0","1","4","Fortnite"
"27","Saturday 6th July 2019 06:27","https://sullygnome.com/channel/hazyhunn/stream/34798298448","123","492","4","7","2","1","9","4","Unlisted on Twitch,Just Chatting,Fortnite"
"28","Friday 5th July 2019 14:50","https://sullygnome.com/channel/hazyhunn/stream/34788962240","145","290","2","5","0","0","21","8","Fortnite"
"29","Thursday 4th July 2019 14:00","https://sullygnome.com/channel/hazyhunn/stream/34777034560","60","0","0","1","0","0","5","4","Fortnite"
"30","Wednesday 3rd July 2019 13:45","https://sullygnome.com/channel/hazyhunn/stream/34764449408","90","0","0","2","1","0","12","6","Counter-Strike: Global Offensive"
"31","Tuesday 2nd July 2019 14:45","https://sullygnome.com/channel/hazyhunn/stream/34751878160","90","0","0","2","1","0","8","4","Fortnite,Counter-Strike: Global Offensive"
"32","Monday 1st July 2019 14:15","https://sullygnome.com/channel/hazyhunn/stream/34739739936","90","90","1","6","0","0","14","8","Fortnite,Counter-Strike: Global Offensive"
