"","Stream start time","Stream URL","Stream length (mins)","Watch time (mins)","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"1","Wednesday 31st July 2019 19:15","https://sullygnome.com/channel/hikori/stream/35114515088","195","390","2","7","0","0","36","10","osu!,Hearthstone"
"2","Wednesday 31st July 2019 14:15","https://sullygnome.com/channel/hikori/stream/35111354944","75","75","1","2","0","0","12","8","Hearthstone"
"3","Tuesday 30th July 2019 20:30","https://sullygnome.com/channel/hikori/stream/35102316544","75","75","1","3","1","0","10","6","osu!"
"4","Tuesday 30th July 2019 19:45","https://sullygnome.com/channel/hikori/stream/35101729264","0","0","4","4","0","0","0","0","osu!"
"5","Tuesday 30th July 2019 14:15","https://sullygnome.com/channel/hikori/stream/35098102304","60","0","0","1","0","0","6","4","osu!"
"6","Tuesday 30th July 2019 09:45","https://sullygnome.com/channel/hikori/stream/35096256112","120","120","1","4","-1","0","16","7","osu!"
"7","Monday 29th July 2019 21:00","https://sullygnome.com/channel/hikori/stream/35089985696","30","150","5","7","0","0","2","2","osu!"
"8","Tuesday 16th July 2019 13:45","https://sullygnome.com/channel/hikori/stream/34925295968","60","180","3","4","0","0","17","13","osu!"
"9","Monday 15th July 2019 21:40","https://sullygnome.com/channel/hikori/stream/34917997424","110","440","4","5","2","1","17","8","osu!"
"10","Monday 15th July 2019 15:00","https://sullygnome.com/channel/hikori/stream/34913360144","105","315","3","5","0","0","28","14","osu!"
"11","Sunday 14th July 2019 18:15","https://sullygnome.com/channel/hikori/stream/34903508464","195","390","2","5","0","0","23","6","Hearthstone"
"12","Sunday 14th July 2019 12:51","https://sullygnome.com/channel/hikori/stream/34900076992","114","456","4","9","1","0","59","21","osu!,Hearthstone"
"13","Wednesday 10th July 2019 21:04","https://sullygnome.com/channel/hikori/stream/34855499376","116","696","6","9","5","2","16","8","osu!,Hearthstone"
"14","Tuesday 9th July 2019 21:45","https://sullygnome.com/channel/hikori/stream/34843358352","60","180","3","6","0","0","9","7","osu!"
"15","Tuesday 9th July 2019 16:45","https://sullygnome.com/channel/hikori/stream/34839514368","60","240","4","6","1","0","10","8","osu!"
"16","Tuesday 9th July 2019 09:36","https://sullygnome.com/channel/hikori/stream/34836622496","69","552","8","10","2","1","34","27","osu!"
"17","Sunday 7th July 2019 20:45","https://sullygnome.com/channel/hikori/stream/34818110512","90","450","5","9","1","0","26","17","osu!,Hearthstone"
"18","Sunday 7th July 2019 19:30","https://sullygnome.com/channel/hikori/stream/34817145136","60","300","5","8","-1","0","18","14","osu!"
"19","Thursday 4th July 2019 14:15","https://sullygnome.com/channel/hikori/stream/34777159488","105","315","3","6","0","0","21","10","Hearthstone"
"20","Wednesday 3rd July 2019 19:00","https://sullygnome.com/channel/hikori/stream/34767723152","45","270","6","9","0","0","20","20","osu!"
"21","Wednesday 3rd July 2019 15:30","https://sullygnome.com/channel/hikori/stream/34765340720","30","0","0","1","0","0","7","9","osu!"
"22","Wednesday 3rd July 2019 13:01","https://sullygnome.com/channel/hikori/stream/34764101632","89","623","7","9","0","0","51","34","osu!"
"23","Wednesday 3rd July 2019 11:00","https://sullygnome.com/channel/hikori/stream/34763220352","30","150","5","7","1","1","16","21","osu!"
"24","Tuesday 2nd July 2019 16:00","https://sullygnome.com/channel/hikori/stream/34752924176","75","450","6","14","3","2","36","24","osu!"
"25","Monday 1st July 2019 22:21","https://sullygnome.com/channel/hikori/stream/34744977280","54","162","3","4","1","1","8","8","osu!"
