"","Stream start time","Stream URL","Stream length (mins)","Watch time (mins)","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"1","Tuesday 30th July 2019 20:12","https://sullygnome.com/channel/hsinuuu/stream/35102094208","558","12834","23","58","23","2","513","55","Tom Clancy's Rainbow Six Siege"
"2","Tuesday 30th July 2019 13:34","https://sullygnome.com/channel/hsinuuu/stream/35097827552","386","5404","14","21","7","1","384","59","Tom Clancy's Rainbow Six Siege"
"3","Monday 29th July 2019 18:15","https://sullygnome.com/channel/hsinuuu/stream/35087986528","600","8400","14","31","12","1","381","38","Tom Clancy's Rainbow Six Siege"
"4","Monday 29th July 2019 16:48","https://sullygnome.com/channel/hsinuuu/stream/35086972784","42","252","6","11","1","1","16","16","Tom Clancy's Rainbow Six Siege"
"5","Sunday 28th July 2019 17:30","https://sullygnome.com/channel/hsinuuu/stream/35075748064","210","2310","11","17","5","1","79","24","Tom Clancy's Rainbow Six Siege"
"6","Saturday 27th July 2019 23:35","https://sullygnome.com/channel/hsinuuu/stream/35067622864","310","6820","22","40","17","3","328","59","Tom Clancy's Rainbow Six Siege"
"7","Friday 26th July 2019 07:52","https://sullygnome.com/channel/hsinuuu/stream/35047906016","518","10360","20","30","14","1","504","57","Tom Clancy's Rainbow Six Siege"
"8","Wednesday 24th July 2019 15:48","https://sullygnome.com/channel/hsinuuu/stream/35026683760","267","3471","13","20","5","1","196","43","Tom Clancy's Rainbow Six Siege"
"9","Monday 22nd July 2019 15:30","https://sullygnome.com/channel/hsinuuu/stream/35001826576","90","900","10","13","4","2","52","34","Tom Clancy's Rainbow Six Siege"
"10","Friday 19th July 2019 15:29","https://sullygnome.com/channel/hsinuuu/stream/34963916432","136","952","7","10","1","0","66","26","Tom Clancy's Rainbow Six Siege"
"11","Thursday 18th July 2019 04:55","https://sullygnome.com/channel/hsinuuu/stream/34947523664","320","6400","20","36","10","1","326","59","Tom Clancy's Rainbow Six Siege"
"12","Thursday 18th July 2019 04:00","https://sullygnome.com/channel/hsinuuu/stream/34947104288","30","480","16","18","1","2","0","0","Tom Clancy's Rainbow Six Siege"
"13","Wednesday 17th July 2019 15:19","https://sullygnome.com/channel/hsinuuu/stream/34938810528","236","2832","12","19","7","1","153","38","Tom Clancy's Rainbow Six Siege"
"14","Tuesday 16th July 2019 02:42","https://sullygnome.com/channel/hsinuuu/stream/34921180448","558","10602","19","27","11","1","428","46","Tom Clancy's Rainbow Six Siege"
"15","Sunday 14th July 2019 14:51","https://sullygnome.com/channel/hsinuuu/stream/34901434752","204","2448","12","15","6","1","123","37","Tom Clancy's Rainbow Six Siege"
"16","Saturday 13th July 2019 14:55","https://sullygnome.com/channel/hsinuuu/stream/34889038112","215","3010","14","18","2","0","89","23","Tom Clancy's Rainbow Six Siege"
"17","Friday 12th July 2019 09:36","https://sullygnome.com/channel/hsinuuu/stream/34874189040","384","5760","15","22","13","2","201","33","Tom Clancy's Rainbow Six Siege"
"18","Thursday 11th July 2019 14:56","https://sullygnome.com/channel/hsinuuu/stream/34863865808","229","1603","7","16","2","0","96","24","Tom Clancy's Rainbow Six Siege"
"19","Wednesday 10th July 2019 16:00","https://sullygnome.com/channel/hsinuuu/stream/34851761376","120","720","6","10","2","0","25","11","Tom Clancy's Rainbow Six Siege"
"20","Wednesday 10th July 2019 15:15","https://sullygnome.com/channel/hsinuuu/stream/34851480480","0","0","4","4","0","0","0","0","Tom Clancy's Rainbow Six Siege"
"21","Wednesday 3rd July 2019 07:30","https://sullygnome.com/channel/hsinuuu/stream/34762153040","120","720","6","9","1","0","67","29","Tom Clancy's Rainbow Six Siege"
"22","Tuesday 2nd July 2019 17:00","https://sullygnome.com/channel/hsinuuu/stream/34753405200","90","720","8","10","2","1","37","21","Tom Clancy's Rainbow Six Siege"
