"","Stream start time","Stream URL","Stream length (mins)","Watch time (mins)","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"1","Wednesday 31st July 2019 17:41","https://sullygnome.com/channel/ievixtv/stream/35113402064","154","1540","10","17","-6","-2","108","43","Teamfight Tactics"
"2","Tuesday 30th July 2019 19:56","https://sullygnome.com/channel/ievixtv/stream/35101886480","124","992","8","10","-5","-2","46","23","Teamfight Tactics"
"3","Tuesday 30th July 2019 17:25","https://sullygnome.com/channel/ievixtv/stream/35100019728","80","720","9","12","-5","-3","66","44","Just Chatting,Teamfight Tactics"
"4","Tuesday 30th July 2019 16:15","https://sullygnome.com/channel/ievixtv/stream/35099179072","0","0","14","14","0","0","0","0","Just Chatting"
"5","Monday 29th July 2019 15:53","https://sullygnome.com/channel/ievixtv/stream/35086432000","187","2992","16","22","-11","-3","198","60","Just Chatting,Teamfight Tactics"
"6","Sunday 28th July 2019 13:01","https://sullygnome.com/channel/ievixtv/stream/35073352752","29","551","19","19","-2","-4","0","0","Just Chatting"
"7","Friday 26th July 2019 07:30","https://sullygnome.com/channel/ievixtv/stream/35047762400","150","2400","16","27","3","1","237","86","Just Chatting"
"8","Wednesday 24th July 2019 17:59","https://sullygnome.com/channel/ievixtv/stream/35028030608","241","3856","16","23","-4","0","231","54","Just Chatting,Teamfight Tactics"
"9","Tuesday 23rd July 2019 19:55","https://sullygnome.com/channel/ievixtv/stream/35017207072","35","455","13","15","0","0","0","0","Teamfight Tactics"
"10","Tuesday 23rd July 2019 16:54","https://sullygnome.com/channel/ievixtv/stream/35014512656","96","1920","20","27","-3","-1","226","90","Just Chatting"
"11","Sunday 21st July 2019 18:45","https://sullygnome.com/channel/ievixtv/stream/34992125040","150","2700","18","22","-1","0","73","32","Teamfight Tactics"
"12","Saturday 20th July 2019 02:33","https://sullygnome.com/channel/ievixtv/stream/34971139104","147","2499","17","30","7","2","142","51","Just Chatting,Teamfight Tactics"
"13","Friday 19th July 2019 21:41","https://sullygnome.com/channel/ievixtv/stream/34968100896","259","3885","15","36","-4","0","296","65","Just Chatting,Teamfight Tactics,Dead by Daylight,Unlisted on Twitch"
"14","Thursday 18th July 2019 21:23","https://sullygnome.com/channel/ievixtv/stream/34954661120","112","1344","12","16","-2","0","165","55","Teamfight Tactics,Just Chatting"
"15","Wednesday 17th July 2019 23:54","https://sullygnome.com/channel/ievixtv/stream/34944565280","141","2679","19","28","7","2","136","54","Just Chatting,Teamfight Tactics"
"16","Wednesday 17th July 2019 20:00","https://sullygnome.com/channel/ievixtv/stream/34942007984","210","4200","20","48","-2","0","271","77","Just Chatting,Teamfight Tactics"
"17","Tuesday 16th July 2019 19:49","https://sullygnome.com/channel/ievixtv/stream/34929213360","356","7476","21","30","3","0","462","80","Just Chatting,Teamfight Tactics,Fortnite,Dead by Daylight"
"18","Tuesday 16th July 2019 19:45","https://sullygnome.com/channel/ievixtv/stream/34929053712","0","0","22","22","0","0","0","0","Just Chatting"
"19","Monday 15th July 2019 19:21","https://sullygnome.com/channel/ievixtv/stream/34916412240","309","7416","24","38","-4","0","396","75","Just Chatting,Teamfight Tactics"
"20","Thursday 11th July 2019 19:00","https://sullygnome.com/channel/ievixtv/stream/34866504768","270","9720","36","52","5","1","507","112","Just Chatting,Teamfight Tactics"
"21","Wednesday 10th July 2019 21:26","https://sullygnome.com/channel/ievixtv/stream/34853300368","184","26128","142","903","283","41","2355","348","Just Chatting,Teamfight Tactics"
"22","Tuesday 9th July 2019 20:15","https://sullygnome.com/channel/ievixtv/stream/34842378944","210","2100","10","18","-8","-2","153","40","Teamfight Tactics,Just Chatting"
"23","Monday 8th July 2019 19:07","https://sullygnome.com/channel/ievixtv/stream/34828479616","278","6672","24","55","22","4","526","95","Just Chatting,Teamfight Tactics"
"24","Sunday 7th July 2019 19:07","https://sullygnome.com/channel/ievixtv/stream/34816950112","233","3029","13","33","0","0","285","76","Marble Racing,Teamfight Tactics"
"25","Sunday 7th July 2019 18:26","https://sullygnome.com/channel/ievixtv/stream/34816439280","34","340","10","33","3","4","163","217","Just Chatting"
"26","Friday 5th July 2019 18:05","https://sullygnome.com/channel/ievixtv/stream/34790899392","190","2850","15","28","2","0","199","61","Teamfight Tactics,Just Chatting"
"27","Friday 5th July 2019 16:16","https://sullygnome.com/channel/ievixtv/stream/34789748672","74","444","6","11","0","0","95","63","Just Chatting,Teamfight Tactics"
"28","Thursday 4th July 2019 16:51","https://sullygnome.com/channel/ievixtv/stream/34778662704","219","4380","20","26","2","0","348","99","Just Chatting,Last Day of June"
"29","Wednesday 3rd July 2019 16:57","https://sullygnome.com/channel/ievixtv/stream/34766236688","258","5676","22","31","2","0","325","76","Just Chatting"
"30","Tuesday 2nd July 2019 19:51","https://sullygnome.com/channel/ievixtv/stream/34755740944","54","1080","20","21","0","0","0","0","Just Chatting"
"31","Tuesday 2nd July 2019 17:45","https://sullygnome.com/channel/ievixtv/stream/34754117168","120","840","7","12","-1","0","55","31","Dead by Daylight,Just Chatting"
"32","Tuesday 2nd July 2019 17:00","https://sullygnome.com/channel/ievixtv/stream/34753418560","15","195","13","16","2","4","41","82","Just Chatting"
"33","Monday 1st July 2019 17:36","https://sullygnome.com/channel/ievixtv/stream/34741701936","144","3024","21","26","5","2","190","84","Just Chatting"
"34","Monday 1st July 2019 16:32","https://sullygnome.com/channel/ievixtv/stream/34741023152","58","1566","27","31","1","1","110","110","Just Chatting"
