"","Stream start time","Stream URL","Stream length (mins)","Watch time (mins)","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"1","Wednesday 31st July 2019 20:15","https://sullygnome.com/channel/im_trent_/stream/35115205504","180","180","1","2","0","0","0","0","Minecraft"
"2","Wednesday 31st July 2019 16:00","https://sullygnome.com/channel/im_trent_/stream/35112319888","180","0","0","2","0","0","3","0","Minecraft"
"3","Wednesday 31st July 2019 11:00","https://sullygnome.com/channel/im_trent_/stream/35109966880","180","720","4","7","6","2","15","5","Clash of Clans"
"4","Tuesday 30th July 2019 16:30","https://sullygnome.com/channel/im_trent_/stream/35099119280","30","60","2","2","1","1","0","0","Minecraft"
"5","Tuesday 30th July 2019 11:00","https://sullygnome.com/channel/im_trent_/stream/35096741232","180","900","5","7","4","1","19","6","Clash of Clans"
"6","Friday 26th July 2019 04:45","https://sullygnome.com/channel/im_trent_/stream/35046864032","180","360","2","4","-2","0","15","4","Minecraft"
"7","Saturday 20th July 2019 04:29","https://sullygnome.com/channel/im_trent_/stream/34972210240","241","723","3","11","3","0","19","4","Clash of Clans"
"8","Saturday 20th July 2019 00:45","https://sullygnome.com/channel/im_trent_/stream/34969901008","165","165","1","6","2","0","13","4","Clash of Clans"
"9","Friday 19th July 2019 20:45","https://sullygnome.com/channel/im_trent_/stream/34967004368","60","60","1","2","0","0","2","1","Minecraft"
"10","Friday 19th July 2019 00:15","https://sullygnome.com/channel/im_trent_/stream/34957252992","480","1440","3","9","21","2","42","5","Clash of Clans"
"11","Wednesday 17th July 2019 00:00","https://sullygnome.com/channel/im_trent_/stream/34932019872","90","180","2","5","3","1","8","4","Clash of Clans"
"12","Tuesday 16th July 2019 17:15","https://sullygnome.com/channel/im_trent_/stream/34927302960","150","150","1","3","0","0","7","2","Minecraft"
"13","Monday 15th July 2019 22:00","https://sullygnome.com/channel/im_trent_/stream/34917942656","150","150","1","2","0","0","3","1","Minecraft"
"14","Thursday 11th July 2019 19:00","https://sullygnome.com/channel/im_trent_/stream/34866524512","240","240","1","3","-1","0","22","5","Minecraft"
"15","Saturday 6th July 2019 21:30","https://sullygnome.com/channel/im_trent_/stream/34805887824","60","240","4","6","4","3","8","6","Clash of Clans"
"16","Friday 5th July 2019 23:00","https://sullygnome.com/channel/im_trent_/stream/34794284720","75","75","1","2","0","0","7","4","Clash of Clans"
"17","Monday 1st July 2019 13:45","https://sullygnome.com/channel/im_trent_/stream/34739412336","195","390","2","3","-1","0","11","3","Minecraft"
"18","Monday 1st July 2019 06:00","https://sullygnome.com/channel/im_trent_/stream/34736977808","135","675","5","8","9","3","28","11","Clash of Clans"
