"","Stream start time","Stream URL","Stream length (mins)","Watch time (mins)","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"1","Wednesday 31st July 2019 21:07","https://sullygnome.com/channel/imvalentine/stream/35115921584","158","1580","10","15","1","0","31","11","Dead by Daylight"
"2","Wednesday 31st July 2019 03:01","https://sullygnome.com/channel/imvalentine/stream/35106748832","134","938","7","10","2","0","30","13","Dead by Daylight,Unlisted on Twitch"
"3","Tuesday 30th July 2019 03:13","https://sullygnome.com/channel/imvalentine/stream/35093972144","197","2364","12","17","7","2","63","18","Dead by Daylight"
"4","Friday 26th July 2019 21:55","https://sullygnome.com/channel/imvalentine/stream/35054819728","215","2365","11","16","1","0","48","13","Dead by Daylight"
"5","Friday 26th July 2019 03:03","https://sullygnome.com/channel/imvalentine/stream/35046032192","282","3384","12","30","7","1","75","15","Dead by Daylight"
"6","Wednesday 24th July 2019 22:30","https://sullygnome.com/channel/imvalentine/stream/35031155664","165","1650","10","17","4","1","38","12","Dead by Daylight"
"7","Friday 19th July 2019 23:38","https://sullygnome.com/channel/imvalentine/stream/34966279344","487","8766","18","40","24","1","284","21","Dead by Daylight"
"8","Wednesday 17th July 2019 22:39","https://sullygnome.com/channel/imvalentine/stream/34943760960","321","3852","12","20","6","1","93","16","Dead by Daylight"
"9","Tuesday 16th July 2019 03:01","https://sullygnome.com/channel/imvalentine/stream/34921362864","224","3136","14","31","14","3","160","40","Dead by Daylight"
"10","Monday 15th July 2019 03:03","https://sullygnome.com/channel/imvalentine/stream/34909108704","207","2070","10","15","4","1","50","14","Dead by Daylight"
"11","Sunday 14th July 2019 03:33","https://sullygnome.com/channel/imvalentine/stream/34896873504","162","972","6","10","4","1","23","7","Dead by Daylight,Minecraft"
"12","Friday 12th July 2019 20:37","https://sullygnome.com/channel/imvalentine/stream/34880140928","323","2584","8","13","5","0","72","13","Dead by Daylight,Minecraft"
"13","Thursday 11th July 2019 00:21","https://sullygnome.com/channel/imvalentine/stream/34857638208","174","1392","8","12","3","1","29","9","Dead by Daylight"
"14","Saturday 6th July 2019 17:55","https://sullygnome.com/channel/imvalentine/stream/34803267344","725","7975","11","17","12","0","165","13","Dead by Daylight,Overwatch,Minecraft,Call of Duty: Black Ops II,Just Chatting,Borderlands 2"
"15","Saturday 6th July 2019 02:32","https://sullygnome.com/channel/imvalentine/stream/34796422048","178","1246","7","13","0","0","27","9","Dead by Daylight,Overwatch"
