"","Stream start time","Stream URL","Stream length (mins)","Watch time (mins)","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"1","Wednesday 31st July 2019 22:04","https://sullygnome.com/channel/informous/stream/35116559568","131","9432","72","111","39","17","582","258","osu!"
"2","Monday 29th July 2019 22:00","https://sullygnome.com/channel/informous/stream/35090644512","105","10920","104","169","60","30","732","366","osu!"
"3","Saturday 27th July 2019 22:03","https://sullygnome.com/channel/informous/stream/35066743008","57","4275","75","111","16","16","289","289","osu!"
"4","Thursday 25th July 2019 22:00","https://sullygnome.com/channel/informous/stream/35042900800","90","5130","57","100","24","13","294","168","osu!"
"5","Tuesday 23rd July 2019 22:02","https://sullygnome.com/channel/informous/stream/35018603680","133","5054","38","55","17","7","385","171","osu!"
"6","Sunday 21st July 2019 22:00","https://sullygnome.com/channel/informous/stream/34994309824","165","13695","83","111","33","12","678","246","osu!"
"7","Friday 19th July 2019 22:00","https://sullygnome.com/channel/informous/stream/34968303520","105","6195","59","72","17","9","332","189","osu!"
"8","Wednesday 17th July 2019 22:00","https://sullygnome.com/channel/informous/stream/34943353520","180","11340","63","101","34","12","577","209","osu!,Muse Dash"
"9","Monday 15th July 2019 22:00","https://sullygnome.com/channel/informous/stream/34918206560","105","5355","51","65","11","7","280","186","osu!"
"10","Saturday 13th July 2019 22:05","https://sullygnome.com/channel/informous/stream/34893739856","205","19680","96","147","37","12","601","200","osu!"
"11","Thursday 11th July 2019 22:03","https://sullygnome.com/channel/informous/stream/34868594160","117","9009","77","100","16","8","458","229","osu!"
"12","Tuesday 9th July 2019 22:00","https://sullygnome.com/channel/informous/stream/34843605920","75","3675","49","75","8","5","278","185","osu!"
"13","Sunday 7th July 2019 22:00","https://sullygnome.com/channel/informous/stream/34818907696","165","14025","85","148","15","5","600","200","osu!"
"14","Friday 5th July 2019 22:00","https://sullygnome.com/channel/informous/stream/34793642912","165","16500","100","158","36","12","851","283","osu!"
"15","Wednesday 3rd July 2019 22:00","https://sullygnome.com/channel/informous/stream/34769788352","135","13095","97","110","30","13","686","304","osu!"
"16","Monday 1st July 2019 22:00","https://sullygnome.com/channel/informous/stream/34744757888","90","4410","49","77","7","4","313","208","osu!"
