"","Stream start time","Stream URL","Stream length (mins)","Watch time (mins)","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"1","Wednesday 31st July 2019 04:06","https://sullygnome.com/channel/itswonderbrad/stream/35107385872","99","8415","85","97","26","14","102","58","Brawl Stars"
"2","Tuesday 30th July 2019 01:48","https://sullygnome.com/channel/itswonderbrad/stream/35093133232","207","13248","64","98","32","9","168","48","Brawl Stars,Fortnite"
"3","Wednesday 17th July 2019 01:00","https://sullygnome.com/channel/itswonderbrad/stream/34932676160","105","12705","121","138","43","24","152","86","Brawl Stars"
"4","Sunday 14th July 2019 06:57","https://sullygnome.com/channel/itswonderbrad/stream/34898310736","123","74169","603","812","697","309","2080","924","Brawl Stars"
"5","Friday 12th July 2019 21:55","https://sullygnome.com/channel/itswonderbrad/stream/34880993568","215","3010","14","36","11","2","69","18","Fortnite"
"6","Friday 12th July 2019 01:13","https://sullygnome.com/channel/itswonderbrad/stream/34870625904","122","3172","26","36","6","3","49","28","Fortnite"
"7","Thursday 11th July 2019 03:37","https://sullygnome.com/channel/itswonderbrad/stream/34859644816","158","4108","26","50","15","5","51","18","Fortnite"
"8","Saturday 6th July 2019 20:45","https://sullygnome.com/channel/itswonderbrad/stream/34805470016","75","10725","143","193","93","62","517","344","Brawl Stars"
"9","Friday 5th July 2019 06:27","https://sullygnome.com/channel/itswonderbrad/stream/34785896848","123","2460","20","40","10","4","40","17","Fortnite"
"10","Thursday 4th July 2019 03:44","https://sullygnome.com/channel/itswonderbrad/stream/34773239088","151","7399","49","65","18","7","134","53","Fortnite"
