"","Stream start time","Stream URL","Stream length (mins)","Watch time (mins)","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"1","Tuesday 23rd July 2019 00:45","https://sullygnome.com/channel/jcparkofficial/stream/35007774240","75","225","3","6","0","0","2","1","Minecraft"
"2","Saturday 20th July 2019 23:29","https://sullygnome.com/channel/jcparkofficial/stream/34982959424","136","952","7","9","0","0","9","4","Art"
"3","Friday 19th July 2019 00:30","https://sullygnome.com/channel/jcparkofficial/stream/34957352528","105","210","2","4","0","0","5","2","Apex Legends"
"4","Wednesday 17th July 2019 01:15","https://sullygnome.com/channel/jcparkofficial/stream/34932827968","90","180","2","5","0","0","4","2","Minecraft"
"5","Tuesday 16th July 2019 00:00","https://sullygnome.com/channel/jcparkofficial/stream/34919273536","165","825","5","8","0","0","8","2","Minecraft"
"6","Saturday 13th July 2019 01:30","https://sullygnome.com/channel/jcparkofficial/stream/34883058304","105","420","4","5","0","0","5","2","Minecraft"
"7","Friday 12th July 2019 00:00","https://sullygnome.com/channel/jcparkofficial/stream/34869843120","150","300","2","5","0","0","4","1","Minecraft"
"8","Wednesday 10th July 2019 01:15","https://sullygnome.com/channel/jcparkofficial/stream/34845641184","135","810","6","8","0","0","6","2","Apex Legends"
"9","Tuesday 9th July 2019 00:03","https://sullygnome.com/channel/jcparkofficial/stream/34832388144","177","354","2","5","0","0","2","0","Apex Legends"
"10","Thursday 4th July 2019 00:15","https://sullygnome.com/channel/jcparkofficial/stream/34771040304","105","210","2","4","0","0","8","4","Apex Legends"
"11","Monday 1st July 2019 22:25","https://sullygnome.com/channel/jcparkofficial/stream/34745018192","275","1375","5","7","0","0","21","4","Minecraft"
