"","Stream start time","Stream URL","Stream length (mins)","Watch time (mins)","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"1","Wednesday 31st July 2019 14:15","https://sullygnome.com/channel/jrowo/stream/35111064656","15","45","3","3","0","0","1","2","Just Chatting"
"2","Wednesday 31st July 2019 00:44","https://sullygnome.com/channel/jrowo/stream/35105154864","181","543","3","5","1","0","11","3","Just Chatting,Fallout 4"
"3","Tuesday 30th July 2019 13:45","https://sullygnome.com/channel/jrowo/stream/35097824256","45","45","1","2","0","0","3","3","Just Chatting"
"4","Tuesday 30th July 2019 00:45","https://sullygnome.com/channel/jrowo/stream/35092394800","195","390","2","4","0","0","9","2","Just Chatting,Fallout 4"
"5","Monday 29th July 2019 13:45","https://sullygnome.com/channel/jrowo/stream/35085242224","30","0","0","0","0","0","1","1","Just Chatting"
"6","Sunday 28th July 2019 13:59","https://sullygnome.com/channel/jrowo/stream/35073790672","811","6488","8","30","0","0","50","3","Fallout 4,Just Chatting,Dead by Daylight"
"7","Sunday 28th July 2019 00:56","https://sullygnome.com/channel/jrowo/stream/35068372112","184","552","3","5","0","0","17","5","Fallout 4"
"8","Saturday 27th July 2019 14:00","https://sullygnome.com/channel/jrowo/stream/35061929584","30","90","3","5","0","0","6","8","Fallout 4"
"9","Saturday 27th July 2019 00:45","https://sullygnome.com/channel/jrowo/stream/35056474944","180","540","3","6","0","0","14","4","Just Chatting"
"10","Friday 26th July 2019 13:30","https://sullygnome.com/channel/jrowo/stream/35049796064","60","120","2","3","0","0","1","0","Just Chatting"
"11","Friday 26th July 2019 00:53","https://sullygnome.com/channel/jrowo/stream/35044693568","187","561","3","4","0","0","5","1","Just Chatting"
"12","Sunday 14th July 2019 00:45","https://sullygnome.com/channel/jrowo/stream/34895188032","105","0","0","2","1","0","4","2","Minecraft"
"13","Saturday 13th July 2019 13:45","https://sullygnome.com/channel/jrowo/stream/34888368864","30","30","1","1","0","0","2","2","Minecraft,Just Chatting"
"14","Saturday 13th July 2019 00:45","https://sullygnome.com/channel/jrowo/stream/34882718016","225","450","2","4","1","0","16","4","Minecraft"
"15","Friday 12th July 2019 13:15","https://sullygnome.com/channel/jrowo/stream/34875514624","45","0","0","0","0","0","0","0","Portal 2"
"16","Friday 12th July 2019 01:00","https://sullygnome.com/channel/jrowo/stream/34870398688","150","0","0","2","0","0","4","1","Minecraft"
"17","Thursday 11th July 2019 13:45","https://sullygnome.com/channel/jrowo/stream/34863300080","30","0","0","0","0","0","0","0","Portal 2"
"18","Thursday 11th July 2019 00:30","https://sullygnome.com/channel/jrowo/stream/34857663968","195","195","1","2","0","0","3","0","Portal 2"
"19","Wednesday 10th July 2019 03:30","https://sullygnome.com/channel/jrowo/stream/34847009056","30","0","0","2","0","0","0","0","Portal"
"20","Wednesday 10th July 2019 02:15","https://sullygnome.com/channel/jrowo/stream/34846385376","15","0","0","0","0","0","0","0","Portal"
"21","Wednesday 10th July 2019 01:15","https://sullygnome.com/channel/jrowo/stream/34845582336","30","60","2","2","0","0","3","4","Portal"
"22","Tuesday 9th July 2019 14:00","https://sullygnome.com/channel/jrowo/stream/34838308992","15","15","1","1","0","0","5","10","Portal"
"23","Tuesday 9th July 2019 03:00","https://sullygnome.com/channel/jrowo/stream/34834159200","75","150","2","3","0","0","6","4","60 Seconds!"
"24","Monday 8th July 2019 19:45","https://sullygnome.com/channel/jrowo/stream/34829473216","270","270","1","3","0","0","17","3","60 Seconds!,Zombie Army Trilogy"
"25","Monday 8th July 2019 15:45","https://sullygnome.com/channel/jrowo/stream/34826770928","210","210","1","3","0","0","12","3","Zombie Army Trilogy,60 Seconds!"
"26","Monday 8th July 2019 14:45","https://sullygnome.com/channel/jrowo/stream/34826213376","30","30","1","2","0","0","6","8","Age of Empires II,Sleeping Dogs"
"27","Sunday 7th July 2019 13:37","https://sullygnome.com/channel/jrowo/stream/34813557696","938","1876","2","5","0","0","46","2","Minecraft,Age of Empires II"
"28","Saturday 6th July 2019 14:15","https://sullygnome.com/channel/jrowo/stream/34801235216","810","810","1","4","0","0","39","2","Age of Empires II,Minecraft"
"29","Saturday 6th July 2019 01:15","https://sullygnome.com/channel/jrowo/stream/34795566096","210","420","2","5","0","0","23","6","Dead by Daylight,Age of Empires II"
"30","Friday 5th July 2019 13:45","https://sullygnome.com/channel/jrowo/stream/34788217488","15","0","0","0","0","0","0","0","Minecraft"
"31","Friday 5th July 2019 01:30","https://sullygnome.com/channel/jrowo/stream/34783729936","135","0","0","1","1","0","10","4","Minecraft"
"32","Thursday 4th July 2019 01:30","https://sullygnome.com/channel/jrowo/stream/34771758384","150","150","1","2","0","0","8","2","Minecraft"
"33","Wednesday 3rd July 2019 13:45","https://sullygnome.com/channel/jrowo/stream/34764383824","45","0","0","2","0","0","4","4","Minecraft"
"34","Wednesday 3rd July 2019 01:45","https://sullygnome.com/channel/jrowo/stream/34759548128","30","90","3","3","0","0","3","4","Minecraft"
"35","Tuesday 2nd July 2019 13:45","https://sullygnome.com/channel/jrowo/stream/34751715888","30","0","0","0","0","0","1","1","Minecraft"
"36","Monday 1st July 2019 22:00","https://sullygnome.com/channel/jrowo/stream/34744683200","390","390","1","5","2","0","26","3","Minecraft"
"37","Monday 1st July 2019 14:00","https://sullygnome.com/channel/jrowo/stream/34739529536","270","810","3","5","0","0","7","1","Minecraft"
