"","Stream start time","Stream URL","Stream length (mins)","Watch time (mins)","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"1","Tuesday 30th July 2019 06:30","https://sullygnome.com/channel/jusergaming/stream/35095348784","75","75","1","3","1","0","3","2","Fortnite"
"2","Sunday 28th July 2019 05:45","https://sullygnome.com/channel/jusergaming/stream/35070798736","30","30","1","2","0","0","4","5","DARK SOULS III"
"3","Saturday 27th July 2019 15:00","https://sullygnome.com/channel/jusergaming/stream/35062478352","75","0","0","1","0","0","3","2","Minecraft"
"4","Saturday 27th July 2019 10:00","https://sullygnome.com/channel/jusergaming/stream/35060287616","165","660","4","7","0","0","20","6","Minecraft"
"5","Friday 26th July 2019 18:00","https://sullygnome.com/channel/jusergaming/stream/35051961920","45","45","1","2","0","0","2","2","Minecraft"
"6","Friday 26th July 2019 15:00","https://sullygnome.com/channel/jusergaming/stream/35050441904","150","300","2","6","-1","0","20","7","Minecraft"
"7","Friday 26th July 2019 11:00","https://sullygnome.com/channel/jusergaming/stream/35048840064","195","780","4","7","3","0","31","8","DARK SOULS III"
"8","Thursday 25th July 2019 16:06","https://sullygnome.com/channel/jusergaming/stream/35039059312","54","162","3","4","0","0","6","6","DARK SOULS III"
"9","Thursday 25th July 2019 14:15","https://sullygnome.com/channel/jusergaming/stream/35038025120","90","0","0","3","0","0","8","4","Minecraft"
"10","Thursday 25th July 2019 08:50","https://sullygnome.com/channel/jusergaming/stream/35036147472","235","705","3","9","-1","0","25","6","DARK SOULS III"
"11","Wednesday 24th July 2019 15:37","https://sullygnome.com/channel/jusergaming/stream/35026104080","188","564","3","6","0","0","22","5","Minecraft,DARK SOULS III"
"12","Wednesday 24th July 2019 10:45","https://sullygnome.com/channel/jusergaming/stream/35024275280","195","390","2","4","1","0","10","2","Minecraft"
"13","Tuesday 23rd July 2019 17:30","https://sullygnome.com/channel/jusergaming/stream/35015456640","165","165","1","5","1","0","5","1","Minecraft"
"14","Monday 22nd July 2019 12:00","https://sullygnome.com/channel/jusergaming/stream/35000200768","255","510","2","5","1","0","19","4","Fortnite"
"15","Monday 22nd July 2019 09:42","https://sullygnome.com/channel/jusergaming/stream/34999441968","93","279","3","9","3","2","15","10","Fortnite"
"16","Sunday 21st July 2019 14:30","https://sullygnome.com/channel/jusergaming/stream/34989510672","315","315","1","3","2","0","15","2","Fortnite"
"17","Saturday 20th July 2019 15:46","https://sullygnome.com/channel/jusergaming/stream/34976944272","314","1256","4","9","-2","0","17","3","Fortnite"
"18","Friday 19th July 2019 17:23","https://sullygnome.com/channel/jusergaming/stream/34963805472","217","651","3","6","0","0","23","3","Darksiders III,Fortnite"
"19","Friday 19th July 2019 13:30","https://sullygnome.com/channel/jusergaming/stream/34962871552","45","135","3","5","2","2","5","5","Fortnite"
"20","Friday 19th July 2019 08:00","https://sullygnome.com/channel/jusergaming/stream/34960902784","45","90","2","5","1","1","11","11","Youtubers Life,Fortnite"
"21","Thursday 18th July 2019 19:15","https://sullygnome.com/channel/jusergaming/stream/34953938016","45","90","2","3","0","0","8","8","Youtubers Life"
"22","Thursday 18th July 2019 15:45","https://sullygnome.com/channel/jusergaming/stream/34951378480","105","420","4","6","2","1","5","2","Fortnite"
"23","Thursday 18th July 2019 13:45","https://sullygnome.com/channel/jusergaming/stream/34950552880","90","90","1","4","0","0","11","6","Fortnite"
"24","Thursday 18th July 2019 13:00","https://sullygnome.com/channel/jusergaming/stream/34950067952","15","15","1","2","0","0","5","10","Just Chatting"
"25","Thursday 18th July 2019 08:45","https://sullygnome.com/channel/jusergaming/stream/34948736288","195","390","2","4","-2","0","17","4","Fortnite"
"26","Wednesday 17th July 2019 13:39","https://sullygnome.com/channel/jusergaming/stream/34937943920","201","201","1","5","1","0","9","2","Fortnite"
"27","Wednesday 17th July 2019 00:57","https://sullygnome.com/channel/jusergaming/stream/34932643008","168","504","3","8","1","0","27","9","Fortnite,Super Mario Maker 2"
"28","Tuesday 16th July 2019 15:45","https://sullygnome.com/channel/jusergaming/stream/34926267984","210","210","1","3","-2","0","12","3","Fortnite"
"29","Tuesday 16th July 2019 10:15","https://sullygnome.com/channel/jusergaming/stream/34923927472","300","300","1","5","2","0","30","5","Fortnite"
"30","Monday 15th July 2019 20:15","https://sullygnome.com/channel/jusergaming/stream/34917049792","30","30","1","1","0","0","8","10","Fortnite"
"31","Monday 15th July 2019 13:00","https://sullygnome.com/channel/jusergaming/stream/34912404080","285","570","2","6","1","0","26","5","Fortnite"
"32","Monday 15th July 2019 12:15","https://sullygnome.com/channel/jusergaming/stream/34912289040","0","0","0","0","0","0","0","0","Fortnite"
"33","Monday 15th July 2019 03:00","https://sullygnome.com/channel/jusergaming/stream/34908966656","210","210","1","3","1","0","9","2","Fortnite"
"34","Saturday 13th July 2019 10:30","https://sullygnome.com/channel/jusergaming/stream/34887047920","165","330","2","5","1","0","10","3","Fortnite"
"35","Friday 12th July 2019 19:30","https://sullygnome.com/channel/jusergaming/stream/34879344688","90","360","4","6","1","0","6","3","Dead by Daylight"
"36","Friday 12th July 2019 14:00","https://sullygnome.com/channel/jusergaming/stream/34875821232","285","570","2","7","5","1","24","4","Fortnite,Death Road to Canada"
"37","Thursday 11th July 2019 17:45","https://sullygnome.com/channel/jusergaming/stream/34865479424","30","30","1","1","1","1","0","0","Dead by Daylight"
"38","Thursday 11th July 2019 10:53","https://sullygnome.com/channel/jusergaming/stream/34862110064","187","935","5","7","2","0","38","11","Super Mario Maker 2,Pokémon HeartGold/SoulSilver"
"39","Thursday 11th July 2019 08:15","https://sullygnome.com/channel/jusergaming/stream/34861256592","30","60","2","4","0","0","7","9","Super Mario Maker 2"
"40","Wednesday 10th July 2019 21:00","https://sullygnome.com/channel/jusergaming/stream/34855305296","75","150","2","3","0","0","11","7","Dead by Daylight"
"41","Wednesday 10th July 2019 20:30","https://sullygnome.com/channel/jusergaming/stream/34855084000","0","0","2","2","0","0","0","0","Pokémon HeartGold/SoulSilver"
"42","Wednesday 10th July 2019 19:15","https://sullygnome.com/channel/jusergaming/stream/34854250432","0","0","1","1","0","0","0","0","Dead by Daylight"
"43","Tuesday 9th July 2019 12:34","https://sullygnome.com/channel/jusergaming/stream/34837693808","326","978","3","7","1","0","44","8","Terraria,Just Chatting,Hero Siege,Dead by Daylight,Minecraft,Forager"
"44","Tuesday 9th July 2019 12:00","https://sullygnome.com/channel/jusergaming/stream/34837408912","15","30","2","5","1","2","9","18","Beat Saber"
"45","Tuesday 9th July 2019 09:00","https://sullygnome.com/channel/jusergaming/stream/34836425232","75","150","2","3","3","2","4","2","Fortnite"
"46","Monday 8th July 2019 17:00","https://sullygnome.com/channel/jusergaming/stream/34827535184","195","195","1","2","0","0","12","3","Minecraft,Dark Souls"
"47","Monday 8th July 2019 15:15","https://sullygnome.com/channel/jusergaming/stream/34826525040","60","60","1","4","0","0","17","13","DOOM"
"48","Monday 8th July 2019 07:30","https://sullygnome.com/channel/jusergaming/stream/34823534032","0","0","2","2","0","0","0","0","The Witcher 3: Wild Hunt"
"49","Sunday 7th July 2019 17:15","https://sullygnome.com/channel/jusergaming/stream/34815475024","345","345","1","5","0","0","23","3","Minecraft,Dying Light,Dead by Daylight,Tom Clancy's Rainbow Six Siege"
"50","Sunday 7th July 2019 13:45","https://sullygnome.com/channel/jusergaming/stream/34813542848","135","270","2","5","0","0","23","9","DARK SOULS III"
"51","Sunday 7th July 2019 13:00","https://sullygnome.com/channel/jusergaming/stream/34813181408","15","45","3","5","0","0","6","12","Sekiro: Shadows Die Twice"
"52","Saturday 6th July 2019 16:30","https://sullygnome.com/channel/jusergaming/stream/34802197456","165","165","1","2","0","0","5","1","Minecraft,Teamfight Tactics"
