"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","Fortnite","2370","184395","76","144","13455","340.632911"
"2","Just Chatting","1470","116475","75","156","11356","463.510204"
"3","Grand Theft Auto V","1320","156765","109","203","9903","450.136363"
"4","Rust","840","54315","56","95","3293","235.214285"
"5","Minecraft","180","12375","68","84","673","224.333333"
"6","Tom Clancy's Rainbow Six Siege","165","8520","51","63","768","279.272727"
"7","ARK: Survival Evolved","120","4530","37","69","801","400.5"
"8","Zula","105","7740","73","84","439","250.857142"
"9","Pandemic Express: Zombie Escape","60","3495","58","62","345","345"
"10","PUBG: BATTLEGROUNDS","30","2055","68","75","181","362"
