"","Stream start time","Stream URL","Stream length (mins)","Watch time (mins)","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"1","Wednesday 31st July 2019 15:04","https://sullygnome.com/channel/k2delta38/stream/35111797488","386","25862","67","113","23","3","1126","173","Just Chatting,Fortnite,Minecraft"
"2","Monday 22nd July 2019 16:15","https://sullygnome.com/channel/k2delta38/stream/35002147264","0","0","42","42","0","0","0","0","Grand Theft Auto V"
"3","Sunday 21st July 2019 16:15","https://sullygnome.com/channel/k2delta38/stream/34990449104","375","26250","70","103","44","6","1220","187","Grand Theft Auto V,Fortnite,Zula,Just Chatting"
"4","Saturday 20th July 2019 15:30","https://sullygnome.com/channel/k2delta38/stream/34976784272","390","47190","121","203","61","9","2060","305","Just Chatting,Fortnite,Grand Theft Auto V"
"5","Wednesday 17th July 2019 16:09","https://sullygnome.com/channel/k2delta38/stream/34939279264","351","23517","67","107","29","5","1346","234","Just Chatting,Fortnite,Rust"
"6","Wednesday 17th July 2019 00:17","https://sullygnome.com/channel/k2delta38/stream/34932212224","88","8360","95","143","8","6","337","269","Just Chatting"
"7","Tuesday 16th July 2019 15:49","https://sullygnome.com/channel/k2delta38/stream/34926446528","506","53130","105","150","86","10","2087","245","Fortnite,Grand Theft Auto V"
"8","Monday 15th July 2019 17:02","https://sullygnome.com/channel/k2delta38/stream/34914742576","298","35462","119","163","32","6","1626","342","Grand Theft Auto V,Fortnite,Just Chatting"
"9","Monday 15th July 2019 14:53","https://sullygnome.com/channel/k2delta38/stream/34913485104","127","10668","84","130","20","8","840","373","Fortnite"
"10","Friday 12th July 2019 15:44","https://sullygnome.com/channel/k2delta38/stream/34876611040","181","21358","118","195","24","6","1241","354","Grand Theft Auto V"
"11","Thursday 11th July 2019 13:41","https://sullygnome.com/channel/k2delta38/stream/34863256656","574","49938","87","131","78","8","2547","261","Grand Theft Auto V,Fortnite,Just Chatting,Pandemic Express: Zombie Escape"
"12","Wednesday 10th July 2019 15:20","https://sullygnome.com/channel/k2delta38/stream/34851610432","340","38760","114","187","32","5","1498","272","Fortnite,Grand Theft Auto V"
"13","Tuesday 9th July 2019 16:50","https://sullygnome.com/channel/k2delta38/stream/34839676544","445","29815","67","99","36","4","1594","199","Just Chatting,Fortnite,Rust"
"14","Monday 8th July 2019 16:06","https://sullygnome.com/channel/k2delta38/stream/34827019584","564","36660","65","94","46","4","1551","163","Fortnite,Tom Clancy's Rainbow Six Siege,Rust"
"15","Saturday 6th July 2019 16:01","https://sullygnome.com/channel/k2delta38/stream/34802303744","419","32682","78","117","32","4","1409","208","Fortnite,Rust,Just Chatting"
"16","Friday 5th July 2019 20:45","https://sullygnome.com/channel/k2delta38/stream/34792712160","165","11055","67","106","15","5","575","191","Just Chatting,Fortnite"
"17","Friday 5th July 2019 15:03","https://sullygnome.com/channel/k2delta38/stream/34789078784","192","10752","56","75","27","7","547","156","Just Chatting,Fortnite"
"18","Thursday 4th July 2019 16:15","https://sullygnome.com/channel/k2delta38/stream/34778301136","540","42660","79","130","36","4","2239","248","Just Chatting,Fortnite"
"19","Wednesday 3rd July 2019 20:41","https://sullygnome.com/channel/k2delta38/stream/34768902032","199","21293","107","156","19","5","482","148","Fortnite,Just Chatting"
"20","Wednesday 3rd July 2019 16:20","https://sullygnome.com/channel/k2delta38/stream/34765851328","130","8580","66","84","4","1","399","177","Fortnite,Just Chatting"
"21","Tuesday 2nd July 2019 15:47","https://sullygnome.com/channel/k2delta38/stream/34752812992","298","22052","74","107","21","4","1045","199","Fortnite,PUBG: BATTLEGROUNDS,Just Chatting"
"22","Monday 1st July 2019 20:34","https://sullygnome.com/channel/k2delta38/stream/34740003008","236","15340","65","113","57","5","1895","189","Fortnite,ARK: Survival Evolved,Tom Clancy's Rainbow Six Siege,Just Chatting"
