"","Stream start time","Stream URL","Stream length (mins)","Watch time (mins)","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"1","Wednesday 31st July 2019 18:47","https://sullygnome.com/channel/kajzoo/stream/35114211184","88","3256","37","47","2","1","185","148","World of Tanks"
"2","Wednesday 31st July 2019 12:51","https://sullygnome.com/channel/kajzoo/stream/35110708784","189","13797","73","100","13","4","620","190","World of Tanks"
"3","Tuesday 30th July 2019 20:30","https://sullygnome.com/channel/kajzoo/stream/35102230816","180","11340","63","92","17","5","534","164","World of Tanks"
"4","Tuesday 30th July 2019 10:37","https://sullygnome.com/channel/kajzoo/stream/35096607376","113","8701","77","146","9","4","480","240","World of Tanks"
"5","Monday 29th July 2019 10:22","https://sullygnome.com/channel/kajzoo/stream/35083987424","203","14819","73","120","21","6","874","249","World of Tanks"
"6","Saturday 27th July 2019 11:34","https://sullygnome.com/channel/kajzoo/stream/35060957888","86","9460","110","202","14","9","404","269","World of Tanks"
"7","Friday 26th July 2019 08:36","https://sullygnome.com/channel/kajzoo/stream/35048114928","174","9222","53","79","17","5","378","126","World of Tanks"
"8","Thursday 25th July 2019 10:53","https://sullygnome.com/channel/kajzoo/stream/35036781808","247","14079","57","86","13","3","1056","248","World of Tanks"
"9","Tuesday 23rd July 2019 14:07","https://sullygnome.com/channel/kajzoo/stream/35013554784","53","848","16","20","0","0","49","65","World of Tanks"
"10","Tuesday 23rd July 2019 09:22","https://sullygnome.com/channel/kajzoo/stream/35011711072","143","8294","58","79","9","3","328","131","World of Tanks"
"11","Monday 22nd July 2019 09:37","https://sullygnome.com/channel/kajzoo/stream/34999422256","233","13980","60","94","12","3","760","190","World of Tanks"
"12","Sunday 21st July 2019 10:01","https://sullygnome.com/channel/kajzoo/stream/34987611120","179","18616","104","143","21","6","781","240","World of Tanks"
"13","Saturday 20th July 2019 09:44","https://sullygnome.com/channel/kajzoo/stream/34974139648","196","24500","125","192","23","6","960","274","World of Tanks"
"14","Friday 19th July 2019 09:53","https://sullygnome.com/channel/kajzoo/stream/34961508800","217","19747","91","138","16","4","836","222","World of Tanks"
"15","Monday 15th July 2019 09:10","https://sullygnome.com/channel/kajzoo/stream/34911252176","185","8140","44","79","5","1","340","104","World of Tanks"
"16","Sunday 14th July 2019 10:06","https://sullygnome.com/channel/kajzoo/stream/34899326288","219","12921","59","105","9","2","560","149","World of Tanks"
"17","Saturday 13th July 2019 12:23","https://sullygnome.com/channel/kajzoo/stream/34887800832","112","9296","83","96","9","5","440","251","World of Tanks"
"18","Saturday 13th July 2019 09:57","https://sullygnome.com/channel/kajzoo/stream/34886862432","138","8004","58","72","8","3","468","208","World of Tanks"
"19","Wednesday 10th July 2019 10:00","https://sullygnome.com/channel/kajzoo/stream/34849357248","0","0","0","0","0","0","0","0","World of Tanks"
"20","Sunday 7th July 2019 10:27","https://sullygnome.com/channel/kajzoo/stream/34812188544","108","4752","44","48","1","0","210","120","World of Tanks"
"21","Saturday 6th July 2019 09:02","https://sullygnome.com/channel/kajzoo/stream/34799163120","103","7210","70","104","10","5","397","226","World of Tanks"
"22","Friday 5th July 2019 10:32","https://sullygnome.com/channel/kajzoo/stream/34787132048","148","7696","52","61","2","0","361","144","World of Tanks"
"23","Thursday 4th July 2019 10:04","https://sullygnome.com/channel/kajzoo/stream/34775525856","206","8446","41","51","4","1","374","106","World of Tanks"
