"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","Overwatch","2595","57405","19","43","1910","44.161849"
"2","Life is Strange","645","16110","24","38","369","34.325581"
"3","Just Dance 2019","510","16020","30","47","726","85.411764"
"4","Life is Strange: Before the Storm","345","8340","23","32","166","28.869565"
"5","Pokémon: Let's Go, Pikachu!","330","6825","21","25","189","34.363636"
"6","Dead by Daylight","225","4665","18","43","244","65.066666"
"7","Just Chatting","180","4020","22","30","156","52"
"8","Vicious Circle","165","2310","10","20","87","31.636363"
"9","Paladins","75","1140","15","18","12","9.6"
"10","Apex Legends","15","225","15","15","24","96"
