"","Stream start time","Stream URL","Stream length (mins)","Watch time (mins)","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"1","Wednesday 31st July 2019 23:16","https://sullygnome.com/channel/kasinglol/stream/35117334608","224","18144","81","131","14","3","529","141","League of Legends"
"2","Tuesday 30th July 2019 19:57","https://sullygnome.com/channel/kasinglol/stream/35101902832","123","12177","99","118","8","4","319","159","League of Legends"
"3","Monday 29th July 2019 22:41","https://sullygnome.com/channel/kasinglol/stream/35091086720","109","5123","47","61","3","1","168","84","League of Legends"
"4","Monday 29th July 2019 19:15","https://sullygnome.com/channel/kasinglol/stream/35088495952","150","17850","119","146","5","1","495","180","League of Legends"
"5","Sunday 28th July 2019 18:21","https://sullygnome.com/channel/kasinglol/stream/35076290352","234","10764","46","60","3","0","496","124","League of Legends"
"6","Saturday 27th July 2019 20:38","https://sullygnome.com/channel/kasinglol/stream/35065880144","247","14573","59","71","-1","0","481","113","League of Legends"
"7","Wednesday 24th July 2019 23:53","https://sullygnome.com/channel/kasinglol/stream/35031983360","112","6272","56","86","8","4","315","157","League of Legends"
"8","Tuesday 23rd July 2019 19:59","https://sullygnome.com/channel/kasinglol/stream/35017244016","181","11765","65","94","1","0","455","140","League of Legends"
"9","Sunday 21st July 2019 19:22","https://sullygnome.com/channel/kasinglol/stream/34992574480","173","8304","48","63","5","1","395","131","League of Legends"
"10","Saturday 20th July 2019 22:00","https://sullygnome.com/channel/kasinglol/stream/34982073936","180","7380","41","67","-3","0","289","88","League of Legends"
"11","Saturday 20th July 2019 00:11","https://sullygnome.com/channel/kasinglol/stream/34969648832","154","6930","45","55","-3","-1","187","68","League of Legends"
"12","Wednesday 17th July 2019 22:49","https://sullygnome.com/channel/kasinglol/stream/34943859840","101","2323","23","29","-4","-2","116","66","Teamfight Tactics"
"13","Tuesday 16th July 2019 23:29","https://sullygnome.com/channel/kasinglol/stream/34931665440","241","18075","75","132","9","2","619","154","League of Legends,Teamfight Tactics"
"14","Monday 15th July 2019 21:52","https://sullygnome.com/channel/kasinglol/stream/34918119552","218","10246","47","70","2","0","387","103","League of Legends"
"15","Friday 12th July 2019 22:04","https://sullygnome.com/channel/kasinglol/stream/34881094656","176","10560","60","98","-2","0","309","103","League of Legends,Teamfight Tactics"
"16","Tuesday 9th July 2019 21:16","https://sullygnome.com/channel/kasinglol/stream/34843143232","194","23086","119","196","26","8","1460","449","League of Legends"
"17","Sunday 7th July 2019 14:54","https://sullygnome.com/channel/kasinglol/stream/34814216336","186","14694","79","101","-3","-1","496","165","League of Legends"
"18","Sunday 7th July 2019 02:19","https://sullygnome.com/channel/kasinglol/stream/34808882592","101","3535","35","47","1","0","63","50","League of Legends"
"19","Wednesday 3rd July 2019 23:44","https://sullygnome.com/channel/kasinglol/stream/34770850032","226","19888","88","150","3","0","412","109","League of Legends,Teamfight Tactics"
