"","Stream start time","Stream URL","Stream length (mins)","Watch time (mins)","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"1","Saturday 27th July 2019 08:54","https://sullygnome.com/channel/kimbusta/stream/35060098848","186","19902","107","162","16","4","373","114","World of Warships"
"2","Friday 26th July 2019 13:07","https://sullygnome.com/channel/kimbusta/stream/35049664752","143","11869","83","100","2","0","212","84","World of Warships"
"3","Thursday 25th July 2019 08:54","https://sullygnome.com/channel/kimbusta/stream/35036163760","201","14271","71","93","5","1","191","54","World of Warships"
"4","Wednesday 24th July 2019 05:57","https://sullygnome.com/channel/kimbusta/stream/35023045664","303","22422","74","95","5","0","311","59","World of Warships"
"5","Sunday 21st July 2019 07:03","https://sullygnome.com/channel/kimbusta/stream/34986679712","222","21534","97","137","12","3","319","79","World of Warships"
"6","Wednesday 17th July 2019 05:18","https://sullygnome.com/channel/kimbusta/stream/34935036848","207","16146","78","111","5","1","221","58","World of Warships"
"7","Sunday 14th July 2019 22:13","https://sullygnome.com/channel/kimbusta/stream/34906322432","212","14204","67","84","3","0","122","32","World of Warships"
"8","Sunday 14th July 2019 13:02","https://sullygnome.com/channel/kimbusta/stream/34900525040","178","10324","58","87","5","1","216","66","World of Warships"
"9","Saturday 13th July 2019 11:05","https://sullygnome.com/channel/kimbusta/stream/34887272304","160","16960","106","122","8","3","299","119","World of Warships"
"10","Saturday 13th July 2019 09:30","https://sullygnome.com/channel/kimbusta/stream/34886687536","90","5760","64","96","7","4","265","151","World of Warships"
"11","Tuesday 9th July 2019 12:04","https://sullygnome.com/channel/kimbusta/stream/34837478560","206","17304","84","119","6","1","313","89","World of Warships"
"12","Monday 8th July 2019 23:24","https://sullygnome.com/channel/kimbusta/stream/34831982832","171","7011","41","52","1","0","132","44","World of Warships"
"13","Monday 8th July 2019 00:02","https://sullygnome.com/channel/kimbusta/stream/34820126032","163","5868","36","45","1","0","108","36","World of Warships"
"14","Saturday 6th July 2019 13:58","https://sullygnome.com/channel/kimbusta/stream/34801184848","197","14578","74","92","3","0","297","84","World of Warships"
"15","Friday 5th July 2019 11:26","https://sullygnome.com/channel/kimbusta/stream/34787448832","244","21960","90","112","4","0","444","104","World of Warships"
"16","Tuesday 2nd July 2019 08:00","https://sullygnome.com/channel/kimbusta/stream/34749711472","225","22050","98","120","15","3","389","97","World of Warships"
