"","Stream start time","Stream URL","Stream length (mins)","Watch time (mins)","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"1","Wednesday 31st July 2019 14:00","https://sullygnome.com/channel/kinekochan/stream/35111272304","135","540","4","8","1","0","12","4","Guild Wars 2,Oxygen Not Included"
"2","Tuesday 30th July 2019 13:02","https://sullygnome.com/channel/kinekochan/stream/35097576624","193","2123","11","17","0","0","53","16","Guild Wars 2"
"3","Monday 29th July 2019 12:59","https://sullygnome.com/channel/kinekochan/stream/35084980240","196","1764","9","14","0","0","35","10","Guild Wars 2"
"4","Sunday 28th July 2019 12:07","https://sullygnome.com/channel/kinekochan/stream/35072962128","278","2224","8","16","0","0","64","13","Guild Wars 2,Dota Underlords"
"5","Saturday 27th July 2019 11:51","https://sullygnome.com/channel/kinekochan/stream/35061064912","264","2376","9","16","0","0","52","11","Guild Wars 2,Dota Underlords"
"6","Friday 26th July 2019 14:45","https://sullygnome.com/channel/kinekochan/stream/35050343104","105","315","3","4","0","0","10","5","Dota Underlords"
"7","Wednesday 24th July 2019 14:19","https://sullygnome.com/channel/kinekochan/stream/35025936432","176","1408","8","12","1","0","22","7","Guild Wars 2,Dota Underlords"
"8","Tuesday 23rd July 2019 13:03","https://sullygnome.com/channel/kinekochan/stream/35013065520","207","828","4","8","1","0","31","8","Guild Wars 2"
"9","Monday 22nd July 2019 12:57","https://sullygnome.com/channel/kinekochan/stream/35000590768","198","1782","9","13","0","0","31","9","Guild Wars 2"
"10","Sunday 21st July 2019 14:04","https://sullygnome.com/channel/kinekochan/stream/34989286096","206","824","4","8","0","0","14","4","Two Point Hospital"
"11","Saturday 20th July 2019 13:44","https://sullygnome.com/channel/kinekochan/stream/34975794064","241","1205","5","11","1","0","33","7","Two Point Hospital"
"12","Friday 19th July 2019 13:15","https://sullygnome.com/channel/kinekochan/stream/34962682576","60","180","3","3","0","0","3","2","Guild Wars 2"
"13","Tuesday 16th July 2019 13:09","https://sullygnome.com/channel/kinekochan/stream/34925079568","171","1197","7","12","0","0","17","5","Guild Wars 2"
"14","Monday 15th July 2019 12:54","https://sullygnome.com/channel/kinekochan/stream/34912549520","186","2604","14","19","1","0","43","13","Guild Wars 2"
"15","Sunday 14th July 2019 14:06","https://sullygnome.com/channel/kinekochan/stream/34901048416","264","1056","4","9","0","0","14","3","Bastion"
"16","Saturday 13th July 2019 14:15","https://sullygnome.com/channel/kinekochan/stream/34888644736","180","360","2","6","0","0","13","4","Bastion"
"17","Friday 12th July 2019 13:02","https://sullygnome.com/channel/kinekochan/stream/34875452800","163","978","6","13","0","0","34","12","Guild Wars 2"
"18","Wednesday 10th July 2019 13:15","https://sullygnome.com/channel/kinekochan/stream/34850489728","165","1650","10","16","0","0","23","7","Guild Wars 2"
"19","Tuesday 9th July 2019 13:00","https://sullygnome.com/channel/kinekochan/stream/34837861488","135","1890","14","22","1","0","45","18","Guild Wars 2"
"20","Monday 8th July 2019 13:07","https://sullygnome.com/channel/kinekochan/stream/34825489264","173","1730","10","15","0","0","33","11","Guild Wars 2"
"21","Sunday 7th July 2019 14:14","https://sullygnome.com/channel/kinekochan/stream/34813874208","181","724","4","7","0","0","6","1","Ori and the Blind Forest"
"22","Saturday 6th July 2019 13:45","https://sullygnome.com/channel/kinekochan/stream/34801056048","195","390","2","5","0","0","15","4","Ori and the Blind Forest"
"23","Thursday 4th July 2019 14:30","https://sullygnome.com/channel/kinekochan/stream/34777260864","90","270","3","6","0","0","10","5","Guild Wars 2"
"24","Wednesday 3rd July 2019 13:00","https://sullygnome.com/channel/kinekochan/stream/34764093632","180","1080","6","11","0","0","30","9","Guild Wars 2"
"25","Tuesday 2nd July 2019 12:58","https://sullygnome.com/channel/kinekochan/stream/34751387008","167","2338","14","20","1","0","42","14","Guild Wars 2"
"26","Monday 1st July 2019 13:02","https://sullygnome.com/channel/kinekochan/stream/34739215216","178","2492","14","20","1","0","44","14","Guild Wars 2"
"27","Monday 1st July 2019 07:45","https://sullygnome.com/channel/kinekochan/stream/34737460896","150","750","5","9","0","0","19","6","Guild Wars 2"
