"","Stream start time","Stream URL","Stream length (mins)","Watch time (mins)","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"1","Wednesday 31st July 2019 04:45","https://sullygnome.com/channel/kyez21/stream/35107644352","165","165","1","2","0","0","1","0","TERA"
"2","Monday 29th July 2019 03:00","https://sullygnome.com/channel/kyez21/stream/35081510960","225","0","0","2","0","0","0","0","Apex Legends"
"3","Sunday 28th July 2019 03:00","https://sullygnome.com/channel/kyez21/stream/35069508512","105","105","1","2","0","0","0","0","Apex Legends"
"4","Saturday 27th July 2019 03:15","https://sullygnome.com/channel/kyez21/stream/35057947056","405","405","1","2","3","0","1","0","Apex Legends"
"5","Thursday 18th July 2019 21:15","https://sullygnome.com/channel/kyez21/stream/34955017376","120","120","1","2","0","0","0","0","South Park: The Fractured But Whole"
"6","Tuesday 16th July 2019 03:45","https://sullygnome.com/channel/kyez21/stream/34921705264","330","0","0","2","0","0","0","0","Tom Clancy's The Division 2"
"7","Saturday 13th July 2019 18:45","https://sullygnome.com/channel/kyez21/stream/34891331200","15","15","1","1","0","0","0","0","Apex Legends"
"8","Saturday 13th July 2019 16:00","https://sullygnome.com/channel/kyez21/stream/34889543648","120","120","1","2","0","0","1","0","South Park: The Fractured But Whole"
"9","Thursday 11th July 2019 04:45","https://sullygnome.com/channel/kyez21/stream/34860070896","180","0","0","1","0","0","0","0","Apex Legends"
"10","Thursday 11th July 2019 00:30","https://sullygnome.com/channel/kyez21/stream/34857627840","180","0","0","1","0","0","1","0","Apex Legends"
"11","Wednesday 10th July 2019 07:00","https://sullygnome.com/channel/kyez21/stream/34848472512","60","0","0","2","0","0","0","0","South Park: The Fractured But Whole"
"12","Monday 8th July 2019 22:00","https://sullygnome.com/channel/kyez21/stream/34830978512","270","270","1","2","0","0","0","0","South Park: The Fractured But Whole"
"13","Monday 8th July 2019 02:30","https://sullygnome.com/channel/kyez21/stream/34821347088","285","285","1","3","0","0","3","0","South Park: The Fractured But Whole"
"14","Sunday 7th July 2019 08:45","https://sullygnome.com/channel/kyez21/stream/34811554912","45","0","0","1","0","0","0","0","South Park: The Fractured But Whole"
"15","Tuesday 2nd July 2019 18:15","https://sullygnome.com/channel/kyez21/stream/34754567296","240","0","0","1","0","0","0","0","Apex Legends"
