"","Stream start time","Stream URL","Stream length (mins)","Watch time (mins)","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"1","Wednesday 31st July 2019 04:13","https://sullygnome.com/channel/lildarien/stream/35107449472","377","5655","15","20","0","0","60","10","Just Chatting,Monster Boy and the Cursed Kingdom"
"2","Tuesday 30th July 2019 03:55","https://sullygnome.com/channel/lildarien/stream/35094328672","245","4655","19","29","4","1","77","19","Just Chatting"
"3","Monday 29th July 2019 05:45","https://sullygnome.com/channel/lildarien/stream/35082650304","120","1440","12","18","2","0","43","19","Marvel Ultimate Alliance 3: The Black Order"
"4","Monday 22nd July 2019 10:20","https://sullygnome.com/channel/lildarien/stream/34999636896","205","3075","15","22","0","0","78","22","Marvel Ultimate Alliance 3: The Black Order"
"5","Sunday 21st July 2019 06:19","https://sullygnome.com/channel/lildarien/stream/34986441152","296","4440","15","25","4","0","76","15","Marvel Ultimate Alliance 3: The Black Order"
"6","Friday 19th July 2019 02:58","https://sullygnome.com/channel/lildarien/stream/34958954368","227","3178","14","18","0","0","37","10","Marvel Ultimate Alliance 3: The Black Order"
"7","Wednesday 17th July 2019 09:37","https://sullygnome.com/channel/lildarien/stream/34936384672","233","3495","15","29","9","2","69","17","Just Chatting,Super Mario Odyssey"
"8","Wednesday 17th July 2019 03:30","https://sullygnome.com/channel/lildarien/stream/34934222320","195","1755","9","15","1","0","37","10","Monster Hunter: World"
"9","Sunday 14th July 2019 10:39","https://sullygnome.com/channel/lildarien/stream/34899513808","171","4617","27","36","5","1","60","20","Super Mario Odyssey"
"10","Friday 12th July 2019 03:05","https://sullygnome.com/channel/lildarien/stream/34871775056","280","3920","14","30","0","0","72","15","Just Chatting,Muse Dash"
"11","Thursday 11th July 2019 03:10","https://sullygnome.com/channel/lildarien/stream/34859413120","275","3300","12","17","3","0","38","8","Just Chatting,Mortal Kombat 11"
"12","Wednesday 10th July 2019 03:44","https://sullygnome.com/channel/lildarien/stream/34847190608","196","2352","12","19","3","0","54","15","Just Chatting,Art"
"13","Tuesday 9th July 2019 03:01","https://sullygnome.com/channel/lildarien/stream/34834250880","284","3976","14","23","2","0","52","10","Just Chatting,Overwatch"
"14","Monday 8th July 2019 03:24","https://sullygnome.com/channel/lildarien/stream/34822024352","231","3927","17","27","8","2","84","22","Overwatch,Just Chatting"
"15","Wednesday 3rd July 2019 09:08","https://sullygnome.com/channel/lildarien/stream/34762682304","262","2882","11","19","5","1","60","13","Just Chatting,Overwatch"
