"","Stream start time","Stream URL","Stream length (mins)","Watch time (mins)","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"1","Wednesday 31st July 2019 19:30","https://sullygnome.com/channel/loli47/stream/35114503792","0","0","2","2","0","0","0","0","Overwatch"
"2","Monday 29th July 2019 08:04","https://sullygnome.com/channel/loli47/stream/35083323280","146","0","0","5","0","0","1","0","Apex Legends,Overwatch"
"3","Saturday 27th July 2019 12:00","https://sullygnome.com/channel/loli47/stream/35061055536","165","0","0","0","0","0","0","0","Overwatch"
"4","Friday 26th July 2019 18:45","https://sullygnome.com/channel/loli47/stream/35052781568","15","15","1","2","0","0","0","0","Apex Legends"
"5","Tuesday 23rd July 2019 22:45","https://sullygnome.com/channel/loli47/stream/35018996544","0","0","0","0","0","0","0","0","Apex Legends"
"6","Sunday 21st July 2019 08:45","https://sullygnome.com/channel/loli47/stream/34987138576","150","0","0","1","0","0","1","0","Overwatch"
"7","Sunday 21st July 2019 00:15","https://sullygnome.com/channel/loli47/stream/34983325984","30","0","0","0","0","0","0","0","Overwatch"
"8","Saturday 20th July 2019 22:00","https://sullygnome.com/channel/loli47/stream/34981939408","30","30","1","2","0","0","0","0","Apex Legends"
"9","Friday 19th July 2019 23:30","https://sullygnome.com/channel/loli47/stream/34969155328","15","15","1","1","0","0","0","0","Overwatch"
"10","Friday 19th July 2019 22:15","https://sullygnome.com/channel/loli47/stream/34968496256","15","0","0","1","0","0","0","0","Apex Legends"
"11","Thursday 18th July 2019 00:15","https://sullygnome.com/channel/loli47/stream/34944447840","0","0","1","1","0","0","0","0","Apex Legends"
"12","Wednesday 17th July 2019 00:00","https://sullygnome.com/channel/loli47/stream/34931883568","60","120","2","3","0","0","3","2","Apex Legends"
"13","Sunday 14th July 2019 20:15","https://sullygnome.com/channel/loli47/stream/34904827024","60","60","1","2","0","0","0","0","Apex Legends"
"14","Friday 12th July 2019 23:00","https://sullygnome.com/channel/loli47/stream/34881583920","45","45","1","2","0","0","1","1","Overwatch"
"15","Tuesday 9th July 2019 21:45","https://sullygnome.com/channel/loli47/stream/34843283456","75","150","2","4","1","0","3","2","Apex Legends"
"16","Monday 8th July 2019 05:00","https://sullygnome.com/channel/loli47/stream/34822691248","135","135","1","4","0","0","5","2","Overwatch"
"17","Friday 5th July 2019 00:15","https://sullygnome.com/channel/loli47/stream/34783161152","30","60","2","3","0","0","0","0","Overwatch"
"18","Tuesday 2nd July 2019 00:15","https://sullygnome.com/channel/loli47/stream/34746163088","30","90","3","5","0","0","0","0","Apex Legends"
