"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","FIFA 19","615","3510","5","10","49","4.780487"
"2","Just Chatting","315","1380","4","8","44","8.380952"
"3","Super Mario Maker 2","315","2055","6","9","43","8.190476"
"4","Games + Demos","150","705","4","6","9","3.6"
"5","Monster Boy and the Cursed Kingdom","105","360","3","5","5","2.857142"
"6","Awkward","90","465","5","6","13","8.666666"
"7","Skyhill","60","450","7","8","12","12"
"8","Streets of Rogue","60","165","2","4","4","4"
"9","Arizona Derby","45","135","3","5","11","14.666666"
"10","They Are Billions","30","165","5","6","0","0"
"11","NBA 2K19","30","75","2","3","0","0"
"12","Mittelborg: City of Mages","15","75","5","5","11","44"
