"","Stream start time","Stream URL","Stream length (mins)","Watch time (mins)","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"1","Wednesday 31st July 2019 01:45","https://sullygnome.com/channel/lucky_wolf777/stream/35105733344","30","30","1","2","0","0","1","1","Apex Legends"
"2","Tuesday 30th July 2019 08:00","https://sullygnome.com/channel/lucky_wolf777/stream/35095781360","30","0","0","0","1","1","1","1","Marvel's Spider-Man"
"3","Saturday 27th July 2019 09:45","https://sullygnome.com/channel/lucky_wolf777/stream/35060339136","105","105","1","1","0","0","1","0","Unlisted on Twitch"
"4","Friday 26th July 2019 09:30","https://sullygnome.com/channel/lucky_wolf777/stream/35048370800","75","75","1","1","0","0","2","1","Unlisted on Twitch"
"5","Thursday 25th July 2019 09:30","https://sullygnome.com/channel/lucky_wolf777/stream/35036331040","75","75","1","2","0","0","0","0","Unlisted on Twitch"
"6","Tuesday 23rd July 2019 09:45","https://sullygnome.com/channel/lucky_wolf777/stream/35011776576","90","90","1","1","0","0","0","0","Unlisted on Twitch"
"7","Monday 22nd July 2019 06:45","https://sullygnome.com/channel/lucky_wolf777/stream/34998572128","255","255","1","2","0","0","2","0","Unlisted on Twitch"
"8","Saturday 20th July 2019 07:30","https://sullygnome.com/channel/lucky_wolf777/stream/34973379952","210","420","2","3","-1","0","2","0","Unlisted on Twitch"
"9","Friday 19th July 2019 09:30","https://sullygnome.com/channel/lucky_wolf777/stream/34961378544","45","45","1","1","0","0","2","2","Rocket League"
"10","Thursday 18th July 2019 09:30","https://sullygnome.com/channel/lucky_wolf777/stream/34948956112","75","75","1","2","0","0","1","0","Red Dead Redemption 2"
"11","Wednesday 17th July 2019 09:30","https://sullygnome.com/channel/lucky_wolf777/stream/34936303744","75","75","1","1","0","0","3","2","Red Dead Redemption 2"
"12","Tuesday 16th July 2019 09:45","https://sullygnome.com/channel/lucky_wolf777/stream/34923749664","60","60","1","2","0","0","3","2","The Mean Greens: Plastic Warfare"
"13","Monday 15th July 2019 07:30","https://sullygnome.com/channel/lucky_wolf777/stream/34910712576","45","45","1","1","0","0","1","1","Sea of Thieves"
"14","Sunday 14th July 2019 08:00","https://sullygnome.com/channel/lucky_wolf777/stream/34898588960","135","135","1","2","0","0","1","0","Sea of Thieves"
"15","Sunday 14th July 2019 07:30","https://sullygnome.com/channel/lucky_wolf777/stream/34898435888","0","0","1","1","0","0","0","0","Sea of Thieves"
"16","Saturday 13th July 2019 09:45","https://sullygnome.com/channel/lucky_wolf777/stream/34886756672","60","60","1","3","0","0","5","4","Yu-Gi-Oh! Duel Links,CRSED: F.O.A.D."
"17","Friday 12th July 2019 09:30","https://sullygnome.com/channel/lucky_wolf777/stream/34874156032","75","75","1","1","0","0","2","1","Destiny 2"
"18","Thursday 11th July 2019 09:30","https://sullygnome.com/channel/lucky_wolf777/stream/34861632656","60","180","3","3","0","0","4","3","Destiny 2"
"19","Wednesday 10th July 2019 09:45","https://sullygnome.com/channel/lucky_wolf777/stream/34849222912","60","60","1","1","0","0","0","0","Grand Theft Auto V"
"20","Tuesday 9th July 2019 09:30","https://sullygnome.com/channel/lucky_wolf777/stream/34836536000","75","75","1","1","0","0","0","0","Grand Theft Auto V"
"21","Monday 8th July 2019 09:00","https://sullygnome.com/channel/lucky_wolf777/stream/34823920800","45","45","1","2","0","0","0","0","Apex Legends"
"22","Monday 8th July 2019 07:30","https://sullygnome.com/channel/lucky_wolf777/stream/34823517280","0","0","2","2","0","0","0","0","Apex Legends"
"23","Sunday 7th July 2019 07:30","https://sullygnome.com/channel/lucky_wolf777/stream/34811169952","150","150","1","2","0","0","5","1","Minecraft,Apex Legends"
"24","Saturday 6th July 2019 09:30","https://sullygnome.com/channel/lucky_wolf777/stream/34799306032","30","30","1","1","0","0","1","1","KurtzPel"
"25","Thursday 4th July 2019 09:30","https://sullygnome.com/channel/lucky_wolf777/stream/34775298896","75","75","1","3","0","0","12","8","Apex Legends"
"26","Wednesday 3rd July 2019 09:30","https://sullygnome.com/channel/lucky_wolf777/stream/34762760064","45","45","1","1","0","0","2","2","Destiny 2"
"27","Tuesday 2nd July 2019 09:45","https://sullygnome.com/channel/lucky_wolf777/stream/34750156096","45","90","2","5","0","0","1","1","SCUM"
"28","Monday 1st July 2019 07:08","https://sullygnome.com/channel/lucky_wolf777/stream/34737309760","232","1392","6","10","0","0","33","8","SCUM,Sea of Thieves"
