"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","Grand Theft Auto V","5535","3017460","546","1770","106590","1155.447154"
"2","Tom Clancy's Rainbow Six Siege","1800","184470","101","354","30330","1011"
"3","Marbles on Stream","960","277200","229","751","33889","2118.0625"
"4","Minecraft","600","139830","362","932","13875","1387.5"
"5","Teamfight Tactics","315","32835","93","179","5801","1104.95238"
"6","Just Chatting","300","35325","120","182","8097","1619.4"
"7","Euro Truck Simulator 2","180","26190","168","220","1874","624.666666"
"8","DARK SOULS III","120","7275","60","76","487","243.5"
"9","Pokémon X/Y","105","15720","149","234","882","504"
"10","Crash Bandicoot N. Sane Trilogy","90","19425","215","426","2095","1396.666666"
"11","Cooking Simulator","90","10905","119","139","546","364"
"12","Pokémon Trading Card Game","75","10905","145","167","281","224.8"
"13","Rocket League","75","17205","204","339","1259","1007.2"
"14","Dark Souls","45","2850","63","69","98","130.666666"
"15","Overcooked!","45","22650","503","574","2387","3182.666666"
"16","Metro Redux","45","14400","320","601","1527","2036"
"17","Super Mario Maker 2","45","6105","135","154","235","313.333333"
