"","Stream start time","Stream URL","Stream length (mins)","Watch time (mins)","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"1","Wednesday 31st July 2019 04:04","https://sullygnome.com/channel/lynx1835/stream/35107366848","371","48230","130","190","2","0","681","113","Teamfight Tactics"
"2","Tuesday 30th July 2019 06:10","https://sullygnome.com/channel/lynx1835/stream/35095246672","185","16650","90","145","1","0","319","98","Teamfight Tactics"
"3","Monday 29th July 2019 11:16","https://sullygnome.com/channel/lynx1835/stream/35084288224","479","47421","99","159","3","0","736","89","Teamfight Tactics"
"4","Sunday 28th July 2019 12:11","https://sullygnome.com/channel/lynx1835/stream/35072993296","529","43907","83","111","3","0","632","70","Teamfight Tactics"
"5","Sunday 28th July 2019 05:07","https://sullygnome.com/channel/lynx1835/stream/35070550016","98","5194","53","77","0","0","181","103","Teamfight Tactics"
"6","Saturday 27th July 2019 17:29","https://sullygnome.com/channel/lynx1835/stream/35063890368","181","12127","67","104","1","0","251","77","Teamfight Tactics"
"7","Saturday 27th July 2019 04:16","https://sullygnome.com/channel/lynx1835/stream/35058476928","374","31790","85","130","3","0","610","97","Teamfight Tactics"
"8","Friday 26th July 2019 11:58","https://sullygnome.com/channel/lynx1835/stream/35049187936","482","45308","94","143","8","1","696","89","Teamfight Tactics,Moonlighter"
"9","Friday 26th July 2019 05:06","https://sullygnome.com/channel/lynx1835/stream/35047000192","144","12240","85","104","0","0","286","127","Teamfight Tactics"
"10","Thursday 25th July 2019 14:30","https://sullygnome.com/channel/lynx1835/stream/35038249392","285","35340","124","178","7","1","454","95","Teamfight Tactics"
"11","Thursday 25th July 2019 03:43","https://sullygnome.com/channel/lynx1835/stream/35034337504","332","49800","150","217","6","1","740","128","Teamfight Tactics"
"12","Wednesday 24th July 2019 13:04","https://sullygnome.com/channel/lynx1835/stream/35025349248","311","34521","111","156","1","0","471","94","Teamfight Tactics"
"13","Wednesday 24th July 2019 04:25","https://sullygnome.com/channel/lynx1835/stream/35022466352","335","38860","116","167","1","0","557","96","Teamfight Tactics"
"14","Tuesday 23rd July 2019 10:07","https://sullygnome.com/channel/lynx1835/stream/35011964128","428","38092","89","117","7","0","597","82","Teamfight Tactics"
"15","Monday 22nd July 2019 21:15","https://sullygnome.com/channel/lynx1835/stream/35005696576","330","41580","126","182","4","0","628","114","Teamfight Tactics"
"16","Sunday 21st July 2019 19:19","https://sullygnome.com/channel/lynx1835/stream/34992545904","206","17510","85","144","4","1","449","128","Teamfight Tactics"
"17","Saturday 20th July 2019 18:50","https://sullygnome.com/channel/lynx1835/stream/34979824352","160","9760","61","82","0","0","197","71","Teamfight Tactics"
"18","Friday 19th July 2019 16:32","https://sullygnome.com/channel/lynx1835/stream/34964520544","268","21708","81","122","4","0","374","83","Teamfight Tactics"
"19","Friday 19th July 2019 06:58","https://sullygnome.com/channel/lynx1835/stream/34960646656","167","11857","71","113","3","1","233","84","Teamfight Tactics"
"20","Friday 19th July 2019 00:30","https://sullygnome.com/channel/lynx1835/stream/34957404048","180","13860","77","93","4","1","224","74","Teamfight Tactics"
"21","Thursday 18th July 2019 10:01","https://sullygnome.com/channel/lynx1835/stream/34949140096","299","48737","163","211","11","2","971","194","Teamfight Tactics"
"22","Wednesday 17th July 2019 23:29","https://sullygnome.com/channel/lynx1835/stream/34944295088","421","56835","135","272","8","1","955","131","Teamfight Tactics"
"23","Wednesday 17th July 2019 12:02","https://sullygnome.com/channel/lynx1835/stream/34937237472","268","10720","40","75","6","1","234","49","Teamfight Tactics"
"24","Tuesday 16th July 2019 21:29","https://sullygnome.com/channel/lynx1835/stream/34930369728","736","67712","92","171","17","1","837","68","Teamfight Tactics"
"25","Tuesday 16th July 2019 01:14","https://sullygnome.com/channel/lynx1835/stream/34920280656","166","8134","49","76","0","0","161","58","Teamfight Tactics"
"26","Sunday 14th July 2019 07:14","https://sullygnome.com/channel/lynx1835/stream/34898403392","136","4896","36","52","1","0","126","50","Teamfight Tactics"
"27","Saturday 13th July 2019 19:29","https://sullygnome.com/channel/lynx1835/stream/34891980816","406","24766","61","122","6","0","372","55","Teamfight Tactics"
"28","Friday 12th July 2019 05:06","https://sullygnome.com/channel/lynx1835/stream/34872759104","279","13113","47","62","0","0","330","73","Teamfight Tactics,Auto Chess,Pillars of Eternity"
"29","Thursday 11th July 2019 00:00","https://sullygnome.com/channel/lynx1835/stream/34857437680","255","16320","64","105","0","0","311","69","Teamfight Tactics"
"30","Wednesday 10th July 2019 04:24","https://sullygnome.com/channel/lynx1835/stream/34847525056","261","25578","98","127","4","0","422","93","Teamfight Tactics"
"31","Tuesday 9th July 2019 23:53","https://sullygnome.com/channel/lynx1835/stream/34844787024","247","13585","55","89","4","0","289","68","Teamfight Tactics"
"32","Monday 8th July 2019 23:26","https://sullygnome.com/channel/lynx1835/stream/34832001856","259","13468","52","75","2","0","551","122","Teamfight Tactics,Pillars of Eternity,Magic: The Gathering"
"33","Sunday 7th July 2019 23:00","https://sullygnome.com/channel/lynx1835/stream/34819526640","285","21090","74","112","4","0","350","73","Teamfight Tactics"
"34","Saturday 6th July 2019 04:14","https://sullygnome.com/channel/lynx1835/stream/34797356496","136","8704","64","80","0","0","191","84","Teamfight Tactics"
"35","Friday 5th July 2019 22:12","https://sullygnome.com/channel/lynx1835/stream/34793780048","303","26361","87","167","3","0","477","95","Teamfight Tactics"
"36","Friday 5th July 2019 04:19","https://sullygnome.com/channel/lynx1835/stream/34785120496","371","25970","70","91","1","0","418","66","Teamfight Tactics"
"37","Thursday 4th July 2019 04:23","https://sullygnome.com/channel/lynx1835/stream/34773564912","292","13432","46","56","1","0","196","39","Teamfight Tactics"
"38","Wednesday 3rd July 2019 18:43","https://sullygnome.com/channel/lynx1835/stream/34767491040","242","5566","23","48","-1","0","153","36","Teamfight Tactics"
"39","Wednesday 3rd July 2019 05:28","https://sullygnome.com/channel/lynx1835/stream/34761552432","152","3496","23","34","-1","0","293","106","Teamfight Tactics,Pillars of Eternity"
"40","Monday 1st July 2019 13:05","https://sullygnome.com/channel/lynx1835/stream/34739234192","415","13695","33","49","2","0","579","85","Magic: The Gathering,Pillars of Eternity"
