"","Stream start time","Stream URL","Stream length (mins)","Watch time (mins)","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"1","Wednesday 31st July 2019 20:45","https://sullygnome.com/channel/m3n17/stream/35115198304","30","150","5","5","1","1","4","5","Grand Theft Auto V"
"2","Tuesday 30th July 2019 22:43","https://sullygnome.com/channel/m3n17/stream/35103767952","167","501","3","5","3","1","22","7","Grand Theft Auto V,Teamfight Tactics"
"3","Tuesday 30th July 2019 21:00","https://sullygnome.com/channel/m3n17/stream/35102437136","45","180","4","6","1","1","11","11","Grand Theft Auto V"
"4","Monday 29th July 2019 22:15","https://sullygnome.com/channel/m3n17/stream/35090755152","375","750","2","6","3","0","41","6","League of Legends,Teamfight Tactics"
"5","Saturday 27th July 2019 15:15","https://sullygnome.com/channel/m3n17/stream/35062402624","90","180","2","2","0","0","5","2","Teamfight Tactics"
"6","Friday 26th July 2019 16:28","https://sullygnome.com/channel/m3n17/stream/35051332016","287","861","3","6","0","0","29","5","Teamfight Tactics"
"7","Wednesday 24th July 2019 18:00","https://sullygnome.com/channel/m3n17/stream/35028039328","75","225","3","6","0","0","9","6","Teamfight Tactics"
"8","Tuesday 23rd July 2019 11:45","https://sullygnome.com/channel/m3n17/stream/35012461104","405","1215","3","6","0","0","30","4","Teamfight Tactics,League of Legends"
"9","Monday 22nd July 2019 06:02","https://sullygnome.com/channel/m3n17/stream/34998407936","463","926","2","6","1","0","57","7","Teamfight Tactics"
"10","Sunday 21st July 2019 06:30","https://sullygnome.com/channel/m3n17/stream/34986512368","120","120","1","3","0","0","11","4","Teamfight Tactics"
"11","Friday 19th July 2019 15:15","https://sullygnome.com/channel/m3n17/stream/34963764544","90","180","2","5","0","0","12","6","Teamfight Tactics"
"12","Thursday 18th July 2019 23:30","https://sullygnome.com/channel/m3n17/stream/34956767488","135","405","3","4","0","0","13","5","Teamfight Tactics"
"13","Thursday 18th July 2019 15:45","https://sullygnome.com/channel/m3n17/stream/34951511072","120","360","3","5","1","0","17","7","Teamfight Tactics"
"14","Wednesday 17th July 2019 15:15","https://sullygnome.com/channel/m3n17/stream/34938681456","285","570","2","4","0","0","25","5","Teamfight Tactics,League of Legends"
"15","Tuesday 16th July 2019 16:30","https://sullygnome.com/channel/m3n17/stream/34926829312","210","840","4","8","-1","0","12","3","League of Legends"
"16","Monday 15th July 2019 14:50","https://sullygnome.com/channel/m3n17/stream/34913458768","370","1850","5","17","5","0","68","10","League of Legends,Teamfight Tactics"
"17","Saturday 13th July 2019 16:00","https://sullygnome.com/channel/m3n17/stream/34889612048","165","330","2","5","1","0","17","5","Teamfight Tactics,League of Legends"
"18","Friday 12th July 2019 17:52","https://sullygnome.com/channel/m3n17/stream/34878128304","113","1582","14","20","4","2","51","25","Teamfight Tactics"
"19","Thursday 11th July 2019 21:45","https://sullygnome.com/channel/m3n17/stream/34868342896","75","75","1","4","0","0","10","6","League of Legends"
"20","Thursday 11th July 2019 16:45","https://sullygnome.com/channel/m3n17/stream/34864832336","90","90","1","3","0","0","4","2","Unlisted on Twitch,Teamfight Tactics"
"21","Wednesday 10th July 2019 14:00","https://sullygnome.com/channel/m3n17/stream/34850850608","210","420","2","5","3","0","26","6","Teamfight Tactics"
"22","Tuesday 9th July 2019 13:45","https://sullygnome.com/channel/m3n17/stream/34838149168","195","780","4","8","1","0","14","4","Unlisted on Twitch,Teamfight Tactics"
"23","Monday 8th July 2019 14:15","https://sullygnome.com/channel/m3n17/stream/34825899456","315","315","1","5","2","0","28","5","Teamfight Tactics,League of Legends"
"24","Sunday 7th July 2019 14:15","https://sullygnome.com/channel/m3n17/stream/34813780272","180","360","2","6","0","0","13","4","Teamfight Tactics"
"25","Saturday 6th July 2019 18:45","https://sullygnome.com/channel/m3n17/stream/34804107984","270","810","3","6","0","0","54","11","Teamfight Tactics"
"26","Saturday 6th July 2019 15:18","https://sullygnome.com/channel/m3n17/stream/34801896816","162","486","3","5","1","0","19","6","Teamfight Tactics"
"27","Friday 5th July 2019 15:15","https://sullygnome.com/channel/m3n17/stream/34789120560","135","270","2","4","1","0","27","10","Teamfight Tactics"
"28","Thursday 4th July 2019 14:45","https://sullygnome.com/channel/m3n17/stream/34777421904","180","180","1","4","0","0","17","5","Teamfight Tactics"
"29","Wednesday 3rd July 2019 16:30","https://sullygnome.com/channel/m3n17/stream/34765698288","255","255","1","4","2","0","38","8","Teamfight Tactics"
"30","Wednesday 3rd July 2019 14:15","https://sullygnome.com/channel/m3n17/stream/34764609440","105","105","1","4","1","0","20","10","Teamfight Tactics"
"31","Tuesday 2nd July 2019 12:30","https://sullygnome.com/channel/m3n17/stream/34751190976","255","765","3","8","0","0","35","7","Teamfight Tactics"
"32","Monday 1st July 2019 20:00","https://sullygnome.com/channel/m3n17/stream/34743356896","330","330","1","3","0","0","27","4","Teamfight Tactics"
